ShaShiYaYi 	parece que ya está muy lejos de Kako	Moabiresronki Kakonko kikin ani peixobo irabeke
ShaShiYaYi 	los hombres de dios están al lado de su familia	Shipibo jonibo riki jaton rarebobo patax ja jonibo
ShaShiYaYi 	y se comió a su hermana	Axon jawen poishoko pikina iki
ShaShiYaYi 	la mujer se inclinó sobre ella y le dijo	Jaskataitianki ainbo ratekainxon oinaronki ika iki jaa ani xeatinin joxon yoyo ani
ShaShiYaYi 	Ese animal es el que va por el camino: cuando sopla el viento del sur, si no hay nada que comer, hay que partirlo y echarlo al mar.	Jaskarainbo yoina jake bai akax, neteshoko niwe iamax jamata, piabo oinxon ibaketan mesko bimi xama, texo, toshmo, yae, ikainbo kioranti iki
ShaShiYaYi 	fíjate en lo que dicen de las ancianas y diles	Yomerabo menitiki ika yoyo awe Ribojo oinxon yoiwe
ShaShiYaYi 	¿Qué cosas pescan?	¿Jawenboki yomerakanai?
ShaShiYaYi 	ahora los niños se sientan en el libro y descansan	Rama jain bakebaon kirikameran anikanabo samabo akanai
ShaShiYaYi 	saca a los niños a la comunidad y les entrega una vara y un pedazo de hilo para que lo críen y luego en su lugar amarren un pedazo de leña para que lo arrastren hasta la orilla del lago	Bakebo jeman pikokixon westiora tawabo, yoman pakex jato menipakeai, mishkiti jisakin pikokanti, jainxon ja yoman ikain tawa pakex nexati jan mishkiti xena jisakin, moa seneankana peka jene kexa iwexon yapa mishkiai ikin jonii imawe
ShaShiYaYi 	Y en el mismo lugar donde se les dijo: “ Hoy, en el día del juicio, vendrán diez plagas sobre la casa de mi padre,	Jaskaxon koshin jato yoiai neskaakin: Nato 18 netera chonka kirinko joai, non jain mapobo maroiai xobo onani
ShaShiYaYi 	trae los nombres de los peces con la mano derecha y los de la abuela con la mano derecha	wame bawin payari boe wame payari payari bawin wame koyaparo koyaparo bawin koyaparo boe ipo ipo ipo boe Yapan janebo beshekan itan anin wishaki mepinwe
ShaShiYaYi 	Levántate, pues, desciende a la tierra, y no dudes en entrar en ella.	Kaxonki mai oinaronki ika iki, moatian wai akani patax, ani nawe
ShaShiYaYi 	estos son los materiales: mocahua, cal, cerámica	Jarake neskara akabo: kenpo, kencha, chomo itantiribi mawetan
ShaShiYaYi 	escribe con el espíritu estas estrellas (¿Cómo?)	Shinan yoiabo wishawe nato wishiyabo (¿?
ShaShiYaYi 	la manera en que se hizo era como un animal sumergido en la tierra y luego salió el masato	Jaskaakinbiribi akana ika iki westiora yoina jisa jawen pekain, jainribikan jan xeati pikota
ShaShiYaYi 	al llegar arranca la yuca que está a la derecha del árbol grande	Nokoxonra atsa pei tsekatanan mexki ikai, tapon ani itikopi
ShaShiYaYi 	no hay nada que no podamos ver y tampoco hay nada que no podamos ver	waste Non onantibo: Jatibi non oinaibo itanribi non oinyamaibo riki jan kenataibo
ShaShiYaYi 	si la tierra produce la semilla que se siembra y los árboles que dan fruto no se marchitan	Wetsa teebo iamax wai akin kokoti, jiwibo iketian akatikanai jaton baba shinantanan rerayamakin jainbi jenekin
ShaShiYaYi 	este hombre es el que está dentro de nuestro río	Neskara joniboronki japaonike nato non paro chiponki
ShaShiYaYi 	¿Cuánto pescado se ha vendido hasta ahora?	¿Jaweti piti yoa akaki maroa jatibiain?
ShaShiYaYi 	hazlo ahora mismo con un poco de dolor de corazón y con un poco de dolor de cabeza.	(Rabeti iti) Rama axonba, min shinan xamanbi min jointi xamanbi, nokon soi kanora mia paraaxona, para axonyobanon para axonyobanon
ShaShiYaYi 	y le dijo	Jainoax iki namamakin
ShaShiYaYi 	quiénes son esos que no conocen pregúntale al anciano de tu pueblo y dile al profesor	Tsoaboki ipaoni, onanyamaxon min jemamea yosi yokawe, yokaxon axeamis yoiwe
ShaShiYaYi 	siéntate y mira cómo están las cosas	Bochikia ribojobo jaskati joyota oinxon serekan mepinwe
ShaShiYaYi 	¿Cómo es que el hombre puso una yuca?	¿Jawekeskaaxon atirin atsapotoakin?
ShaShiYaYi 	es bueno echar la leña al fuego o al vino	Jara ronon, bonan iamax iwin chachia ati jakon iki
ShaShiYaYi 	porque al llegar el día de la fiesta el sol ya no da para comer	iki, jawen kayamaa Jainxon ani xeatiaxon kenakanabironki maxo ibon ranyamaa
ShaShiYaYi 	la madre le prepara el cabello	Titan yoman boo axonai
ShaShiYaYi 	cuando se comió el polvo de la calabaza, apareció la leña	Xeki poto pikinra kokan jetea iki
ShaShiYaYi 	qué es lo que tiene que terminar	Jaskaribiakin keyotiain ati iki tsaka
ShaShiYaYi 	explica y marca	Jaskaribiakin jatian mishkitiboribi
ShaShiYaYi 	papá le trajo al niño same un pedazo de sal	Papanra kachio katanxon nea bake Same bexonke
ShaShiYaYi 	Entonces su madre le dijo: — Vete a tu casa, que el niño va a ser puesto a prueba y, tres días después,	Jatianki jawen titan aka iki yoikin -Bake botanwe mia moa paenketian benon, jaskataxra mia kimisha nete pekaobo joai-akin
ShaShiYaYi 	el profesor ayuda a los niños a dibujar en la canasta para que salgan las plantas y luego mandan a un niño a pescar	Axeamisnin akinato bakebaon maraba pei motsakani, rao pikonox, jainxon westiora bake bosho akanai
ShaShiYaYi 	Por qué miras la brizna que tiene tu hermano en su ojo y no te fijas en el tronco que tienes en el tuyo?	¿Jawekopiki mia jaskatai?, iki itoshia iki chini nokota, jawekopiki ea noyatima iki ikax, ikasi sai ipatankaini kebo baneta iki
ShaShiYaYi 	b) ¿Cuántos tienen 46?	b) ¿Jawetirin 46 pochinikon?
ShaShiYaYi 	ellos nos dicen quién es el elegido	Jabaonra noa yoiyai tsonarin westiora jaweki ixon
ShaShiYaYi 	¿Cuánto es más grande que tres o cuatro?	¿Jaweti sipanyarin 3 keon ikain, choskobo keona ikax?
ShaShiYaYi 	el padre sólo tiene dolor de cabeza	Soi chixkares riki neskarabo ninkamai
ShaShiYaYi 	¿Cuál es el hombre más colorado?	¿Jawe jane jonirin kikin raya rayabires?
ShaShiYaYi 	Por qué duermes? ¿Por qué duermes? ¿Por qué lloras?	¿Jawekopiki bokon-isi, sionyashoko wishtati iki?
ShaShiYaYi 	mi hijo está durmiendo y no quiere tomar el huevo	Ja bachi biira nokon bake jabe oxai neekasi iiti pakekeainbake
ShaShiYaYi 	podemos hablar en lenguas diferentes	Mesko joinra noa ninkakananti atipanke
ShaShiYaYi 	pero él dice que no va a vivir sin esperanza y que va a sufrir mucho	ika iki abokoma Jaskakenbironki jaa manaon kai -yoashiii yoashiii- iikawani, jaa joni ninkamai
ShaShiYaYi 	A esta muchacha se le dio el nombre de Sansón, y se le dio el nombre de Biri; era una muchacha hermosa y decorosa	Nato xontakonin jane ika iki Sanken Biri, kikin metsashoko xontako itan jakon shinanya
ShaShiYaYi 	mi flecha pasó a la otra orilla del río para pescar peces	Nokon kokara keiba kake yapa tsosin bii
ShaShiYaYi 	cada uno busca un huevo de 8 horas	Westiorabo ikanke 8 ora bachi benai
ShaShiYaYi 	y dijo a su esposa: “ No debes poner bozal al toro cuando trilla el grano ”;	Jawen xobon nokoxonronki jawen awin yoia iki, jawen rarebo bawin itan piro jatiribi iamax nami xateshokobo jato mebesti
ShaShiYaYi 	si no tienes sal no te des prisa	Xobin pikoyamaxra ishton booyamai
ShaShiYaYi 	Entonces le dijo a uno de sus consiervos: « Mi hijo ha sido derramado como libación sobre la tierra; le he dado de beber a mi hijo, y lo han aceptado ».	Jaskaxonronki xakacharonin jawen kaibo yoia iki -Nokon bakera xoke jonibaon ea retenanke, non jakoanxon jato onpax menimeniabi, ramara en jato kopiai- ika iki
ShaShiYaYi 	a dos grupos a cocinar	Rabe rabexonbo yoya ati
ShaShiYaYi 	se decía que era una niña muy extraña	Jaa ochiti bake xontakoronki ika iki, kikinshaman wishki
ShaShiYaYi 	y se fueron	Jainoaxki bokana iki
ShaShiYaYi 	¿Cuántos palos hay aquí?	¿Jaweti taxoki neno banati itina?
ShaShiYaYi 	entonces empezaron a reírse de él y a decir: “ ¿Qué tenemos que ver nosotros en este asunto? No nos rindamos.	Jaskaataananki shinakana iki -Ramaki non jawekeskaaxon non chaxo ishto tanai, noa akaxra shirokanake, shinanon akanwe- akin
ShaShiYaYi 	¿Qué debes escribir para poder escribir?	¿Jawe jaweki atiki jaskaxon ati min wishati iki?
ShaShiYaYi 	mi hijo camina con la cabeza despedazada	Nokon epara chanketi niai taso ikax
ShaShiYaYi 	Miren! Esta es la hora de ustedes, y la hora es, en que nosotros estaremos con ustedes. Es el día de nuestro Señor Jesucristo.	Ninkakanwe nato oxe riki non nete, ja pishta ati iketianra mato non tsinkike, noa shipibo jonibo ikaxra rarokanti jake, jatian non nete iketian
ShaShiYaYi 	Escribe en un libro de la historia lo que significa la alegría de los que pasan por la vida y de los que sufren.	Shinanxon wishai Non joinbira wishai jan wishatibaon itan atikeskabiakin jawen kenshaman jaweki, jan onana, ja winota, jawen shinanbi, ja chexakatai jawekibo
ShaShiYaYi 	Que les llenen los ojos del Espíritu Santo y de toda la gloria de Dios.	(Rabeti iti) Shinan tako axonban Ayontaananra, rao ayontaananra Rao ayontaananra Nokon oro shinanbo Mato meniyonbanon
ShaShiYaYi 	¿De esta manera cuentan los dos?	¿Ja rabekanbira toponai neskaakin?
ShaShiYaYi 	¿Conoce esas ideas?	¿Ja shinankantiboki onanti aka?
ShaShiYaYi 	b) Ayúdale a la campanilla blanca y a la campanilla	b) Metsa Ratenra wetsaresbiakin pakeke senenrabe kexkeaxon akinwe
ShaShiYaYi 	también tiene muchas otras plantas para curarse con árboles frutales como la sandía, el sarpullido, el canastillo, la fiebre del limón y otros desechos	Jaribarake icha jan raometi jiwibo, banakana: sananko, boains, kanachiari, pisisisa, rimon ininti itan mesko wastebo
ShaShiYaYi 	el padre destruye la casa con sus propias manos	Tapon iki Rawa Rawa -n -ra Papanra xobo payo ras akai
ShaShiYaYi 	Ahora bien, en el caso de los pescados que están junto al mar, es decir, de los peces que están dentro de la tierra, ¿cómo es que hay en el mar algo parecido a la cizaña?	Jati paketa: Kencha aninra jake 40 yapa xoi, senenbires yapa xoibo napotamein 5 kencha ikainbo, ¿jaweti yapa xoibo iti iki ja kencha ikainbo?
ShaShiYaYi 	y allí hicieron un gran bosque de árboles	Kaxonki akana iki, kikinshaman icha jiwi onantiakin, jaa rerati
ShaShiYaYi 	coge a un niño y diviértelo en siete pedacitos	Westiora baken biti jake 7 xateshokores wetsabires
ShaShiYaYi 	el cual tenía el altar del incienso y el arca del pacto cubierta toda de oro,	Jati paketa: Soi Kenanra shinan toe ninkashamantanan yokataibo yoiti kopi neskaakin tsekai: Rekenparira ja jayata itan Xawan Biman menia tsinkixon toponke
ShaShiYaYi 	a causa de la violencia de esos hombres	Ja jonibo rae ati kopi
ShaShiYaYi 	por lo tanto escribe los nombres de los 134 que están delante de ti	Jaskarama iketian benxoawe 134 Ribojobo oinxon, jawen janebo wishai
ShaShiYaYi 	si come pescado lo traen lejos de la neblina	Yapa piai ikaxra ochokeaxbi bekanai nexbakameaxbo
ShaShiYaYi 	acuérdate de que es bueno	shinantaana yoiti jake jakonrin ixon
ShaShiYaYi 	almorzar o ir al motor	Winax iamax motoronin kati
ShaShiYaYi 	O piensas que no vale la pena penar por la vida de un testamento, porque si lo supieras, tendrías el valor de una gran cosecha.	¿Min shinanki jakon iki icha peiya yoinabo bachi jainoa biti onanxon keyokin bachi biti?, ¿jawe kopi?
ShaShiYaYi 	he escrito cosas humanas como éstas y las he escrito con mi propia mano	Atibi keska akinra en wishake Wishakinra en jonin jisabo shinanke Jaskara joibiresra en wishake Wishakinra en jonin ikabo yoike Ani wishakanra en nokon wisha peoke Moa benxoaxon, atibikeska jakiribi wishawe
ShaShiYaYi 	diles que reflexionen sobre el trabajo de la yuca tal como se debe hacer y que lo hagan tres veces y tres después	Ja atsa banati tee akin ati jawekibo shinantaanan akanti jato yoiai, ninkatibires yokatibo axon jato yoiai kimishaxonbo Ja tee ati axon yoikanti jake kimisha kimishaxonboe
ShaShiYaYi 	tráiganme el libro del libro de la historia	"Pekon Sinan" jaskaribi mesko beron keeni noiba bekanwe
ShaShiYaYi 	¿Cuántos años has aprendido?	¿Jaweti baritiaya ikaxki mia axea iki?
ShaShiYaYi 	Ahora bien, en estos días hay muchas viudas que están desamparadas, y hay muchas que no tienen de qué preocuparse, pero son viudas; de hecho, la mayoría de ellas vive todavía.	Ramatianra icha ainbobaon moa mapo akanai jakopira jake akanabo kencha, kempo itan ani chomobo, ikaxbi jato kopimashokobo bixonkanai, jakopira non jato axonti jake jain maroti xobo
ShaShiYaYi 	los que comieron fueron quemados con sus propias varas	Ja piabo ika iki jatonbi tawa kenshoxon akana
ShaShiYaYi 	y comenzaron a hablar mucho	Moa ochotax peokookana iki mesko joibaon yoyo iki
ShaShiYaYi 	haz que tu motor vaya bien	jen ati Min motóro bokaskanai jen awé
ShaShiYaYi 	esta es la preparación de nuestra comunidad para la construcción de una comunidad con diferentes tipos de patos y diferentes cosas	Jaskatax ikatikani non jema kopi mesko patoronbo betan join ianaxon mesko jawekibo amakin
ShaShiYaYi 	los árboles duros deben ser salados y quemados	Wita betan kanobora iti jake chorish jiwibo
ShaShiYaYi 	nosotros vamos a escribir sobre el que tiene el título de anciano	Yomeratiki ika imaabora non wishai
ShaShiYaYi 	¿De dónde sacan las cabezas?	¿Jawekeskarainoaki mapobo bikanai?
ShaShiYaYi 	el que siembra nos dice y nosotros escuchamos	Yoabo atiki imaabora non yoiai itan non ninkatai
ShaShiYaYi 	jesús se puso en camino para avergonzarse y no lo dijo a nadie	Jaskara yoikana rabinkainiki jato yoiyaxmabiki rabinkaini kaa iki
ShaShiYaYi 	terminemos de leer para explicar	Yoyo aribanon ikanwe yokawe yoiboti kopi
ShaShiYaYi 	dice que lo recibió de la mano de un árbol	Jaa bixonronki aka iki jiwi anibo sere apakekin
ShaShiYaYi 	En cuanto a las cosas de que se habla aquí en la tierra, podemos ver si son de verdad y no podemos contarlas	JO TSAM XEPEMEET ikainra non ointi atipanke kikin icha joibo; jakopira topontikoma iki
ShaShiYaYi 	dijo que no había nadie que los buscara	Nokoxon jato benabironki tsoabi yama ika iki
ShaShiYaYi 	ahora sabemos que una de las cosas que se escriben tiene que ver con las siguientes cosas	Jaskarakopi jaskatai yoiya wisha iki neskara: Jaskarakopi ikaibo Jaskarabo ikai Jonibo kaitaikopi Yapabo keyotai Noa maxkata bitibokopi Korikinin noa kenai Westiora yoabicho non banaikopi Jawekiatibo yamai Rama non onanke, westiora jaskarakopi jaskatai yoiya wishabomeran jake neskarabo: jaskarakopi, ikaibo jainoax jaskarabo, ikai
ShaShiYaYi 	¿Qué no queremos saber de estas escrituras?	¿Jawemein noa onamakasai nato wishakan?
ShaShiYaYi 	el árbol es parecido al roedor y las mujeres traen a los hombres	Ja jiwi iki ronon ewa jisa jatian ainbobaonbiribi benbobo beibanai
ShaShiYaYi 	y uno de ellos le preguntó: « ¿Qué es lo que has hecho? » Y Jesús le respondió: « Lo que me falta es fe.	Jatianki jawen yosin yokata iki Jaweatiki min sino winti aka akin, jaskaketianki yoia iki Ikama eabiribi jaweki ketian maton jaa oin oinon akinki aka iki
ShaShiYaYi 	¡Qué bonitas son las palabras de labios para afuera!	¡Jakonshokobo shinameti joibo wishakana riki, keen keenshamankin yoyo awe!
ShaShiYaYi 	esa es la madre	Ja iki moa titana
ShaShiYaYi 	en las Escrituras está escrito que el testimonio que él da es verdadero	Ja wishakan jane: ja iki ja non onanti
ShaShiYaYi 	en el aula 3 haz que escribamos lo que él mismo ha dicho y no lo que él mismo ha dicho	Axeti 3 ikainra noa oinmai jaskaaxon wishati janbi yoia keská akin yoia itan janbi yoia keskáma akin yoia
ShaShiYaYi 	cómo escaparemos nosotros si descuidamos una ciudad devastada por nuestra fe, si descuidamos una ciudad de refugio segura y segura	Non ninkake Reshin Kate, ainbo ixonbi jaskaakin jawen jema akina, non axebo itan noimis shinanbo keyotimakopi, wetsa jemankobobira jawekeska ikebetin
ShaShiYaYi 	¿Cómo va a pasar el mundo?	¿Jawekeskaki noa jaa nete winoti iki?
ShaShiYaYi 	saqué la red de la red	Enra xeto rikankin bike
ShaShiYaYi 	fíjense en cómo crecen los linderos de la tierra	Peoti iki sereakin kexa itan naponbekon, mesko jisa yomanbaon metsashaman itiakin
ShaShiYaYi 	otra vez durmió	Jainoaxki oxaribia iki
ShaShiYaYi 	tiene hijos	Ribojoyabo riki
ShaShiYaYi 	no escribamos los nombres de la paloma Joxó Nawa Ani jonani nahua shini y los nombres de la paloma Joxó Nawa Ani jonani nahua que deben comenzar	Iskon Beso Metsa Beka Kesten Yaka Mokan Bari Pene Koshi Isa Yaka Shiro janebo jaskaakin wishati Xoto Chirani Mapi Keni Joshin Koshoshka Joxo Nawa Ani Joni Jonin shiro janebo, non kataxkin wishayamai, jainxon anin peoabo iti jake
ShaShiYaYi 	di lo que has hecho	Nato chitemeran ikabo oinbokin min akabo ashtaawe (x)
ShaShiYaYi 	para que no caiga en descrédito y en la trampa del diablo.	Jainoa mapo biti jonenaketian, mapo axon oia teonaketian, jaskaribi basima toetai
ShaShiYaYi 	y le dijo: — Vete a tu casa y haz todo lo que quieras que te haga.	Jaskaketianki yoia iki -Jaa riki mawisbaon papashoko kikinshaman jatibi mishkitiya, kawe mia ononxon oinmanon ea meniabo- akinki aka iki
ShaShiYaYi 	después de un árbol grande jesús se sentó debajo de un árbol grande y de los árboles debajo de los árboles	Jaaki ani jiwi pekaoxonki aka iki jato oinkin, jaskati mesko joniboki nisa ratsamayaboki ani jiwi naman ransai, jaa jiwinkoki mesko yobinbo rontankana
ShaShiYaYi 	¿Para qué sirve la casa?	¿Jawebaonki xobo ati iki?
ShaShiYaYi 	¿Qué es lo que sabe escribir?	¿Jawe jaweki onana ixon wishamein iki?
ShaShiYaYi 	¿De dónde son los consejos?	¿Jaweranoa joi yoikanarin?
ShaShiYaYi 	estos blancos garzas estaban siempre al frente	jatibi iki iki Jaskara oinaxki ika iki nato joxo manxanbo tsinkiti
ShaShiYaYi 	que los ancianos que presiden nuestro pueblo trabajen duro para nosotros y que también ustedes trabajen con sus alumnos y con las autoridades para que la gente los atienda bien	Non joi koshiatikopira noa icha teekanti jake, akanwe maton bakebobetan itan jema koshibobetan mesko teebo, jakon maton jeman ika jonibo ikantikopi
ShaShiYaYi 	vengan a la fiesta y preparen el trabajo	Tsinkixon tee ati koshiaribanon bekanwe
ShaShiYaYi 	lo que he escrito sobre las nuevas lenguas	Bena joiaboki en wisha
ShaShiYaYi 	después de dos o una semana lo vio y todos se quedaron dormidos	Japekao rabe iamax westiora simana pekao karibaxon oina ikai moa jatixonbi bachiaki saa iki
ShaShiYaYi 	pídeles que trabajen	Tee akanwe Jato yokaxon yoiwe
ShaShiYaYi 	al llegar jesús se rieron de él	Jokinki ja winokana jawekibo yoixon osan osanbeirakana iki
ShaShiYaYi 	¿Qué dijo?	¿Jaweki yoiai?
ShaShiYaYi 	mi madre no tiene gusanos	Waxmen-oma riki nokon tita
ShaShiYaYi 	Jane: saca al profesor y explica a los alumnos cómo deben realizar el trabajo con el profesor una canasta (si no la sacas tú mismo del libro) luego trae al aula un dibujo de un perro	Jane: 91 Shinanxon biti pikowe Axeamisnin jaskaxon bakebobetan tee ati yoiya Axeamisnin westiora sintan (yamaketian minbi kirika katoxon sintankiin pikowe) jainxon westiora kirikanin ochiti ribojanxon axeti xobobko bewe
ShaShiYaYi 	dibújame un pedazo de jerús para que lo sepas	cha xo xan wan na ka ja ja sin 136 Joi maxkatabo, joi pakex min onanabaon wishawe
ShaShiYaYi 	¿Cómo se visten con los diseños?	¿Jawekeskara chopa keneyaboki maton saweai?
ShaShiYaYi 	el chullachaqui es un hombre que no ha sido jamás hallado	Choyachaki riki westiora joni jawetianbi mera meratima
ShaShiYaYi 	mira cómo se dobla el pañuelo y se dobla el aros.	Epanra totish masepai, jain aros banati.. toshita oiniwe
ShaShiYaYi 	la loma de chumo katen se hundió en el lago	Chomo Katen renkaara yenken baneke
ShaShiYaYi 	entonces cómo lo estamos haciendo	Japekao jawekeskakin akarin ixon non yoiai
ShaShiYaYi 	¿Cuántos metros tiene ese río grande?	¿Jaweti mitoro paroyarin ja ani rakoti?
ShaShiYaYi 	debemos cumplir con nuestras obligaciones	Jemanxon seneanti joibo yoitimayamakin senen-ainbo noa iti jake
ShaShiYaYi 	de igual manera el viento soplará sobre la tierra	Jaskaribira jakoma niwebo potati iki
ShaShiYaYi 	sembraremos diferentes plantas y plantas	Mesko yobinbo itan jan raometibora non banaribiai
ShaShiYaYi 	el profesor les muestra a los niños los materiales para colorear y les dice así: podemos colorear también el huito y el guisador para realizar nuestros trabajos y, además, podemos teñir la cabeza con el huito para negrearlo, y con el guisador mezclamos la comida	Axeamisnin bakebo jan sikatibo oimaxon neskakin yoiyai: nanen itan koromanra non tee axonboribi sikati atipanke, jaskaribira nanen mapoki noa ikai bobo wisoanoxon, koromanribira non pitibo noe anoxon nepotai akin
ShaShiYaYi 	construyen la casa con muchas colchas y cogen los pedazos de un jergón	Xobo xewakanai icha pishin akanai, xebon xama bixon
ShaShiYaYi 	¿Qué pasará si tomamos los alimentos sin levadura?	¿Jawemain noa winoti iki mekexonmabi yoabo biax?
ShaShiYaYi 	había gente que no tenía comida	Pitin iosma jonibo ikana iki
ShaShiYaYi 	el niño que está leyendo es muy hábil	yoyo ati Bakenra kikin jakoankin yoyo akai
ShaShiYaYi 	uno de ellos se llama Meraya Awa Mai	Jaskarabo noa itaibironki joniki westiora Meraya Awa Mai janeya
ShaShiYaYi 	las orejas son animales que comen y beben y por eso pueden comerse de esa carne	Mewebo riki jain yoinabaon piai itan nashiai jakopira jaskarainkonia non namiati atipanke
ShaShiYaYi 	porque los hombres fueron hechos partícipes de la palabra de Dios mediante las obras de los profetas,	Jaskaakin yoia jonibaon, joi senen akaibo ixon jaskara akana iki
ShaShiYaYi 	de la misma manera el viento sopla y de la otra parte	Jaskaxon poish akin, karin meskobokin
ShaShiYaYi 	escribe las canciones que conoces	Jawekeska bewaboki min onana, tanakin wishawe
ShaShiYaYi 	Debemos comenzar de nuevo a trabajar de día y de noche a fin de estar listos para el combate.	Yamekirishamanra noa teeti peokokanti jake bari xanaamabi, machitoyabora noa bekanti jake, moa jokin non beti jake jiwi xatebo
ShaShiYaYi 	el que muera está fuera del mundo	Moatian mawani, nato neten moa yamaabo
ShaShiYaYi 	¿Cuántos plátanos tiene cada uno de los que quedan en el Barin Koshin?	¿Jaweti paranta takoyaki Barin Koshin baneta jati senebires kaxkeax?
ShaShiYaYi 	Un hombre se acercó a Jesús para curarse de una vez y salió corriendo a un lugar apartado. Cuando vio que una mujer caía al suelo, se echó a reír y le dijo:	Jaskaketianki ika iki joni yamekirishoko chaikonin raon nashii, jaa itaananki kaa iki tenaman, jaa tenaman nokokin oinaronki ika iki westiora ainbo nonti kikinshaman sankeman chiakatina, jaa kaitianki osantaanan aka iki naneti yoikin
ShaShiYaYi 	haz que los niños escriban sus nombres debajo de los dibujos, luego coloca sus dedos en el hueco de los dedos y colócalos al lado de los dibujos donde están a la vista	Bakebo, wishá naman jaton janebo wishamawe, jaskaaxon jaton metoti yankoman axon jaton jane patax rakamawe, axon taxnanwe jishtishaman ikainko
ShaShiYaYi 	¿Cuáles son los alimentos de nuestra comunidad?	¿Jaweratoborin non jemankonia jawekiatibo?
ShaShiYaYi 	y dijo a sus siervos: « ¿Qué debo hacer para pagarles?	Jainxonki shinana iki, jawe keskaaxonki en jato kopixonti iki ixon
ShaShiYaYi 	¿Qué debo decir?	¿Nokon shinanboki en yoia?
ShaShiYaYi 	su aspecto es el siguiente: su cuerpo es delgado y agrio y su hoja es delgada y muy adorable	Jawen jisa riki neskara: jawen yora raston itan xomi jisatanishaman, jawen pei riki anima ranenkeyabo kikinbires ininshaman jawen yora jisaribi
ShaShiYaYi 	¿Conoces a algún ser humano que camine con las piernas abiertas?	¿Minki onana jawe atirin manxaman kawati?
ShaShiYaYi 	mi hijo se viste de ropa	Nokon bakenra janbi chopa saweai
ShaShiYaYi 	por eso nuestros diseños son resplandecientes como la nieve y el humo	Jakopi riki non kenebo Ronin, ino itan nibo yorakeskabo
ShaShiYaYi 	nosotros debemos ser prudentes y tener muchas reuniones en la congregación, pero sin tenerlas por costumbre	Noara iti jake neskara wisha ati onanbo, ichabires tsinkitibora non jemanxon akanai, tsonshokobi ja shinankanaibo wishayamai
ShaShiYaYi 	Cuando el espíritu maligno sale del hombre, anda por lugares secos buscando descanso;	Jaa ronin maxkoshoko joketianki aka iki, -Ea chii meniwi- akaki jawen janankonia aka iki chií pikokin
ShaShiYaYi 	los buitres cantaban en la playa	Kaborininra mashinko tsiwaa ike
ShaShiYaYi 	también estaba la palabra de la pesca de su madre	Jainoaxki ikatiai jawen tita yapa bexoni joi
ShaShiYaYi 	esta mazamorra está hecha de carne y pescado crudo o de plátano maduro	Beten Nato riki nami itan yapa paxa iamax yonan paranta xakiana aka piti
ShaShiYaYi 	lee lo que dice el profesor o tú mismo	Yoiabo min onanon wisha yoyo awe Axeamisnin iamax mibe baken yoyo akaitian neteshamanxon ninkawe
ShaShiYaYi 	pero la palabra todavía no termina	Ikaxbi joi senemapari
ShaShiYaYi 	después de leer, debes aprender a leer diferentes palabras	Yoyo axon ninkatai Mesko wishabo yoyo axon onanti jake, jawe noa yoi ikarin nato wisha ixon ninkati axeai
ShaShiYaYi 	escribe en un cuadrito de este libro	baritia sepa nawiti nawe ese raya Nenkemashoko joi wishawe
ShaShiYaYi 	aquí estaba mi trabajo lleno de sarpullidos de aros	Neno ikatiai nokon tee, aros sakon bochoaxon tsamankin boti
ShaShiYaYi 	si es grande	Aniorabo iketian
ShaShiYaYi 	¿Por qué está sentado en medio?	¿Jawe akimein iki ja napon yakata?
ShaShiYaYi 	nuestras plantas: ¿existen solamente plantas de curación?	Non raobo: ¿Isin raonti raobobichoki jaa?
ShaShiYaYi 	que se divierta	Jaskatima (ese) rayares iti
ShaShiYaYi 	y dijo: « Ciertamente te daré todo esto, si no te arrepientes.	Jaskaketianki aka iki -Ikonrake en mia menibanon minbicho teatanwe, onsa riki nato, minra jato wememanake- akin
ShaShiYaYi 	ahora escribe la escritura	Rama ja chitemeran wishakanwe
ShaShiYaYi 	estas palabras son parecidas	Neskara wishabo iki jawen jisayaribi
ShaShiYaYi 	este árbol se abre paso y al mismo tiempo rebosa de alegría	Nato jiwira wetsatianbires pechoai jaa oinax rarokainti ikai
ShaShiYaYi 	¿Cuántos plátanos se siembran en el monte durante cuatro meses?	¿Jaweti paranta niaki banai 4 oxen?
ShaShiYaYi 	aquí está el huevo de 68 centavos	Nikanra 68 kopitso bachi benxoake
ShaShiYaYi 	y el árbol desapareció poco a poco	Jaskaatanan jiwin jaimashoko neta iki
ShaShiYaYi 	así me preguntaste y ahora come en paz	Jaskaabironki aka iki Minra ea yokawanke, rama xoishamanxon jawekiatanwe akin
ShaShiYaYi 	también cogen las alas	Jainoaxribi jan ati ratabo bikanai
ShaShiYaYi 	Allí está lo que ustedes han dicho acerca de él. Lo que él ha dicho es: “ Hoy voy a hacer una fiesta de bodas para él, y él me dará un banquete de bodas.	Jaa jain iki, matonbi jakomamaa Jainxonronki aka iki, bokan shinanribikin, -Ramara en oxa raoya paranta joshin kokoti boxonai- ixon
ShaShiYaYi 	qué significado tenía mi discurso	Imaa yoikin nokon joi onantishaman ika
ShaShiYaYi 	¿Por qué decimos esto?	¿Jawekopimein noa tsinkitax yoyo ikanti iki?
ShaShiYaYi 	¿Qué piensan ustedes de lo que escribió esta gente?	¿Roya jonibaon neskaakin wisha iketian jawekeska maton shinanai?
ShaShiYaYi 	¿En qué otros lugares podemos recoger nuestras cabezas?	¿Jawekeskarainoaboki non mapóbo biti atipana?
