Extra_Educational 	finalmente, cuenta con los niños cuántas salieron al contar prueba a  un niño para que cuente 	seneanxon bakebo toponkinwe jawetirin ixon westiora bakebo tanakin toponti yoiwe
Tsanas 	cómo la hacen?	ja mantanki jaweakanai?
Tsanas 	explica	yoiwe
Tsanas 	luego arranca los dibujos y pégalos en la cultura que corresponda	jainxon ribojobo tsekaxon jawerato axemeranki iti ja jain taxnanwe
Tsanas 	miren los dibujos	ribojobo oinxon
Tsanas 	arránquenlos y péguenlos en el lugar que corresponda	ja naman ribojobo tsekaxon ja itinko taxnanwe
Tsanas 	las regiones del perú	perú mai ikainko jabo
Tsanas 	enséñales a los niños las tres regiones que existen en nuestro perú	bakebo non perú onamawe kimisha mai ikainko noa jakanabo
Tsanas 	la primera es la costa	reken riki costa
Tsanas 	está cerca al mar	ani paro ochoma
Tsanas 	luego está la sierra	japekao riki sierra
Tsanas 	cerros sin vegetación	manan chopa oma
Tsanas 	finalmente	senentiain riki selva
Tsanas 	la selva	nii jiwi ichaya
Tsanas 	con muchos árboles	yoinabo
Tsanas 	animales y peces	yapaboya
Tsanas 	arranca la hoja del libro y entrégasela a los niños	bakebo kirika pei tsekaxon meniwe
Tsanas 	luego explícales cómo deben realizar la tarea	jainxon jaskaaxon tee ati jato yoiwe
Tsanas 	finalmente, haz que los niños expliquen el trabajo realizado.	senentiain bakebo yoiwe jaton tee akabo yoiti
Tsanas 	después de conversar sobre el mapa	mapaki yoyo ika pekao
Tsanas 	haz el trabajo sobre el mapa dibujado	mapa ribojana oinxon tee awe
Tsanas 	¿en cuál de las regiones estamos viviendo y otros en qué otras regiones?	¿jawerato mai ikainkomein noa jake itan wetsaboribi jake?
Tsanas 	recorta el dibujo y pégalo	ribojo tsekaxon jain taxnanwe
Tsanas 	finalmente di sus nombres y las cosas que nos enseñan	seneanxon yoiwe jawen janebo itan jaweki noa onamai
Tsanas 	lo que la palabra perú	perú ika joi
Tsanas 	conversa con los niños acerca de lo que significa el perú	bakebo perú ikaki yoyo ikinwe
Tsanas 	¿saben lo que significa la palabra perú?	¿matonki onana peru ika joi?
Tsanas 	escucha lo que los niños dicen	bakebaon shinan ninkawe
Tsanas 	luego recorta la hoja del libre y entrégasela a los niños	jainxon bakebo kirika pei tsekaxon meniwe
Tsanas 	luego léeles cómo deben hacer la tarea	jainxon jato yoyo axonwe jaskaakin tee ati
Tsanas 	escribe la palabra perú trazando. las banderas dibujadas adórnalas, recórtalas y pégalas.	perú ika joi wishawe natanxon, bantirabo ribojana tsekaxon metsaakin rao akin taxnanwe
Tsanas 	finalmente, comenten sobre el trabajo realizado.	seneanxon jaskara tee akana yoimawe
Tsanas 	escribe la palabra perú trazando. las banderas dibujadas adórnalas, recórtalas y pégalas.	perú ika joi wisha natanxon, bantirabo ribojana tsekaxon metsaakin rao akin taxnanwe
Tsanas 	conociendo los colores de la bandera	baderanin jisa onanti
Tsanas 	dibuja una bandera grande coloreada y trae una sin colorear al aula	bandera ani ribojanxon sikaawe itan westiora ani bandera ribojana sikaoma bewe
Tsanas 	traer achote y témpera	maxe itan temperaribi beti
Tsanas 	reflexiona con los niños sobre la tarea para hacer el trabajo en armonía	joi seneantibo bakebo shinankinwe jakonax raenankantikopi
Tsanas 	conversa con los niños sobre la bandera. luego, explícales a ellos cómo se origina.	bakebo banderaki yoyo ikinwe, jainoax itan jaskarainoax pikoni jato yoiwe
Tsanas 	muéstrales la bandera dibujada a los niños y pregúntales	bandera ribojana oinmaxon bakebo yokabo awe
Tsanas 	¿cuáles son los colores de la bandera?	¿jawekeska jisakan sikayarin bandera?
Tsanas 	haz que digan si los colores que ve se parecen a los pintados en la bandera	jan sikatibo oinxon ja jisaya sikabo yoimawe
Tsanas 	¿el color del achote se parece al color de la bandera?	¿maxeki non bandera sika jisa iki?
Tsanas 	¿con cuántos colores está pintada esta bandera?	¿jaweti jisakan sikayarin nato bandera?
Tsanas 	ponlos a ellos en un círculo y que recojan el achote con el dedo y haz que los niños pinten en esa bandera dibujada. una vez terminada, pega la bandera al costado del aula para que todos puedan mirarla.	westiora toro jato imaxon maxe mekeain bimaxon ja bandera ribojana bakebo sikamawe, axon axetixobo bebon taxnanwe jatixonbi oinkanon ixon
Tsanas 	canta con los niños el himno nacional	bakebo himno nacional jato bewakinwe
Tsanas 	en profesor da a conocer a los niños que con estos colores también se pueden pintar otras cosas	bakebo onamai neskara non sikatibaonra non mesko teebo atipanke ixon
Tsanas 	entrégales a los niños el material del trabajo y explícales cómo deben realizar la tarea	jan teeti kirika bakebo menixon jaskaakin tee ati yoiwe
Tsanas 	dibuja la bandera y píntala con achiote	bandera ribojanxon maxen sikawe
Tsanas 	luego recórtala y pégala a un palito y luego pégala y adorna el espacio en donde tú aprendes	jainxon xatexon westiora jiwi pakexnin taxnanxon mia jainoax axeai nachite metsakin raoawe
Tsanas 	después de recortar la bandera, píntala con el achiote, luego recórtala y pégala a un palito y luego pégala en el espacio en donde tú aprendes.	bandera ribojana xatexon maxen sikawe, jainxon westiora jiwi pakexnin taxnanxon jainoax mia axeai nachite metsaawe
Tsanas 	escudo	escudo
Tsanas 	el profesor les explica a los alumnos cómo deben realizar el trabajo	axeamisnin jaskaaxon bakebo betan tee atibo yoiya
Tsanas 	enseña el escudo a los alumnos	bakebo escudo onamawe
Tsanas 	dibuja un escudo en un papelote y tráelo al aula	escudo kirika anin ribojanxo axetixobonko bewe
Tsanas 	también dibuja lo que nos muestra el escudo y tráelo	jaweboki escudonin noa onamai jaboribi ribojanxo bewe
Tsanas 	esos	natobo
Tsanas 	bolsa de oro	kori pisha
Tsanas 	cornocopia	cornocopia
Tsanas 	en nuestra tierra hay oro	non mainko jake oro
Tsanas 	plata y zinc	koriki itan sin
Tsanas 	muchos animales	yoinabo icha
Tsanas 	vicuña	bicuña
Tsanas 	muchos animales en nuestra tierra	yoinabo icha non mainko
Tsanas 	bosques con árboles	nii jiwiboya
Tsanas 	el árbol de la quina	el árbol de la quina
Tsanas 	bosques con muchos árboles tiene nuestra tierra	nii jiwiboya icha riki non mai
Tsanas 	organiza a los niños y entrégales el dibujo	bakebo tsamabo axon ribojo meniwe
Tsanas 	luego diles cómo deben realizar la tarea	jainxon jaskaakin tee ati yoiwe
Tsanas 	finalmente, diles que peguen los trabajos que han realizado.	seneanxo jaton tee akabo taxnanti yoiwe
Tsanas 	después de hablar sobre el escudo	escudoki yoyo ika pekao
Tsanas 	haz el trabajo mirando el dibujo	ribojo oinxo tee awe
Tsanas 	¿qué es lo que nos enseña?	¿jaweki noa onamai?
Tsanas 	recorta el dibujo y pégalo donde corresponde	ribojo tsekaxon jain itinko taxnanwe
Tsanas 	luego di	jainxon yoiwe
Tsanas 	enséñales todas las cosas sabes	kirika aki mia axea jawekibo jato onamawe
Tsanas 	el profesor les dice a los niños cómo deben realizar la tarea	axeamisnin jaskaaxon bakebo betan tee atibo yoiya
Tsanas 	siéntate con los niños en el suelo, entrégales el trabajo que han hecho y has que lo vean, conversa sobre las cosas realizadas durante el mes, recuérdales haciéndoles diferentes preguntas de esta manera:	bakebo naman yakakinxon ja tee akanabo bexon jato menipakewe oinkanon, ja oxe axekana jawekiboki yoyo ikanai, jato shinamawe mesko yokabo axon neskaakin:
Tsanas 	¿quiénes nos visitaron al aula?	¿tsoaboki non axeti xobonko meraibata?
Tsanas 	¿a la casa de quienes nosotros fuimos?	¿tsoabaon xobonkoki noa meraibata?
Tsanas 	¿a qué otros lugares fuimos para poder aprender diferentes cosas?	¿jaweranoboki noa kaibata mesko jawekibo onantikopi?
Tsanas 	canta con ellos las diferentes canciones aprendidas	mesko bewabo axekanaboribi jato bewakinwe
Tsanas 	luego arranca la hoja del libro y entrégales para que puedan dibujar su tarea favorita que se le venga a la mente	jainxon kirika pei tsekaxon menixon jawerato teeki jawen kenshama ika ja shinanxon ati
Tsanas 	diles que dibujen y pinten	ribojanxon sikati yoiwe
Tsanas 	finalmente haz que expliquen el trabajo que han realizado	seneanxon taxnanxon jato yoimawe jaskara tee akana
Tsanas 	¿cuál trabajo de los aprendidos te ha gustado más?	¿jawerato teeki mia axeameran min kenshaman ika?
Tsanas 	dibújalo y píntalo	ribojanxon sikawe
Tsanas 	nuestras fiestas	non pishtabo
Tsanas 	la fiesta grande	ani xeati
Tsanas 	antiguamente la fiesta de los shipibos era el ani xeati	moatian shipibo jonibaon
Tsanas 	dice que la fiesta era el ani xeati, en ese lugar cortaban el cerquillo de las niñas adolescentes. también a los animales se les flecheaba, para ir a ese lugar las mujeres y los hombres se arreglaban.	pishtaronki ikatiai ani xeati jainronki akatikanai bake xontako bestekin yoinaboribi tsakakin jain kanoxronki ainbobo itan benbobo metsati
Tsanas 	cómo se adornaban	raokatikanai
Tsanas 	después de tomar masato cantaban bonito	atsa xeati xeax masha iki metsa
Tsanas 	bien bonito	metsashamani
Tsanas 	ahora ya no es así cuando se juntan	ramatianra moa jaskarama iki tsinkitax
Tsanas 	solo practican el futbol y se alegran nuestros hermanos	tonkon tsiniananres rarokanai non kaibobo
Tsanas 	ani xeati	ani xeati
Tsanas 	después de escribir sobre la fiesta del ani xeati	ani xeati pishtaki ika wishaxon
Tsanas 	dibuja en el papelote diferentes cosas y tráelo al aula	jaskaribi mesko ribojobo ani kirikain axon axeti xobonko bewe
Tsanas 	hazles recordar a los niños las tareas que deben cumplir	bakebo betan seneanti joibo jato shinamawe
Tsanas 	siéntate con los niños en el suelo	bakebo naman yakakinwe
Tsanas 	luego muéstrales los diferentes dibujos que has traído y hazles diferentes preguntas	jainxon mesko ribojo beabo jato oimapakexon mesko yokabo jato awe
Tsanas 	hazles diferentes preguntas	yokabo jato awe
Tsanas 	¿qué ven en este dibujo?	¿jaweki nato ribojoain maton oinai?
Tsanas 	¿qué trabajos estarán realizando?	¿jawe teebo akimein ikanai?
Tsanas 	¿en qué momento nos adornamos de esta manera?	¿jawetianboki noa neskatibo raotai?
Tsanas 	¿saben cantar el mashá o han escuchado acerca de él?	¿matonki masha iti onana iamaxon ninkata iki?
Tsanas 	comenta	yoiwe
Tsanas 	muéstrales el papelote que has traído con los dibujos y pégalos frente a ellos	ani kirikain wishaxon min bea jato bebon taxnanwe
Tsanas 	explícales a los niños sobre los dibujos que has traído y diles	bakebo bebon ja ribojobo tsamanxon yoiwe
Tsanas 	mientras voy contando el relato	en nato ini yoyo akaitianra
Tsanas 	ustedes van pegando los pedazos de dibujo donde corresponde	maton ja ribojobo ja yoi ikai pakex patax taxnanai
Tsanas 	ustedes van pegando los pedazos de dibujo donde corresponde	maton ja ribojobo ja yoi ikai pakex patax taxnanai yoi ikai pakex patax taxnanai
Tsanas 	luego de explicar, los niños deberán coger los dibujos y pegarlos donde corresponda, finalmente entre todos lo leen.	jainxon ja joi ribojobo tsekaxon bakebo yoiyai jatonbicho ja itinkobo taxnankanon ixon, senentiain jatixonbi yoyo akanai
Tsanas 	hablemos sobre nuestras fiestas	non pishtaboki yoyo inon ikanwe
Tsanas 	¿qué cosas se hacen en el ani xeati?	¿ani xeatinkoki jawe akanai?
Tsanas 	encierra el dibujo en un círculo	ja ribojo torokan xepowe
Tsanas 	¿qué se hace antes de cortarle es cerquillo a la niña?	¿bake bestenoxonki jawe imakanai?
Tsanas 	colorea ese dibujo	ja ribojo sikawe
Tsanas 	respondiendo las preguntas sobre el ani xeati	ani xeatiki ika yokatabo yoiya
Tsanas 	el profesor les dice a los alumnos cómo deben hacer el trabajo	axeamisnin jaskaaxon bakebo betan tee atibo yoiya
Tsanas 	sal al patio con los niños y conversen	bakebo betan yoyo iwe jeman pikokinxon
Tsanas 	llévalos bajo la sombra de un árbol y pregúntales todo lo que aprendieron ayer	jiwi ota nama jato iwexon bakish axeibakanabo jato yokawe
Tsanas 	¿qué aprendieron ustedes ayer?	¿jaweki maton bakish axeibata?
Tsanas 	¿qué cosas se hacen en la fiesta del ani xeati?	¿jawebomein ani xeati pishtankoxon akanai?
Tsanas 	¿en este tiempo cómo se realiza la fiesta?	¿ramatianki jawekeskaakin pishtabo akanai?
Tsanas 	¿qué otras fiestas más se realizan en nuestra comunidad?	¿jawe pishtaboki non jemanxonbo akanai?
Tsanas 	¿por qué razones hoy en día ya no se celebra el ani xeati?	¿jawekopimein ramatianbo ani xeati pishta ayamakanai?
Tsanas 	¿qué fiestas celebran en tu casa?	¿jawe pishtaboki min xobonkoxon akanai?
Tsanas 	el profesor les habla sobre la fiesta del ani xeati para que reflexionen	ani xeati pishtankoxon akanaibo shinankanon ixon jato yoiyai
Tsanas 	flechear animales	yoinabo tsakakin
Tsanas 	cortar el cerquillo a las niñas	bake bestekin
Tsanas 	cantan masha	masha ikanai
Tsanas 	ahora ellos también celebran otras fiestas	ramatianbobirira akanai mesko pishtabo jaabo iki
Tsanas 	cuando llega el aniversario de la comunidad para alegrarse	non jeman baritia senenketian rarokin pishtati
Tsanas 	partidos de fútbol	tonkon tsinitibo
Tsanas 	celebración de nuestros cumpleaños	non baritia nokoxon rarokin pishta ati
Tsanas 	cuando llega san juan	wani piti nete
Tsanas 	día de la madre y entre otras fiestas	titabaon nete nokoketian itan wetsa pishtaboribi
Tsanas 	canta una canción o algún mashá	mesko bewa iamax masha ikinwe
Tsanas 	entrégales a los niños el libro de trabajo y diles cómo deben realizar la tarea	jan teeti kirika bakebo menixon jaskaakin tee atibo yoiwe
Tsanas 	respóndeles las preguntas que te hacen relacionadas a la fiesta	pishtaki yoyo ika shinanxon ja yokabo mia akanabo yoiwe
Tsanas 	respóndeles las preguntas que te han hecho relacionadas a la fiesta	pishtaki yoyo ibata shinanxon ja yokabo mia akanabo yoiwe
Tsanas 	mira el corte de cerquillo e indica cuáles son las niñas que se parecen	bake ainbo besteai oinxon jaweratoboki ja jisabires iki
Tsanas 	traer al aula tijera	besteti
Tsanas 	peine	boexeti
Tsanas 	mocahua y estera de shapaja	kenpo itan pishin axeti yobonko beti
Tsanas 	para realizar esta actividad conversa con la mamá de una niña para que le corte el cerquillo a su hija	nato tee anoxon westiora bake ainbaon titabetan yoyo iwe jawen bake bestenoxon
Tsanas 	conversar con una anciana para que nos visite al aula	westiora yoxanbetan joi seneanwe axeti xobonko merati jonon
Tsanas 	la anciana explica a los niños cómo era el corte del cerquillo en la fiesta del ani xeati	yoxaman bakebo yoiyai ani xeati pishtaxon moatian bake ainbo jaskaakin bestepaokani
Tsanas 	los niños cantan la canción shipiba aprendida sobre el corte de cerquillo	bake bestei masha iti bewa axeibakana bewakanai
Tsanas 	ellos llaman a la niña del corte de cerquillo y la sienta sobre la alfombra de hojas de shebon y la abuela les muestra cómo se hace	ja besteti bake ainbo kenaxon pishiman yakamaxon yoxaman jato oinmai jaskaakin ati
Tsanas 	el profesor les hace diferentes preguntas	axeamisnin mesko yokabo jato akai
Tsanas 	¿qué nos enseñó la abuela?	¿jaweki noa yoxaman axeaka?
Tsanas 	¿qué cosas debemos juntar para realizar el corte de cerquillo a la niña?	¿jaweboki non tsinkiti iki ja bake bestenoxon?
Tsanas 	¿cualquiera puede cortar el corte de cerquillo a la niña?	¿wetsaxonbiresmein bake besteti iki?
Tsanas 	luego de entregarles el cuaderno a los niños para que trabajen, explícales cómo deben hacerlo.	jan teeti kirika bakebo menixon jaskaakin tee atibo yoiwe
Tsanas 	di qué trabajos están realizando en estos dibujos	jawe akiboki nato ribojomeran ikanai ixon yoiwe
Tsanas 	luego encierra en un círculo los cuatro dibujos que encuentres que no son parecidos	jainxon chosko ja jisama wetsa ribojoain meraxon westiora torokan xepowe
Tsanas 	di qué actividades están realizando en estos dibujos	jawe akiboki nato ribojo ikainko ikanai yoiwe
Tsanas 	luego encuentra otros cuatro dibujos que no son parecidos y enciérralos en un círculo	jainxon chosko ja jisama wetsa ribojoain meraxon westiora torokan xepowe
Tsanas 	el adorno de la niña y el niño	bake ainbo itan benbo jan rao kataibo
Tsanas 	el profesor debe traer al aula	axeamisnin axeti xobonko beti
Tsanas 	una corona de mostacilla	westiora maiti
Tsanas 	correa de mostacilla	chinexeti
Tsanas 	arete de mostacilla	paronoti
Tsanas 	adorno de plata para el labio inferior	kori
Tsanas 	blusa	koton
Tsanas 	falda	chitonti
Tsanas 	nariguera	rexo
Tsanas 	pulsera de hilo	jonxe
Tsanas 	cushma y entre otros adornos	tari itan wetsa jan raotibo
Tsanas 	la abuela se sienta con los niños y, mostrándoles en medio diferentes adornos reunidos, les enseña cómo se deben adornar.	bakebo yakakinxon yoxaman jato bebon mesko raotibo tsamanxon jato oimaxon jaskati raotibo jato axeai
Tsanas 	el profesor les hace diferentes preguntas	axeamisnin mesko yokabo bakebo akai
Tsanas 	¿cómo son esos adornos?	¿jawekeskara jisarin ja raotibo?
Tsanas 	¿de qué están elaborados?	¿jawebo akanamein iki?
Tsanas 	¿todos esos adornos son iguales?	¿jatibi raotiki ja jisabires iki?
Tsanas 	¿en qué momento uno debe adornarse?	¿jaonobo sawetimein iki?
Tsanas 	¿ustedes también tienen esos tipos de adornos?	¿matoki jaskara raotiboya iki?
Tsanas 	¿cuándo uno debe vestirse así?	¿jawetianki noa neskati raoti iki?
Tsanas 	escucha lo que dicen los niños	bakebaon shinabo ninkawe
Tsanas 	salga al patio con una niña y un niño, adórnalos y canta con ellos el canto shipibo.	westiora bake ainbo betan bake benbo raotibo sawemaxon jeman pikokinxon jato masha ikinwe
Tsanas 	mirando los dibujos	ribojobo oinxon
Tsanas 	conociendo los adornos de la mujer y el hombre en la fiesta de corte de cerquillo	besteti xeatiainkokai ainbo itan benbo jan raokatibo onanxon
Tsanas 	recórtalos y pégalos	tsekaxon taxnanwe
Tsanas 	finalmente haz que los niños expliquen el trabajo que han realizado	seneanxon bakebo yoimawe jaskara tee akana yoiti
Tsanas 	conociendo los adornos de la mujer y el hombre en la fiesta de corte de cerquillo	besteti xeatiainkokai ainbo itan benbo bake jan raokatibo onanxon
Tsanas 	recórtalos y pégalos donde están esos niños	tsekaxon taxnanwe ja bake ikainko
Tsanas 	confeccionando collares	teoti ati
Tsanas 	pídeles a los padres de los niños que traigan diferentes semillas confeccionables, que los huequeen, ya listos ponerlos en una botella con el nombre de cada niño y traerlos al aula.	bakebaon papabo yokawe mesko bimi bero keontibo tsinkixon kiniaxonbo moa keontires botirianin napoxon jawe baken janeyabo bake bemanon
Tsanas 	el profesor trae al aula diferentes semillas e hilos para confeccionar	axeamisnin jan bero keonti yoman itan mesko beroboribi axeti xobonko beai
Tsanas 	reflexiona con los niños sobre diferentes temas y reúnete ordenadamente	bakebo betan mesko joibo seneanwe jakonax raenankanon
Tsanas 	siéntate con los niños en círculo y luego entrégales diferentes semillas y pedazos de hilo para que elaboren sus collares.	bakebo torokinxon jato yakakinwe, jainxon yoman pakexbo itan mesko bimi berobo menixon jato keonmawe teotiakanon
Tsanas 	luego de entregarles el cuaderno a los niños para que trabajen, explícales cómo deben hacerlo. haz que los niños peguen en sus cuadernos las diferentes semillas iguales a las que vieron en su collar. finalmente coge las semillas que más te guste y pégalas.	jan teeti kirika bakebo menixon jaskaakin tee atibo yoiwe, bakebaon teoti akin peoa oinxon ja bimi bero keona rabe ja jisa chibamakin berobo taxnanwe, jainxon min kena jisakin bimi berobo bixon taxnanwe
Tsanas 	aprecia los collares confeccionados colocados en fila y que expliquen cómo los han elaborado	ja teoti akanabo joyonxon oinkanai itan jawe bimiboki keonkana ixon yoikanai
Tsanas 	luego en el aula amarra una caña larga y cuelga los collares de los niños todos los días para que puedan mirarlos al venir al aula	jainxon axeti xobonko westiora tawa nenke nexawe jain bakebaon jaton teotibo paninai netetibi joax tsinikantikopi
Tsanas 	haz que los niños peguen en sus cuadernos las diferentes semillas iguales a las que vieron en su collar	bakebaon teoti akin peowa oinxon ja bimi bero keona rabe ja jisa chibamakin berobo taxnanwe
Tsanas 	finalmente coge las semillas que más te guste y pégalas	jainxon min kena jisakin bimi berobo bixon taxnanwe
Tsanas 	nombres	jane
Tsanas 	¿? no es posible traducir.	te menin inonxon ati iki paka jawetirin toponwe
Tsanas 	para realizar este trabajo conversa con los papás de los niños para que corten el bambú y traigan al aula	nato tee anoxon bakebaon anibo betan yoyo ixon yoiwe paka xatexon axeti xobonko jawen bake bemanon
Tsanas 	el profesor trae las hojas de las ramas del mango al aula.	axeamisnin, mankoa xama pei axeti xobonko beai
Tsanas 	coordina con un papá para que pueda visitarnos al aula	westiora papa betan joi seneanwe bakebo merakin iwenoxon
Tsanas 	el anciano llevándolos a la sombra debajo del árbol de mango	yosin mankoa naman jato iwexon teka menin inon ixon paka xon ati jato yoiyai ninkakinwe
Tsanas 	hace que escuchen el sonido del palo de bambú	jainxon pakabo jato menipakeai
Tsanas 	luego les entrega el pedazo de bambú a cada uno y el anciano demuestra la forma correcta de soplar el bambú	rekenpari yosin jaskakin paka xon ati jato tanaxonai
Tsanas 	luego los niños imitan lo que ha hecho el anciano	jainxon bakebaon ja mawakin paka xon ashokoai
Tsanas 	el profesor hace diferentes preguntas en el aula	axetixobonkoxon mesko yokabo akai
Tsanas 	¿qué nos enseñó el anciano?	¿jaweki noa yosin axeaka?
Tsanas 	¿qué hemos soplado?	¿jaweki non xon aka?
Tsanas 	¿cómo ha sido el sonido?	¿jawekeskatiki xon ika?
Tsanas 	¿todos podemos sacar un sonido parecido?	¿jatixonbiki ja jisakinbiresakin xon aka?
Tsanas 	¿quién hizo sonar más fuerte?	¿tsonaki kikin kesten ika?
Tsanas 	¿les ha gustado soplar el bambú?	¿maton kenki ika paka xon aka?
Tsanas 	¿cuántos bambús tenemos?	¿jaweti pakarin?
Tsanas 	cuéntenlos	toponwe
Tsanas 	escucha lo que opinan los niños	bakebaon shinanbo ninkawe
Tsanas 	en el aula después de haberles enseñado cómo soplar la hoja de mango, jueguen tal como se demostró. luego pregúntales si es lo mismo que soplar el bambú.	axetixobonkoxon mankoa pei menixon jato xon ati axeaxon xon amakin jato tsinimawe, jainxon jato yokatai paka xon aka jisaribirin ixon
Tsanas 	luego de entregarles el cuaderno a los niños para que trabajen, explícales cómo deben hacerlo. después de escuchar sobre cómo ser hábil en el trabajo, cuenta cuántos hombres y mujeres hay y pega la cantidad de palitos.	jan teeti kirika bakebo menixon jaskaakin tee atibo yoiwe, jaskatax te menin iti ninkata pekao, jaweti benbo itan ainbo bakerin jati jiwi taxnanxo toponwe
Tsanas 	después de escuchar sobre cómo ser hábil en el trabajo	jaskatax te menin iti ninkata pekao
Tsanas 	cuenta cuántos hombres y mujeres hay y pega la cantidad de palitos	jaweti benbo itan ainbo bakerin jati jiwi taxnanxo toponwe westiora
Tsanas 	hablar sobre el ratón grande saliendo al frente	teraka ki ika imaa pikoxon yoiti
Tsanas 	el profesor explica a los niños cómo deben realizar la tarea	axeamisnin jaska axon bakebo betan tee atibo yoiya
Tsanas 	dibuja en un papelote al ratón grande y tráelo al aula	axeti xobonko ani kirika pein teraka ribojanxon bewe
Tsanas 	después de mostrar el dibujo a los niños, conversen. luego escucha lo que dicen.	bakebo ribojo oinmaxon yoyo ikenwe, jaskara jisa yoikanaibo ninkawe
Tsanas 	dales algunas ideas a los niños para que salgan e imiten el ratón grande.	bakebo shinan meniwe, imaxon pikoti terakaki ika
Tsanas 	arranca la hoja de cuaderno y entrégala a los niños	bakebo kirika pei tsekaxon meniwe
Tsanas 	ver los dibujos	ribojo ointi
Tsanas 	luego léalo para después hacer el trabajo	jainxon yoyo axonwe jaskaaxon tee ati
Tsanas 	dibuja un cuento para crear al ratón grande donde falte. luego corta los papeles, pega uno con los hilos de manera ordenada y decóralos bonito. luego explícales a todos.	terakaki ika westiora imaa pikonoxon ja maxkatainko ribojanwe, jainxon xatexon westiora yomaman joyonkin taxnanxon metsakin raoawe, ja pekao min imaa pikoa jato yoiwe
Tsanas 	luego de haber inventado, reproducir: primero, dar un nombre inventado, después escribir al respecto, finalmente volver a hacerlo de esa manera.	imaa pikoxon jaskaakin chibankin wishati: rekenpari, imaa jane meniti, jaki ika wishati kopi, japekao jaskaati peokota, jaskara winota, jain keyota
Tsanas 	pregúntales a los niños sobre el trabajo que han realizado	bakebo yokawe jaskara tee kana yoiti
Tsanas 	¿qué estamos viendo en este dibujo?	¿jaweki nato ribojoain non oinai?
Tsanas 	¿cómo es?	¿jawekeskara jisarin?
Tsanas 	¿de qué color está pintado?	¿jawekeskara jisakan sikayarin?
Tsanas 	¿emite sonido?	¿keotairin?
Tsanas 	después de escuchar a los niños vuelve a explicar	bakebo ninkata pekao jato yoiribiwe
Tsanas 	el ratón grande emite sonido	teraka yoina riki keotai ixon
Tsanas 	imítalo	tanaxonwe jato
Tsanas 	pero	ikaxbi
Tsanas 	sin embargo dicen que no debes imitarlo cuando emite sonido	ikaxbi yoiyai jaa keotaitian min mawatima iki
Tsanas 	porque si lo imitas te vuelves ronco	jaa mawaxa mia teka texbati iki
Tsanas 	después de pinta esos dibujos escoge uno, luego recórtalo en un círculo, enciérralo y adórnalo bonito. luego explícales.	ja ribojobo sikaxon westiora imaa pikowe, jainxo xatexon westiora torokan xepoxon ja chiteki metsaakin raoawe, jainxo jato yoiwe
Tsanas 	conociendo al lobo de río	bonsin onanti
Tsanas 	muéstrales a los niños el lobo de río dibujado para que hagan el trabajo	bakebo bonsin ribojanxon oinmaxon tee awe
Tsanas 	pegue el dibujo y dígales qué cosa es el lobo de río, por qué es peligroso imitar al lobo de río, habiéndoles escuchado agrúpalos en dos, entrega los lobos de río dibujados en un papelote y haz que coloreen. finalmente deben pegarlo, luego comentan qué cosas hace el lobo de río.	ribojo taxnanxon jato yoiwe, jawerin bonsin ixon, jawekopiki bonsin onsa iki mawati, yoiya ninkatapekao, rabe tsama axon, westiora ani kirika pein bonsin ribojana menixon jato sikamawe, seneanxon jaton teebo taxnanti, jainxon yoikanai, ja onankana bonsiki jawe iki
Tsanas 	¿conocen ustedes al lobo de río?	¿matonki bonsin onana?
Tsanas 	¿cómo es el lobo de río?	¿jawekeskara jisarin bonsin?
Tsanas 	¿en qué lugares se encuentra?	¿jaono jaarin?
Tsanas 	¿cómo se les debe pedir para que no nos hechice?	¿jawekeskakin yokatirin noa yotonaketian?
Tsanas 	¿qué nos podría hacer el lobo de río?	¿noamein bonsima jaweati iki?
Tsanas 	¿cuál sería la forma correcta de pedirle al lobo de río para que no nos hechice?	¿jawekeskakimein non bosin yokati iki noa yotoyamanon ixon?
Tsanas 	al regresar a la casa, los niños deben preguntarle a sus papás todo lo referente al lobo de río.	xobon kaxon jaton papabo yokati iki bonsinki
Tsanas 	viendo el dibujo del lobo de río	bonsin ribojo oinxon
Tsanas 	comentan	yoikanai
Tsanas 	¿por qué el lobo de río es peligroso?	¿jawekopiki bonsin onsa iki?
Tsanas 	diga	yoiwe
Tsanas 	los niños cantan mashá	bakebo masha bewai
Tsanas 	coordina con una anciana para que venga a enseñarles a los niños a cantar mashá	yoxan betan joi seneanwe bakebo masha iti axeaki jonon ixon
Tsanas 	la anciana enseña a los niños un canto sobre el corte de cerquillo a la niña.	yoxaman, bake ainbo besteaki ika masha iti bakebo axeakai
Tsanas 	salen al patio e intercalando niños y niñas empiezan a cantar el mashá	jeman pikotax bake benbobo ainbaon xaranya masha ikanai
Tsanas 	junto el aguaje bajo el sol, junto el aguaje, los hago sentar.	binon topikan barin binon topikan yasan akebainxon
Tsanas 	(bis)	(rabeti iti)
Tsanas 	voy a cumplir con el cerquillo de la mujer bien hecho	en senen abanon chono bepan seneman
Tsanas 	voy terminando el corte con mis poderosas manos de anaconda	senen senen ayonkin nokon ashtaroninbi
Tsanas 	poniéndome mis guantes de hierro	mesawemetanan yami ashtaroninbi
Tsanas 	voy a terminar los acabados	en senen ayonba
Tsanas 	en el aula comentan sobre cómo se cantaban antiguamente	axeti xobonxon jaskati bewakanaboki yoyo ikanai
