Wixarika_Corpora 	 Muchacha de cabello largo	Uka maka t+t+ 
Mexican_constitution 	Sólo podrá ser gobernador constitucional de un Estado un ciudadano mexicano por nacimiento y nativo de él, o con residencia efectiva no menor de cinco años inmediatamente anteriores al día de los comicios, y tener 30 años cumplidos el día de la elección, o menos, si así lo establece la Constitución Política de la Entidad Federativa. 	Xeikía tatuwani `etsitaru mieme wimaritsie maiyati mayani kaniyiweweni xewiti Mekiku kekame metá mana `utinuiwame. mana ‘ukaiti tsikere `auxuwi tukari heimana witari hiawarixa matiné tukari hetia `iniariti, metá 30 witari haye`atiame hiawarixa tukaritsie, ya yaki paimeme, xika tsi mipai haineni wimari mana `etsitaru mieme. 
Mexican_constitution 	II. El número de representantes en las legislaturas de los Estados será proporcional al de habitantes de cada uno; pero, en todo caso, no podrá ser menor de siete diputados en los Estados cuya población no llegue a 400 mil habitantes; de nueve, en aquellos cuya población exceda de este número y no llegue a 800 mil habitantes, y de 11 en los Estados cuya población sea superior a esta última cifra. 	II. Xeputaritsixi mirewatixaxatsitiretsie `etsitarute miemetexi kiekatari wahepaitsita me`iniariti meniyiakakuni; naimeki, ‘atahuta tsikere menihikitikakuni `etsitarute kehate 400 waxawi kiekatari memiwarexeiya; ‘atanauka, kewa kiekatari ke memeyupaimeni peri tsi 800 waxawi mekahanutiyeikati. >Metá 11 kewa `etsitarute wakiekatari manutiyeikani `iniari kiekatari maxaxatsiwa `ena. 
Mexican_constitution 	Las Constituciones estatales deberán establecer la elección consecutiva de los diputados a las legislaturas de los Estados, hasta por cuatro periodos consecutivos. 	Wimarite ´etsitarute miemetexi xeputaritsixi mana miemetexi kepai memitehatihiawarieximeni mekanitiwewiekuni, memitihiawarieni naukakia yu´utima hau´ukame kaniyiweni. 
Mexican_constitution 	La postulación sólo podrá ser realizada por el mismo partido o por cualquiera de los partidos integrantes de la coalición que los hubieren postulado, salvo que hayan renunciado o perdido su militancia antes de la mitad de su mandato. 	Miki yaxeikía paritiriyutsie xeikía memuyuti´uitiwani kaniyiweni metá ke´ane matia miki paritiriyu mayukawima, ya miki paritiriyu mepiteuku´eiri ya mepiteihayewaxi yu´uximayatsika hixiapa meka´utinexiaweti. 
Mexican_constitution 	Las legislaturas de los Estados se integrarán con diputados electos, según los principios de mayoría relativa y de representación proporcional, en los términos que señalen sus leyes. 	Mirewatixaxatsitiretsie ´etsitaru mieme muwa xeputaritsixi memutihiawarie mekanayetekuni, wututsie metá kepaimeme wutu waparitiriyu mu´axixi hepaitsita memutihiawarie, leitexitsie mana mieme ke mutiyuaneni. 
Mexican_constitution 	En ningún caso, un partido político podrá contar con un número de diputados por ambos principios que representen un porcentaje del total de la legislatura que exceda en ocho puntos su porcentaje de votación emitida. 	Ni tima xewiti paritiriyu yuwaikawa xeputaritsixi mana kapiwarexeiyani ‘anutiyeikati ´atahaimeki wutuki ke yupaimeti reputaritsixi memakika. 
Mexican_constitution 	Esta base no se aplicará al partido político que por sus triunfos en distritos uninominales obtenga un porcentaje de curules del total de la legislatura, superior a la suma del porcentaje de su votación emitida más el ocho por ciento. 	‘Iki ´ena mirayuxaxata paritiriyu ke´ane mirayu´iwaxi hetsie mieme kapayani xika miki paritiriyu naime ´uwenite ´u´axé, ‘anutiyakameki ´atahaika purutsienituyari wutuki kepaimeme mu´axekai. 
Mexican_constitution 	Asimismo, en la integración de la legislatura, el porcentaje de representación de un partido político no podrá ser menor al porcentaje de votación que hubiere recibido menos ocho puntos porcentuales. 	Metá mikiki mirewatixaxatsitire miyutamianitsie, xewiti paritiruyu mana reputaritsixi kapiwarexeiyani yaki meyupaimeme wutu kepaimeme mu´axixi hetía ´atahaika purutsienituyari. 
Mexican_constitution 	Corresponde a las legislaturas de los Estados la aprobación anual del presupuesto de egresos correspondiente. 	Mirewatixaxatsitire ´etsitaru miemetexi kaniwa´uximayaka memitanaki´erieni tumini ke mireuyune mayemie xei witari mieme. 
Mexican_constitution 	Al señalar las remuneraciones de servidores públicos deberán sujetarse a las bases previstas en el artículo 127 de esta Constitución. 	Ke pauka kiekaritsie te´uximayatamete ke memitepitiariekatsie memika´uwani ´aritikuru 127 ke mutaine ‘iki wimaritsie me’utaneeti meniyiakakuni. 
Mexican_constitution 	Los poderes estatales Legislativo, Ejecutivo y Judicial, así como los organismos con autonomía reconocida en sus constituciones locales, deberán incluir dentro de sus proyectos de presupuestos, los tabuladores desglosados de las remuneraciones que se propone perciban sus servidores públicos. 	`Itsikate `etsitarute miemetexi Legislativo, Ejecutivo y Judicial, metá parewiya yetuayamete yuxaitá memiyuni`aki wimarite `etsitarute miemetexitsie mahekiatika, miki meneye’atiakuni tumini kepaimeme memitawauni xapayari, mana kanayehukakuni xapa `iniatsiya hayemieti kepai memiteiku`ininiata mana `uximayatamete memite`iwani. 
Mexican_constitution 	Estas propuestas deberán observar el procedimiento que para la aprobación de los presupuestos de egresos de los Estados, establezcan las disposiciones constitucionales y legales aplicables. 	‘Iki xapa muyutawewienitsie menixeiyakuni kepai mitiyuku naki`eriwa miki tumini kepai mema`iwawa miki `etsitarutetsie kepai tsimitiutainenitsie wimaritetsie metá leitexi mana mieme. 
Mexican_constitution 	Las legislaturas de los estados contarán con entidades estatales de fiscalización, las cuales serán órganos con autonomía técnica y de gestión en el ejercicio de sus atribuciones y para decidir sobre su organización interna, funcionamiento y resoluciones, en los términos que dispongan sus leyes. 	Mirewatixaxatsitire `etsitaru miemetexi meneixeiyakakuni yuparewiwamete tumini xexeiyamete, miki yuxaitá niyuni`akamiki, metá yuxaitá metekumauwati, yuxaitá kepai yutaitá miti`uximayatsieka nexeiyakamiki, kepai mitiumieni metá kepai mitiunitsani, kepai tsi leitexieya mutiyuaneni. 
Mexican_constitution 	La función de fiscalización se desarrollará conforme a los principios de legalidad, imparcialidad y confiabilidad. 	Miki tumini xeiyarikatsie katiniyianemiki leitsie `utaneeti, xeimetsie katiutaneeti, metá `aixia tiyu`iyatsiniati. 
Mexican_constitution 	Asimismo, deberán fiscalizar las acciones de Estados y Municipios en materia de fondos, recursos locales y deuda pública. 	Miki tsiere menixeiyakakuni kepai memiyia tuminitsie `etsitaru metá munitsipiyu, yutumini mana miemetsie metá kiekari mirapinetsie. 
Mexican_constitution 	Los informes de auditoría de las entidades estatales de fiscalización tendrán carácter público. 	Maiya muyuyetuiwa tumini xexeiyamete `etsitaru miemetexi miki yemeki `aixia katinahekiakamiki kiekaritsie. 
Mexican_constitution 	El titular de la entidad de fiscalización de las entidades federativas será electo por las dos terceras partes de los miembros presentes en las legislaturas locales, por periodos no menores a siete años y deberá contar con experiencia de cinco años en materia de control, auditoría financiera y de responsabilidades. 	Miki teparewiwamete tumini xeiyameta `itsikameya kanitahiawariemiki ya meteha`eriwakaku yuwaiká yuwututsie mirewatixaxatsitiretsie, `atahuta hetía witari kareutetere miki `auxuwi witari kanexeiyakamiki ti`uximayati tumini ‘iwiyarikatsie, tumini xeiyaritsie, metá yu`atiarikaki. 
Mexican_constitution 	La cuenta pública del año anterior deberá ser enviada a la Legislatura del Estado, a más tardar el 30 de abril. 	Tumini kepaimeti miyutixitia xei witari manuyetia mieme mirewatixaxatsitiretsie `etsitaru mieme kananuni`ariemiki, 30 abril kahanutiyeiwekaku. 
Mexican_constitution 	Sólo se podrá ampliar el plazo de presentación cuando medie solicitud del Gobernador, suficientemente justificada a juicio de la Legislatura. 	Miki tukari miyukuyuitiani kaniyiweni xika tatuwani mipai haineni, yemeki hautimaiyaxiayu mirewatixaxatsitiretsie. 
Mexican_constitution 	Las Legislaturas de los Estados regularán los términos para que los ciudadanos puedan presentar iniciativas de ley ante el respectivo Congreso. 	Mirewatixaxatsitiretsie `estitarute miemetexi menixeiyakakuni kepai ti`anemeki kiekatari leitexi memipatawe ya xeime ‘ayeikame memiyetuaniki muwa mirewatixaxatsitiretsie. 
Mexican_constitution 	III. El Poder Judicial de los Estados se ejercerá por los tribunales que establezcan las Constituciones respectivas. 	III. Poder Judicial `etsitaru miemetexi miki niyu`uximayakamiki xanetsitiariwameki wimarite miwati`uitiani. 
Mexican_constitution 	La independencia de los magistrados y jueces en el ejercicio de sus funciones deberá estar garantizada por las Constituciones y las Leyes Orgánicas de los Estados, las cuales establecerán las condiciones para el ingreso, formación y permanencia de quienes sirvan a los Poderes Judiciales de los Estados. 	Makitsitirarutsixi yuxaitá mekaniyuni`akakuni metá texanetsitiariwamete wa`uximayatsika maye`axeniki miki niyuxeiyakamiki wimariteki metá leitexiki `etsitaru miemetexi, miki mekanitiwewiekuni kepai ti`anemeki, mitiyemaiximeni metá mana memite`uximayaka poderes judiciales `etsitaru miemetsie. 
Mexican_constitution 	Los Magistrados integrantes de los Poderes Judiciales Locales, deberán reunir los requisitos señalados por las fracciones I a V del artículo 95 de esta Constitución. >No podrán ser Magistrados las personas que hayan ocupado el cargo de Secretario o su equivalente, Procurador de Justicia o Diputado Local, en sus respectivos Estados, durante el año previo al día de la designación. 	Makitsitirarutsixi Poder Judicial `etsitaru mieme memaye`u, metenaye`atiwakuni tita tinaiti mira`iwauriwa piratsiunixitsie I `uti`akame V `aritikuru 95 `iki wimaritsie. makitsitirarutsixi memakine mekapiyiwe kehate te`utiwamete memaki ya hepaina reuyukuhanti, Procurador de Justicia ya xeputari `etsitaru mieme, yu`etsitarutetsie, xei wiyari hiawarixa matinenitsie. 
Mexican_constitution 	Los nombramientos de los magistrados y jueces integrantes de los Poderes Judiciales Locales serán hechos preferentemente entre aquellas personas que hayan prestado sus servicios con eficiencia y probidad en la administración de justicia o que lo merezcan por su honorabilidad, competencia y antecedentes en otras ramas de la profesión jurídica. 	Memitihiawarieni makitsitirarutsixi metá texanetsitiariwamete memanuka`uní poderes judiciales `etsitarute miemetexi mekanakinikuni kehate teiteri yu`uximayatsika `aixia memitehaye`atia metá heitseriekameki xika ti`uximayaka `aixia miti`ane ya menupiiní pitiyiwe `aixia mitiuka’iyariki, yu`uximayatsikaki metá ke mireutewi leitexi hepaitsita ti`uximayati tinakemeki. 
Mexican_constitution 	Los magistrados durarán en el ejercicio de su encargado (sic DOF 17-03-1987) el tiempo que señalen las Constituciones Locales, podrán ser reelectos, y si lo fueren, sólo podrán ser privados de sus puestos en los términos que determinen las Constituciones y las Leyes de Responsabilidades de los Servidores Públicos de los Estados. 	Makitsitirarutsixi yu`uximayatsikatsie memiteutetereniki (sic DOF 17-03-1987) kepaimeme witari wimari `etsitaru mieme mitipiine, tawari memutihiawarieni mekaniyiweni, xika mipai tiuyini, yu`uximayatsikate memukunamiyarieni kaniyiweni kepai tsi wimarite memiteukuxeiyatika metá leitexi `ataiarikatetsie timietexi kiekaritsie te`uximayatamete waki mitikuxata `etsitaru miemetexi. 
Mexican_constitution 	Los magistrados y los jueces percibirán una remuneración adecuada e irrenunciable, la cual no podrá ser disminuida durante su encargo. 	Makitsitirarutsixi metá texanetsitiariwamete metenipitiariekakuni tinakemeki metá kayuhayewaniati, miki manakahiiyani kapiyiwe mana memaka`ukatsie. 
Mexican_constitution 	IV. De conformidad con las bases establecidas en esta Constitución y las leyes generales en la materia, las Constituciones y leyes de los Estados en materia electoral, garantizarán que: 	IV. `Ena `iki wimaritsie miraxaxatsiwa `utaneekameki metá naime leitexi mana mieme, wimarite metá leitexi hiawaritsie mieme metenaye`atiwakakuni naime `iki: 
Mexican_constitution 	a) Las elecciones de los gobernadores, de los miembros de las legislaturas locales y de los integrantes de los ayuntamientos se realicen mediante sufragio universal, libre, secreto y directo; y que la jornada comicial tenga lugar el primer domingo de junio del año que corresponda. 	a) Hiawarixa tatuwanitsixi wahetsie mieme metá mirewatixaxatsire memanuka`uuni tsiere munitsipiyute te`uximayatamete wututsie katiniyimiki, tinakemeki, kamatsiikiti metá yuxewitiki; miki hiawarixa kanatinemiki junio metseriyatsie matiari tumikutiyari miki witari miemetsie. 
Mexican_constitution 	Los Estados cuyas jornadas electorales se celebren en el año de los comicios federales y no coincidan en la misma fecha de la jornada federal, no estarán obligados por esta última disposición; 	`Etsitarute kehate hiawarixa matineni naiti Mekiku kiekari hepaitsita peri tsi katikunanaketi yaxeikía tukari hiawarixa, miki ‘ena miraxaxatsiwa memitehaye`atiani wahepaitsita kapitirikare. 
Mexican_constitution 	b) En el ejercicio de la función electoral, a cargo de las autoridades electorales, sean principios rectores los de certeza, imparcialidad, independencia, legalidad, máxima publicidad y objetividad; 	b) `Uximayatsika maye`axeniki, miki menehanani `itsikate hiawarixa miemetexi, tiyuritsie me’utaneeti mekaniyiakakuni, xeimetsie meka`utaneeti, yuxaitá, leitexitsie me`utaneeti, naiti mamaiyakaki, metá ‘ahekiakameki; 
Mexican_constitution 	c) Las autoridades que tengan a su cargo la organización de las elecciones y las jurisdiccionales que resuelvan las controversias en la materia, gocen de autonomía en su funcionamiento, e independencia en sus decisiones, conforme a lo siguiente y lo que determinen las leyes: 	c) `Itsikate kehate hiawarixa mematinenetiwani miwa`uximayatsika metá naiti miranutineika miki hiawarixa hepaitsita, miki yuxaitá meniyuni`akakuni, metá tixaititsie mekate`utaneeti, `ena miraka`uxatsie `utaneeti metá leitexi ke mutiyuaneni. 
Mexican_constitution 	1o. 	1o. 
Mexican_constitution 	Los organismos públicos locales electorales contarán con un órgano de dirección superior integrado por un consejero Presidente y seis consejeros electorales, con derecho a voz y voto; el Secretario Ejecutivo y los representantes de los partidos políticos concurrirán a las sesiones sólo con derecho a voz; cada partido político contará con un representante en dicho órgano. 	Parewiwa yetuayamete hiawarixatsie `etsitarute mieme miki yu`itsikate mekaniwarexeiyakakuni miki mekaniyiakakuni xeiti yeme `itsikame metá meyu`ataxewiti kutsekutsixi hiawaritsie miemetexi, yununuwame mehexeiyati memutiniukaniki metá mimuwutaruwaximeniki; ti`utiwame metá niukamete paritiriyutsie miemete meneta`axekuni xeitsitsikatsie yununuwame xeikía memutiniukaniki mehexeiyati; yuxexuiti paritiriyu xeime niukame mana parewiwame ta mekanexeiyakakuni. 
Mexican_constitution 	2o. 	2o. 
Mexican_constitution 	El consejero Presidente y los consejeros electorales serán designados por el Consejo General del Instituto Nacional Electoral, en los términos previstos por la ley. >Los consejeros electorales estatales deberán ser originarios de la entidad federativa correspondiente o contar con una residencia efectiva de por lo menos cinco años anteriores a su designación, y cumplir con los requisitos y el perfil que acredite su idoneidad para el cargo que establezca la ley. 	Kutseku `itsikame metá kutsekutsixi hiawarixatsie mieme miki menanayuyexiriyakuni Consejo General del Instituto Nacional Electoral, leitexi hetsie `utaneeti, kutsekutsixi hiawaritsie miemetexi mana `etsitarutsie memutihiawarie makaninuiwakametexi tini ya tsikere mana mekuteeti `ataxewí wiyari `anuyemiekaku memitihiawarienitsie, metá naiti tita mira`iwauriwa katinaye`atiwamiki mana manukakeniki leitsie mirayehu. 
Mexican_constitution 	En caso de que ocurra una vacante de consejero electoral estatal, el Consejo General del Instituto Nacional Electoral hará la designación correspondiente en términos de este artículo y la ley. 	Xika xeiti `uweni mana `utahekiare mana xeiti kutseku heuyewekaku `etsitaru mieme, miki mana Consejo General del instituto Nacional Electoral xeime kananuyehiamiki `iki `aritikurutsie `utaneeti metá leitsie. 
Mexican_constitution 	Si la vacante se verifica durante los primeros cuatro años de su encargo, se elegirá un sustituto para concluir el período. >Si la falta ocurriese dentro de los últimos tres años, se elegirá a un consejero para un nuevo periodo. 	Xika miki `uweni `anutineeni nauka wiyari matiarixitsie miki `uximayatsikatsie, xeiti mana mieme kanitahiawariemiki. xika miki `uweni watimaaweré haika wiyari miki `uximayatsika meutiparirimemitsie, xewiti kutseku kanitahiawariemiki naime wa’iyariki miki `uximayatsika ke mayetetere. 
Mexican_constitution 	3o. 	3o. 
Mexican_constitution 	Los consejeros electorales estatales tendrán un período de desempeño de siete años y no podrán ser reelectos; percibirán una remuneración acorde con sus funciones y podrán ser removidos por el Consejo General del Instituto Nacional Electoral, por las causas graves que establezca la ley. 	Kutsekutsixi `etsitaru miemetexi mana meteni`uximayakakuni `atahuta witari metá tawari memitihiawarieni mekayiweti; ke memiteyurieki metenipitiariekuni metá memanakaxiriyani mekaniyiwaweni Consejo General del Instituto Nacional Electoral, nanaimarikaki yemeki kwinie ti`anenemeki. 
Mexican_constitution 	4o. 	4o. 
Mexican_constitution 	Los consejeros electorales estatales y demás servidores públicos que establezca la ley, no podrán tener otro empleo, cargo o comisión, con excepción de los no remunerados en actividades docentes, científicas, culturales, de investigación o de beneficencia. 	Kutsekutsixi hiawaritsie miemetexi metá yunaiti kiekaritsie te`uximayatamete lei miwaraxaxata, xeime tawari `uximayatsika memexeiyani mekapiyiwe, `uwenitsie ya hiritiarika, xeikía kewa memepitiariaka ‘ikitiarikatsie, maikatetsie, yeiyaritsie, maiyá wawiya, ya perewiya yetuiyariki. 
Mexican_constitution 	Tampoco podrán asumir un cargo público en los órganos emanados de las elecciones en cuya organización y desarrollo hubieren participado, ni ser postulados para un cargo de elección popular o asumir un cargo de dirigencia partidista, durante los dos años posteriores al término de su encargo. 	Tsiere menanuka`uuni xeime `uximayatsikatsie kiekaritsie mieme hiawarixa `iwaritsie `anutineeku, ni tima memutihiawarieni tixaiti `uximayatsikatsie wututsie `iwarika `anutineeyu ya pariritiriyu mahanani, huta wiyari heimana miki `uximayatsika mehayewayu. 
Mexican_constitution 	5o. 	5o. 
Mexican_constitution 	Las autoridades electorales jurisdiccionales se integrarán por un número impar de magistrados, quienes serán electos por las dos terceras partes de los miembros presentes de la Cámara de Senadores, previa convocatoria pública, en los términos que determine la ley. 	`Itsikate hiawarixa miemetexi yayeukia memixeiya kahakahuhutameki meni`iniarikakuni, miki menitihiawariekuni yuwaiká Cámara de Senadores memayeteni, `inierixa meripaiti `anutineyu, leitsie ke mutaine `utaneekameki. 
Mexican_constitution 	6o. 	6o. 
Mexican_constitution 	Los organismos públicos locales electorales contarán con servidores públicos investidos de fé pública para actos de naturaleza electoral, cuyas atribuciones y funcionamiento serán reguladas por la ley. 	Parewiwame yetuayamete hiawarixatsie `etsitaru miemetexi kiekaritsie te`uximayatamete mekaniwarexeiyakakuni kiekari kename naime yuri tiwa`erie miki hiawarixatsie, miki wa`uximayatsika leitsie nixeiyariekamiki. 
Mexican_constitution 	7o. 	7o. 
Mexican_constitution 	Las impugnaciones en contra de los actos que, conforme a la base V del artículo 41 de esta Constitución, realice el Instituto Nacional Electoral con motivo de los procesos electorales locales, serán resueltas por el Tribunal Electoral del Poder Judicial de la Federación, conforme lo determine la ley. 	Xanetsikate ke mitiuyí hepaitsita, V tsutía mieme `aritikuru 41 `iki wimaritsie, xika Instituto Nacional Electoral `itiwewieni hiawarixa matineikaki `etsitarutetsie, miki kanakaniriexiakuni Tribunal Electoral del Poder Judicial de la Federación. >Lei tsi ke mutaineni. 
Mexican_constitution 	d) Las autoridades electorales competentes de carácter administrativo puedan convenir con el Instituto Nacional Electoral se haga cargo de la organización de los procesos electorales locales; 	d) `Itsikate hiawarixa miemetexi metekemati miki hiawarixa xexeiyamete memiyuwima Instituto Nacional Electoral matia mekaniyiwaweni miki hirixia miyehanaki mana `etsitarutsie. 
Mexican_constitution 	e) Los partidos políticos sólo se constituyan por ciudadanos sin intervención de organizaciones gremiales, o con objeto social diferente y sin que haya afiliación corporativa. 	e) Paritiriyutsixi kaniyutiwewiwanimiki kiekatari waki xeikía memiyuwimatika tixaititsie mekahanuyehakekaku, yiki pita kiekaritsie meteku`eriwati, mana mekaye`uuti hipati meyuwimati tixaititsie. 
Mexican_constitution 	Asimismo tengan reconocido el derecho para solicitar el registro de candidatos a cargos de elección popular, con excepción de lo dispuesto en el artículo 2°., apartado A, fracciones III y VII, de esta Constitución. 	Mehexeiyati yununuwame hiawariwamete memiwaraka`utianiki `itsikate memakineki, xeikía katiyuxeiyati `aritikuru 2º, mieme A, piratsiuni III metá VII `iki wimaritsie. 
Mexican_constitution 	f) Las autoridades electorales solamente puedan intervenir en los asuntos internos de los partidos en los términos que expresamente señalen; 	f) `Itsikate hiawaritsie miemetexi miki menanuye`akekuni xeikía kepauka metá ketewa paritiriyu miwapitia; 
Mexican_constitution 	El partido político local que no obtenga, al menos, el tres por ciento del total de la votación válida emitida en cualquiera de las elecciones que se celebren para la renovación del Poder Ejecutivo o Legislativo locales, le será cancelado el registro. 	Paritiriyu `etsitaru mieme xika, tsikere haika purutsienituyari ka’u`aaxé naiti wututsie `iniariti tsepá kepauka hiawarixa matineikatsie tatuwanitsie mieme metá xeputaritsixi, miki kanakayeitiariemiki. 
Mexican_constitution 	Esta disposición no será aplicable para los partidos políticos nacionales que participen en las elecciones locales; 	`Iki `ena miraxaxatsiwa paritiriyutsixi Mekiku naime kiekaritsie miemetexi kapitiwahetsie xika manuyehakeni hiawarixa `etsitaru miemetsie. 
Mexican_constitution 	g) Los partidos políticos reciban, en forma equitativa, financiamiento público para sus actividades ordinarias permanentes y las tendientes a la obtención del voto durante los procesos electorales. 	g) Paritiriyutsixi menenu`iwekuni, yaxeikía papaimeme, kiekari tuminieya yu`uximayatsikatsie tukaritsie mieme metá wutu memiwautiweniki kepauka hiawarixa maniereni. 
Mexican_constitution 	Del mismo modo se establezca el procedimiento para la liquidación de los partidos que pierdan su registro y el destino de sus bienes y remanentes; 	Tsiere kaniyutiwewiemiki paritiriyutsixi kepai `anemeki memitateutiarieni xika yu`utsika meheuyehiani metá kepai mireuyuné piinite tita memitehexeiyakai metá tita miranayuhayewa. 
Mexican_constitution 	h) Se fijen los criterios para establecer los límites a las erogaciones de los partidos políticos en sus precampañas y campañas electorales, así como los montos máximos que tengan las aportaciones de sus militantes y simpatizantes; 	h) Katiniyutiwewiekuni kepai tumini memiteyutatarieni hiawarixa kahaye`awekaku metá yeme hiawarixa kepai mitiyunitiani, ya xeikía tsiere kaniyuxeiyakamiki kepapaimeme tumini memiyetuani paritiriyu weweiyamete metá mana memayehu memipitiarie. 
Mexican_constitution 	i) Los partidos políticos accedan a la radio y la televisión, conforme a las normas establecidas por el apartado B de la base III del artículo 41 de esta Constitución; 	i) Paritiriyutsixi menanuyehakekuni niuki tuayametetsie metá terewitsiuni, xeikía xekirate ke mitikuxata pai B tsutia mieme III `aritikuru 41 `iki wimaritsie. 
Mexican_constitution 	j) Se fijen las reglas para las precampañas y las campañas electorales de los partidos políticos, así como las sanciones para quienes las infrinjan. 	j) Xekirate kaniyutiwewiekuni hiawarixa kahatineewekaku mieme metá hiawarixa tsutsutiwame paritiriyutsixi wahepaitsita, metá katsitikute xika miki metekunanaimawani. 
Mexican_constitution 	En todo caso, la duración de las campañas será de sesenta a noventa días para la elección de gobernador y de treinta a sesenta días cuando sólo se elijan diputados locales o ayuntamientos; las precampañas no podrán durar más de las dos terceras partes de las respectivas campañas electorales; 	Naimetsie, hiawarixa tsutsutiwamete katineuteteremiki haika tewiyari `uti`akame nauka tewiyari heimana tamamata tatuwani mitahiawarieniki metá xeitewiyari heimana tamamata `uti`akame kepauka xeikía reputaritsixi `estitarute miemetexi ya munitsipiyu wahiawari matineeni; `inierika hiawarixa kahatinewekaku haika tarariyari purutsienituyari miki tukari hiawarixa `inierika kahatineewekaku mieme katineuteteremiki. 
Mexican_constitution 	k) Se regule el régimen aplicable a la postulación, registro, derechos y obligaciones de los candidatos independientes, garantizando su derecho al financiamiento público y al acceso a la radio y la televisión en los términos establecidos en esta Constitución y en las leyes correspondientes; 	k) Kaniyuxeiyakamiki xekirate memiyuti`uitianiki, memeyuka`utianiki, heitseriekateki metá tita memitehaye`atiwani yu’uitiwamete paritiriyutsie memikahayehu, ‘aye`atiariwati tumini kiekaritsie mieme memenu’iiniki metá memanuyehakeniki niuki tuayametetsie metá terewitsiuni kepai tsi mireuyukupiine `iki wimaritsie metá leitexi mana mieme. 
Mexican_constitution 	l) Se establezca un sistema de medios de impugnación para que todos los actos y resoluciones electorales se sujeten invariablemente al principio de legalidad. 	l) Kaniyutawewiemiki xanetsikate xexeiyame naime tixeiyati ke mitikuyine metá kepai mitinirixiani miki yemeki leitsie mutaneetikaniki. 
Mexican_constitution 	Igualmente, que se señalen los supuestos y las reglas para la realización, en los ámbitos administrativo y jurisdiccional, de recuentos totales o parciales de votación; 	Metá tsiere, kepai ti’anemeki ya xekirate kepai `anemeki mitiyianeni, miki `uximayatsika xeiyaritsie metá leitsie mutaneekaki, wutu yu`utia ‘iniatsiya yapapaimeme xeikía; 
Mexican_constitution 	m) Se fijen las causales de nulidad de las elecciones de gobernador, diputados locales y ayuntamientos, así como los plazos convenientes para el desahogo de todas las instancias impugnativas, tomando en cuenta el principio de definitividad de las etapas de los procesos electorales, y 	m) Katiniyutiwewiekuni titatsie rakunexiayu tatuwani hiawarieya mikatiutanaki`eriwaxi, reputaritsixi `etsitarute miemetexi metá munitsipiyute te`uximayatamete, metá tukari kepaimeti miyupiitia miki xanetsikate meutipareki, tukari yapaimeti leitsie miyupitiatsie me`utaneeti hiawarixa miemetexi. 
Mexican_constitution 	n) Se verifique, al menos, una elección local en la misma fecha en que tenga lugar alguna de las elecciones federales; 	n) Kanatineikamiki, tsikere hiawari xewiti `etsitaru mieme hiawarixa Mekiku paiti mirakawiyatika hepaitsita kanatineikamiki. 
Mexican_constitution 	o) Se tipifiquen los delitos y determinen las faltas en materia electoral, así como las sanciones que por ellos deban imponerse. 	o) Kanakahekiarimiki nanaimarikate metá titatsie reuyeweti miratia miki hiawarixatsie, metá kepai katsitiku `aneme mikiki mipitiarieni. 
Mexican_constitution 	p) Se fijen las bases y requisitos para que en las elecciones los ciudadanos soliciten su registro como candidatos para poder ser votados en forma independiente a todos los cargos de elección popular, en los términos del artículo 35 de esta Constitución. 	p) Kaniyutiwewiemiki titsutsutiwamete metá tita mitiyuwawa hiawarixa hepaitsita kiekatari memayuka`utiani memiyiwaweniki kename hiawariwamete meyia wahetsie mieme mitiyuwutaruwani yiweti mayaniki naimetsie `itsimuyuyetia hiawarixa, kepai tsi mitikuxata `aritikuru 35 `iki wimaritsie. 
Mexican_constitution 	V. Las Constituciones y leyes de los Estados deberán instituir Tribunales de Justicia Administrativa, dotados de plena autonomía para dictar sus fallos y establecer su organización, funcionamiento, procedimientos y, en su caso, recursos contra sus resoluciones. 	V. Wimarite metá leitexi `etsitarute miemetexi mekaniti`uitiakuni Tribunales de Justicia Administrativa, yemeki yuxaitá meyuni`ati mipai memitekunitsani hepaitsita metá kepai memiteuyukuxeiyani yuxaitá mekanitawewiekuni, kepai mitikuyuaneni, kepai muwa mitikuyineni metá, mikitsie, kepai ti`anenemeki yunitsixa ta`aurie mirawiwirieni. 
Mexican_constitution 	Los Tribunales tendrán a su cargo dirimir las controversias que se susciten entre la administración pública local y municipal y los particulares; imponer, en los términos que disponga la ley, las sanciones a los servidores públicos locales y municipales por responsabilidad administrativa grave, y a los particulares que incurran en actos vinculados con faltas administrativas graves; así como fincar a los responsables el pago de las indemnizaciones y sanciones pecuniarias que deriven de los daños y perjuicios que afecten a la Hacienda Pública Estatal o Municipal o al patrimonio de los entes públicos locales o municipales. 	Miki xanetsitiariwamete kaniwa`uximayatsikatini memitehakanitsani tinaiti niukixiya miranutineikani `itsikate `etsitaru miemete metá munitsipiyu wahamatia ya hipame teiteri wahamatia; mekanitipinekuni lei hepaitsita kepai mutiyuane, katsitikute `etsitarute te`uximayatamete metá munitsipiyu te`uximayatamete wahepaitsita metenanaimayu yemeki kwinimieme, metá tsiere kehate teiteri mana mitiunanaimerietsie memeuyehaxia; tsiere yeme ka`ane ya mitikatía hahekiareyu naime katsitiku memititiani kaniyiweni naimeki mirayukatuani tsiere miki ya tiuyuriyayu titayari mitiunanaimerie naiti Hacienda `etsitaru mieme metá munitsipiyu mieme xika tsi tikunanaimawakaitini ya xeime parewiya yetuayame `etsitaru ya munitsipiyu miemetexi. 
