Mexican_constituition 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	JA JASTAL WA STOJB’ESE´ JA POLITIKA B’A ESTADOS UNIDOS MEJIKANOSI 
Mexican_constituition 	h) Se fijen los criterios para establecer los límites a las erogaciones de los partidos políticos en sus precampañas y campañas electorales, así como los montos máximos que tengan las aportaciones de sus militantes y simpatizantes; 	h) A i’nébo échi ne’okíwala nápi weláma échi chiyénila rojanáwala échi partíri polítiki kípu bachabajuréala a’li bajuréala ilikitoráli, nápi riká échi ikípola né sébaka nápi níwama échi nijíwala kípu militánti a’li sipatisánti; 
Mexican_constituition 	i) Los partidos políticos accedan a la radio y la televisión, conforme a las normas establecidas por el apartado B de la base III del artículo 41 de esta Constitución; 	i) ´Echi partiro politiko a raichasa rariochi telebisionchi ma, a nokisáa mapu riká ani ´echi rojanára´mi b ´echi chéa´mi iii osirúa´mi 41 jená costitucionchi; 
Mexican_constituition 	j) Se fijen las reglas para las precampañas y las campañas electorales de los partidos políticos, así como las sanciones para quienes las infrinjan. 	j) A enési échi nulalíla nápi échi bachabajurétala a’li échi bajurétala ilikitoráli échi partíri polítiki, nápi riká échi rikíriwala nápi échi jaré kasináwa. 
Mexican_constituition 	En todo caso, la duración de las campañas será de sesenta a noventa días para la elección de gobernador y de treinta a sesenta días cuando sólo se elijan diputados locales o ayuntamientos; las precampañas no podrán durar más de las dos terceras partes de las respectivas campañas electorales; 	Échi su’wába ikiwá á anacháma échi bajurétala pé usánisa makói a’li kimakósa makói rawé échi ilikisióni silíala a’li pé basyá makói a’li kicháosa makói rawé mápu a’líi welalía échi riputáro chimíwala ayéna cho bisirénsia; échi bachabajuréala ké oméro anácha pé échi okwá bakyáwala rojákame échi ne échila bajuréala ilikitoráli; 
Mexican_constituition 	k) Se regule el régimen aplicable a la postulación, registro, derechos y obligaciones de los candidatos independientes, garantizando su derecho al financiamiento público y al acceso a la radio y la televisión en los términos establecidos en esta Constitución y en las leyes correspondientes; 	k) Á wachináma échi rejimeni nokiwáala échi wilibáala, ro’walí, rerécho a’li neolásila échi kantiráto wanápame, ka’lacháwaka kípu rerécho wenojíalala púbiliki a’li á níwaka écho rári a’li échi tilibisióni né échi kuwaníka welárame je’ná Kostitusióni a’li échi nulalí neolásiwala; 
Mexican_constituition 	l) Se establezca un sistema de medios de impugnación para que todos los actos y resoluciones electorales se sujeten invariablemente al principio de legalidad. >Igualmente, que se señalen los supuestos y las reglas para la realización, en los ámbitos administrativo y jurisdiccional, de recuentos totales o parciales de votación; 	l) Nirulima bilé sitema suwába mapu ke nejea kítera a´li mapu riká karéwipa échi botáriwa´mi kítera mapu chéa´mi níisa ne sinéwi jónsa. ´echi riká cho, mapu riká aní a´lí mapu riká nokisá re a´lá wachina, echoná si mapu oná wenomí tibulowa a´lí mapu uchúpi ju, mapu a´lí tarálowa chu kípi botárila; 
Mexican_constituition 	m) Se fijen las causales de nulidad de las elecciones de gobernador, diputados locales y ayuntamientos, así como los plazos convenientes para el desahogo de todas las instancias impugnativas, tomando en cuenta el principio de definitividad de las etapas de los procesos electorales, y 	m) Enesa chu kípi ke a´lá botárila kobierno estárochi welayá, riputaro jémi a estarochi jáwa´mi a´lí bisirénte municipiochi jáwa´mi, a´lí ´echi riká cho olába pe téeli nipúwima kíti a´lá machiráma namuti táa´mi mapu nasayéro, a´lá riwika mapu ma bachá chota´li ´echi botáriwa´mi kítera, a´lí 
Mexican_constituition 	n) Se verifique, al menos, una elección local en la misma fecha en que tenga lugar alguna de las elecciones federales; 	n) A e’nélía, pé sinémi, jaré ilikisióni chimíwala échi bilépi á juécha nápi níwama chigoná á jaré échi ilikisióni jereráli; 
Mexican_constituition 	o) Se tipifiquen los delitos y determinen las faltas en materia electoral, así como las sanciones que por ellos deban imponerse. 	o) Á uchásima échi rilíti a’li kuwaníala échi róala né matéri ilikitoráli, mápi riká échi rikíriwala nápi échi jaré animeá yépila. 
Mexican_constituition 	p) Se fijen las bases y requisitos para que en las elecciones los ciudadanos soliciten su registro como candidatos para poder ser votados en forma independiente a todos los cargos de elección popular, en los términos del artículo 35 de esta Constitución. 	p) Á e’nésibo échi re’lechótala a’li né walelí nápi échi ilikisióni suraráni tásima kípu ro’walí nápi riká kantiráto nápi riká oméribo botáta né a’lá wanápilaka échi su’wába nuláala ilikisióni populári, échi kuwaní jéni artíkili 35 je’ná Kostitusióni. 
Mexican_constituition 	V. Las Constituciones y leyes de los Estados deberán instituir Tribunales de Justicia Administrativa, dotados de plena autonomía para dictar sus fallos y establecer su organización, funcionamiento, procedimientos y, en su caso, recursos contra sus resoluciones. >Los Tribunales tendrán a su cargo dirimir las controversias que se susciten entre la administración pública local y municipal y los particulares; imponer, en los términos que disponga la ley, las sanciones a los servidores públicos locales y municipales por responsabilidad administrativa grave, y a los particulares que incurran en actos vinculados con faltas administrativas graves; así como fincar a los responsables el pago de las indemnizaciones y sanciones pecuniarias que deriven de los daños y perjuicios que afecten a la Hacienda Pública Estatal o Municipal o al patrimonio de los entes públicos locales o municipales. 	V. Kostitusióni a´lí nulalíwa´mi estárochi nirúa´mi a uméroma newayá echoná tribunálchi raicchaka katúwira´mi we natéa´mi aboni ikía animéa, a níwisa mapu oná nócha ikína´lisa séba´li raícha´li kítera a suwiná riká ikisa echoná mapu unlá jáwa´mi estárochi a´lí mapu wanácho nócha´mi ju, newayá mapu riká abóni nokináli, mapu riká nokísima, mapu riká tibúma ´echi wenomí mapu riká abóni karéwima. 
Mexican_constituition 	Para la investigación, substanciación y sanción de las responsabilidades administrativas de los miembros del Poder Judicial de los Estados, se observará lo previsto en las Constituciones respectivas, sin perjuicio de las atribuciones de las entidades de fiscalización sobre el manejo, la custodia y aplicación de recursos públicos; 	Pé échi jiyétula, subitasiasióni a’li rikíriwala échi neolásiwala e’nésiwala né échi síchoala Iwérale Jurisiáli chimí Istáro, á e’nésima pé e’nelí je’ná Kostitusióni né échibi, tabilé pirijuísi je’ná nijíala échi intirá jiskalisasióni chimí échi nesérula, ‘ná tibúala a’li olásiwame yé rikúrisi púbiliki; 
Mexican_constituition 	VI. Las relaciones de trabajo entre los estados y sus trabajadores, se regirán por las leyes que expidan las legislaturas de los estados con base en lo dispuesto por el Artículo 123 de la Constitución Política de los Estados Unidos Mexicanos y sus disposiciones reglamentarias; y 	VI. Nócha´li estarochi yúa chéachi a´lí echoná cho á si nocha´mi, a nuláma mapu riká osirúa uchuwi nulalíwa´mi echoná mapu oná jáwi nula´mi ´echimí estarochi enéka mapu riká aní osirúa´mi 123 echoná costitucioni politika omána jémi kawichí mésiko nirua´mi a´lí mapu riká nokisá re. 
Mexican_constituition 	VII. La Federación y los Estados, en los términos de ley, podrán convenir la asunción por parte de éstos del ejercicio de sus funciones, la ejecución y operación de obras y la prestación de servicios públicos, cuando el desarrollo económico y social lo haga necesario. 	VII. ´Echi jereracioni a´lí estaro, mapu riká aní nulalíwa´mi, si túa níiya a´lá riwíika riká mapu riká nokiwá mapu echoná si jú, mapu riká newába a´lí nokibóa nóocha´li a´lí mapu riká kuírora´mi níima mapu echoná si nóocha, a´lí wenomí mapu echoná mé kítera ko a´lí wekabéka a newaléra´mi níima. 
Mexican_constituition 	Los Estados estarán facultados para celebrar esos convenios con sus Municipios, a efecto de que éstos asuman la prestación de los servicios o la atención de las funciones a las que se refiere el párrafo anterior. 	Istaro ko a uméroma katúwia municipiochi nóocha´mi túa, a i´lasa ka tanéwiwa´mi mapu riká níisa re ayéna cho ma enesa ka mapu riká aní jená bachá rojanára´mi. 
Mexican_constituition 	VIII. Las Constituciones de los Estados establecerán organismos autónomos, especializados, imparciales y colegiados, responsables de garantizar el derecho de acceso a la información y de protección de datos personales en posesión de los sujetos obligados, conforme a los principios y bases establecidos por el artículo 6o. de esta Constitución y la ley general que emita el Congreso de la Unión para establecer las bases, principios generales y procedimientos del ejercicio de este derecho. 	VIII. Échi Kostitusióni chimí Istáro welárame napawíkame binóisiala, machíame, najóorame a’li kolejíaro, neolásila ka’lacháwala échi rerécho níliala échi ikíriwala a’li pé tibúala ro’walí e’téowala né muchúwala échi sujéti i’wéritame, atúaka échi bacháwala a’li re’lechótala welárame pé échi artíkili 6º. >Je’ná Kostitusióni a’li échi nulalí niráale nápi aní échi Kokirési je’ná napawíkame nápi welá échi re’lechótala, bacháwala niráli a’li aminábuala ijirisísi je’ná rerécho. 
Mexican_constituition 	IX. Las Constituciones de los Estados garantizarán que las funciones de procuración de justicia se realicen con base en los principios de autonomía, eficiencia, imparcialidad, legalidad, objetividad, profesionalismo, responsabilidad y respeto a los derechos humanos. 	IX. Échi Kostitusióni chimí Istáro ka’lacháma nápi échi isimíwala ‘yamíwala justísi á newáma né re’léwala échi bacháwala binóisiala, chiyénila, najóorame, wachináala, ’nataníwala, machíila nirá, neolásiwala a’li échi rerécho umáni. 
Mexican_constituition 	Artículo 117. 	Artíkuli 117. 
Mexican_constituition 	Los Estados no pueden, en ningún caso: 	Estáros ké uméro, ni bilé si nuláma: 
Mexican_constituition 	I. Celebrar alianza, tratado o coalición con otro Estado ni con las Potencias extranjeras. 	I. Napawíka nochába, napawíka natúwika jorecho estáro yúa nakurika alá nima. 
Mexican_constituition 	II. Derogada. 	II. Ma ké iré. 
Mexican_constituition 	III. Acuñar moneda, emitir papel moneda, estampillas ni papel sellado. 	III. Wenomí chitúla´mi newaká, nijíwa oselí mapu reká wenomí, nijíwa kuuchi oselí sello uchéka. 
Mexican_constituition 	IV. Gravar el tránsito de personas o cosas que atraviesen su territorio. 	IV. Nuléka suwába mapu ´echimí simáro mapu a tarési ´echimí we’érili. 
Mexican_constituition 	V. Prohibir ni gravar directa ni indirectamente la entrada a su territorio, ni la salida de él, a ninguna mercancía nacional o extranjera. 	V. Ké nakiipo kíti ´echimí simárima, alí ´echimí buyáma namuti ra´lirua´mi kawí mésiko alí bo’ómi. 
Mexican_constituition 	VI. Gravar la circulación ni el consumo de efectos nacionales o extranjeros, con impuestos o derechos cuya exención se efectúe por aduanas locales, requiera inspección o registro de bultos o exija documentación que acompañe la mercancía. 	VI. Ké iw´´erili oláma ´echimí simária ni bilé néa namuti jémi mésiko alí bo’ómi nairua´mi, mapu a natétika siméroli nsmuti mapu oná tibúliwi séba´ Mapu murútiwa, a´lá enéka nokiwá seba´li namuti alí a tániwa cho oselí mapu yúa eena séba´li murútiwa´mi. 
Mexican_constituition 	VII. Expedir ni mantener en vigor leyes o disposiciones fiscales que importen diferencias de impues (sic DOF 05-02-1917) o requisitos por razón de la procedencia de mercancías nacionales o extranjeras, ya sea que esta diferencia se establezca respecto de la producción similar de la localidad, o ya entre producciones semejantes de distinta procedencia. 	VII. A nijíma sinibí alí ´echiriká oláma mapu reká aní nulalíwa´mi nulaa´mi jiskales enéa´mi isini ké anári (sic DOF 05-02-1917) nulása chu ikí bujépa alí mapu a ‘néwalelíwa kíti alá simírima namuti mapu ra´lirúa´mi jú kaémi mésiko alí bo’ómi, anisúwa ké anári kíti alá kayenára´mi nima sokí anawí ´echi namuti, isini rikaachi sokí chopi riká newába cho namuti uché joreana kayenára´mi. 
Mexican_constituition 	VIII. Contraer directa o indirectamente obligaciones o empréstitos con gobiernos de otras naciones, con sociedades o particulares extranjeros, o cuando deban pagarse en moneda extranjera o fuera del territorio nacional. 	VIII. Ké eláma ibíli alí wekaka neraa a nulésiwa ko kíti joreana bo’ómi eperea´mi jáwa´mi katúwika nocháma túa, wikáka natúwika alí pe ibíli pakóta´mi bo’ómi mekabé perea´mi, mapu alí natétipo re wenomíti biléana kawírili nirua´mi pe ké jémi kawí mésiko nirua´mi. 
Mexican_constituition 	Los Estados y los Municipios no podrán contraer obligaciones o empréstitos sino cuando se destinen a inversiones públicas productivas y a su refinanciamiento o reestructura, mismas que deberán realizarse bajo las mejores condiciones del mercado, inclusive los que contraigan organismos descentralizados, empresas públicas y fideicomisos y, en el caso de los Estados, adicionalmente para otorgar garantías respecto al endeudamiento de los Municipios. >Lo anterior, conforme a las bases que establezcan las legislaturas en la ley correspondiente, en el marco de lo previsto en esta Constitución, y por los conceptos y hasta por los montos que las mismas aprueben. 	Échi Istáro a’li échi Munisípi ké oméru wajíina i’wériwala ayéna cho bachanijíala mápu a’líi á náuli inversión púbiliki muwériwame a’li kípu wenojíliame ayéna cho ku jawáala, bilépi á nápi oláma newalíala échi ka’labéala nuléwala jéni mirikári, échibi nápi wajíina napawíkame né nasípualame, impirési púbiliki a’li jireikomíso a’li, pé échi ikiwá chimí Istáro, sibamíala nápi ‘yáa ka’lacháwala échi wekáame chimí Munisípi, échi bacháwala, katúaka échi re’lecháwala nápi welásimi échi lijislatúri á ikíirima kípu ijirisísi á nijísa échi kwénti púbiliki. 
Mexican_constituition 	Los ejecutivos informarán de su ejercicio al rendir la cuenta pública. >En ningún caso podrán destinar empréstitos para cubrir gasto corriente. 	Tabilé sinéti ikiwá oméru naúlia bachanijíala mápu sebárima suwábila né a’lamáala. 
Mexican_constituition 	Las legislaturas locales, por el voto de las dos terceras partes de sus miembros presentes, deberán autorizar los montos máximos para, en las mejores condiciones del mercado, contratar dichos empréstitos y obligaciones, previo análisis de su destino, capacidad de pago y, en su caso, el otorgamiento de garantía o el establecimiento de la fuente de pago. 	Échi lijislatúri chimíwala, pé échi bóti échi okwá bakyáwala rojákame kípu síchoala jípila, á bela nuláma échi kípuala sebárila mápu, échi a’láwala aniwáala mirikári, kontratáriala aniwá bachanijíala a’li i’wériwala, kilípi ‘nelísla kípu náulala, machigá natétula a’li, kípu ikiwá, échi ‘yalíwala ka’lacháwala ayéna cho échi welásiwame je’ná juénti natétila. 
Mexican_constituition 	Sin perjuicio de lo anterior, los Estados y Municipios podrán contratar obligaciones para cubrir sus necesidades de corto plazo, sin rebasar los límites máximos y condiciones que establezca la ley general que expida el Congreso de la Unión. 	Tabilé pirijuísi échi bacháwala, échi Istáro a’li Munisípi á oméru ra’íchia i’wérale mápu póolama kípu né walelíala pé téeli tétali, ké semériga échi bawelá népuwala ali anelíwala nápi weláma échi nulalí nápi náula échi Kokirési napawítola. 
Mexican_constituition 	Las obligaciones a corto plazo, deberán liquidarse a más tardar tres meses antes del término del periodo de gobierno correspondiente y no podrán contratarse nuevas obligaciones durante esos últimos tres meses. 	Échi nokiwáala pé téeli tétala á bela natétuma pé akináana bakyá mechá kechó sébachi kuwaní pirióri jéni kobiérni nea’laolásila a’li ké oméru kontiratásia kulíame olásiwala sebárika échi kuwaní bakyá mechá. 
Mexican_constituition 	IX. Gravar la producción, el acopio o la venta del tabaco en rama, en forma distinta o con cuotas mayores de las que el Congreso de la Unión autorice. 	IX. Mo’walíwame échi nóchale, échi napabúwala ayéna cho ralinéwala wepá pé katawérika, pé á si’winárika ayéna cho pé nepalíwala weká nirá nápi échi konkirési napawítola aktúi. 
Mexican_constituition 	El Congreso de la Unión y las Legislaturas de los Estados dictarán, desde luego, leyes encaminadas a combatir el alcoholismo. 	Échi Kokirési napawítola a’li échi Lijislatúri chimí Istáro animéa, nóli pa yúa, nulalí simíame saeráka échi bajíliame. 
Mexican_constituition 	Artículo 118. 	Artíkuli 118. 
Mexican_constituition 	Tampoco pueden, sin consentimiento del Congreso de la Unión: 	Ké umpáma, ké risensi nijísa ko napawíka nócha´mi konkreso de la unión: 
Mexican_constituition 	I. Establecer derechos de tonelaje, ni otro alguno de puertos, ni imponer contribuciones o derechos sobre importaciones o exportaciones. 	I. Ké ompáma nijía rerecho, pe kécho siméria namuti joreana mi, ké iwérili bujéma mapu alí simériwa namuti joreana bo’ómi ra´lirúa´mi. 
Mexican_constituition 	II. Tener, en ningún tiempo, tropa permanente ni buques de guerra. 	II. ‘Níwa, ni bilé pe téeli, sontárosi k echo níwa alí pe néa sontárosi ra´linéwa´mi omá. 
Mexican_constituition 	III. Hacer la guerra por sí a alguna potencia extranjera, exceptuándose los casos de invasión y de peligro tan inminente, que no admita demora. >En estos casos darán cuenta inmediata al Presidente de la República. 	III. Ké uméroma nakówa sontárosi joré bajonía´mi sayéra ne nayúra anisaa. >Isini chuwé ´echimí sisaa alí a wé majásiwa, ne jiyáwa anisaa. ´echiriká nisa ko sapú ku ruyéma walúala bisirrente kaémi mésiko atía´mi. 
Mexican_constituition 	Artículo 119. 	Artíkuli 119. 
Mexican_constituition 	Los Poderes de la Unión tienen el deber de proteger a los Estados contra toda invasión o violencia exterior. >En cada caso de sublevación o trastorno interior, les prestarán igual protección, siempre que sean excitados por la Legislatura del Estado o por su Ejecutivo, si aquélla no estuviere reunida. 	Wekanáta´mi jáwa´mi napawíka nóchami poderes de la unión a uméroma kuíra estaros kíti ké kawélipo alí ké wesi na’áwima pachá mapu oná nocháliwa. isini joré nakúrika chibi anisaa, ayéna cho alá kuíripa echiriká nokisáaa, nalí alá kaléra´mi nisa nulalíwa´mi newaa´mi kítera estaros muchúwa´mi alí mapu muchúwi kaémi mésiko, we ké napawíka nochása ko. 
Mexican_constituition 	Las entidades federativas están obligadas a entregar sin demora a los imputados o sentenciados, así como a practicar el aseguramiento y entrega de objetos, instrumentos o productos del delito, atendiendo a la autoridad de cualquier otra que los requiera. 	Échi intirá jeratíbi á i’wérali nulérame jú nápi nijíma tabilé ké sebárika échi bi’nolásila ayéna cho bachárame, nápi riká olásila échi né bichiwá a’li nijírame échi namúti, né walelí ayéna cho kaenáala échi nekówala, nejéwaka échi iséligame pé chuwé jarpé nápi né walelía. 
Mexican_constituition 	Estas diligencias se practicarán, con intervención de los respectivos órganos de procuración de justicia, en los términos de los convenios de colaboración que, al efecto, celebren las entidades federativas. 	Je’ná rilijénsi á newásiwa, pé isíiwaka échi cha’piwá jaréwala ‘yamíwala najóorale, échi aniká tétuala né nikúraka nápi, chewá, omáwima échi intirá jeratíbi. 
Mexican_constituition 	Para los mismos fines, las autoridades locales podrán celebrar convenios de colaboración con la Fiscalía General de la República. 	Nápi riká bilépi á nirá, échi iséligame chimíwala á oméru omáwa tétali ku’wirásiame échi Jiskalíi Niráli jéna Ripúbiliki. 
Mexican_constituition 	Las extradiciones a requerimiento de Estado extranjero serán tramitadas por el Ejecutivo Federal, con la intervención de la autoridad judicial en los términos de esta Constitución, los Tratados Internacionales que al respecto se suscriban y las leyes reglamentarias. 	Séba´li ‘néwaléra´mi alí bajoníka nówa´mi uché joreana, ´echi risensi a nijíma walúala kobierno jereráli ayéna a nikúrima jáwa´mi jurisia´li alá nejéwika osirua´mi kostitusioni, alí bachá ra’íchaka elára´mi napawíka kawí mapu echoná si jú alá nejeeka nulalíwa´mi alí kuuchi nulaa´mi mapu choná onsa owína. 
Mexican_constituition 	En esos casos, el auto del juez que mande cumplir la requisitoria será bastante para motivar la detención hasta por sesenta días naturales. 	Ayénacho nejéwika, mapu riká nulá oyéria´mi juez kíti alá nijíba mapu a tániwa kíti a chapirua´mi nima pee a wilíminá nokaká usánisa makói rawé nokaká. 
Mexican_constituition 	Artículo 120. 	Artíkuli 120. 
Mexican_constituition 	Los Gobernadores de los Estados están obligados a publicar y hacer cumplir las leyes federales. 	Silía´mi estárochi muchúwa´mi a iwérili nokaká buyanáma kíti alá nejéita´mi nima nulalíwa´mi mapu suwába nuléka neséro. 
Mexican_constituition 	Artículo 121. 	Artíkuli 121. 
Mexican_constituition 	En cada Estado de la Federación se dará entera fe y crédito de los actos públicos, registros y procedimientos judiciales de todos los otros. 	Ibíli estáro alá eláma séba´li napawíkiwa´mi alí abóni osáka a simérima uché biléana jurisia´li túa alí uché biléana. 
Mexican_constituition 	El Congreso de la Unión, por medio de leyes generales, prescribirá la manera de probar dichos actos, registros y procedimientos, y el efecto de ellos, sujetándose a las bases siguientes: 	Napawíka nócha´mi congreso de la unión, nulalíwa´mi chéa, a táma kíti alá machirúa´mi nima mapu riká ikíli, oselichi ro’áká a biléana siméripa, chúrika ikiraa, nalí alá nejéwika mapu riká mu anilíwa: 
Mexican_constituition 	I. Las leyes de un Estado sólo tendrán efecto en su propio territorio, y, por consiguiente, no podrán ser obligatorias fuera de él. 	I. Nulalíwa´mi biléana estárochi nirua´mi, alá nejéka nokibóa pe ´echimiaye mapu oná jóonsa nulá bi, a´lí, mapu uché newalélíwa, ké neba uché joreana mikabé ko. 
Mexican_constituition 	II. Los bienes muebles e inmuebles se regirán por la ley del lugar de su ubicación. 	II. Séba´li namuti mapu ‘náti nocha alí séba´li mapu néliwa jena kítera ko alá animéa nulalíwa´mi mapu oná muchúwika néra´mi nima. 
Mexican_constituition 	III. Las sentencias pronunciadas por los tribunales de un Estado sobre derechos reales o bienes inmuebles ubicados en otro Estado, sólo tendrán fuerza ejecutoria en éste, cuando así lo dispongan sus propias leyes. 	III. Chureká rikírima, ma alá anisaa ko oyéria´mi estárochi muchúwa´mi séba´li rerechos mapu a nirú ´echi namuti néliwa´mi kítera mapu muchúwi joreana estárochi, a jiwéra ku wachináma pe jémi nirua´mi bi nulalíwa´mi we a nirúlisa ko. 
Mexican_constituition 	Las sentencias sobre derechos personales sólo serán ejecutadas en otro Estado, cuando la persona condenada se haya sometido expresamente o por razón de domicilio, a la justicia que las pronunció, y siempre que haya sido citada personalmente para ocurrir al juicio. 	Rikírita´mi nisa rerechos binói níwala kítera, uché jaréana mi estáro, mapu ´echi karua isia´mi ma pachá eta achásiwa alí isini joreana simisaa beterámia, a oyérisiwa sinibí a bayésiwa mapu kisápi newaléliwa kíti katewába ra’ícha´li. 
Mexican_constituition 	IV. Los actos del estado civil ajustados a las leyes de un Estado, tendrán validez en los otros. 	IV. Mapu riká noká pe chuwé pakóta´mi alá riwika nokiméa nulalíwa´mi estárochi nirua´mi, ayéna wé natikí maana. 
Mexican_constituition 	V. Los títulos profesionales expedidos por las autoridades de un Estado, con sujeción a sus leyes, serás (sic DOF 05-02-1917) respetados en los otros. 	V. Oselí mapu ‘níwa wé alá benéka´mi ´echi oselí eyása jáwa´mi estárochi muchúwa´mi, ne mapu reká nulá nulalíwa´mi alí (sic DOF 05-02-1917) ´echi séba´li a riwita´mi nima. 
Mexican_constituition 	Artículo 122. 	Artíkuli 122. 
Mexican_constituition 	Definida por el artículo 44 de este ordenamiento la naturaleza jurídica del Distrito Federal, su gobierno está a cargo de los Poderes Federales y de los órganos Ejecutivo, Legislativo y Judicial de carácter local, en los términos de este artículo. 	Mapu riká a´ní osirúa´mi 44 mapu o´ná jónsa inaro ristrito jereral, échi kobierno abela jérika nocha poder jerera´li yúa a´lí mapu o´na jawi we´ála, mapu newa´liwa raíca´li a´lí jurisia´li mapu riká nochasareaboni estaeowala, mapuri nani jéna artíkuli. 
Mexican_constituition 	Son autoridades locales del Distrito Federal, la Asamblea Legislativa, el Jefe de Gobierno del Distrito Federal y el Tribunal Superior de Justicia. 	´Echi ko jawámi jú ristrito jerera´li, mapu ikika napawika newá nulalíwa´mi, walúala kobierno ristrito jerera´li a´lí tribunalchi walúalachi mapu o´na najorowa. 
Mexican_constituition 	La Asamblea Legislativa del Distrito Federal se integrará con el número de diputados electos según los principios de mayoría relativa y de representación proporcional, mediante el sistema de listas votadas en una circunscripción plurinominal, en los términos que señalen esta Constitución y el Estatuto de Gobierno. 	Mapu a´lí napawíka newá nulalíwa´mi ristrito jerera´li abela échi napabuma mapu ikí nisare riputaro mapu jawára´mi mapu rika katuili sinéa´mi ka a´lí ineliwa anárika, mapu a´lí roáka botari mapu o´na jónsa chea´mi jú, mapu rika ani jéana kostitusioni a´lí échi newára´mi jú kobienochi. 
Mexican_constituition 	El Jefe de Gobierno del Distrito Federal tendrá a su cargo el Ejecutivo y la administración pública en la entidad y recaerá en una sola persona, elegida por votación universal, libre, directa y secreta. 	Walúala kobierno ristrito jereral abela chirika wilara´mi nima a´lí ala tibuka isima mapu o´na jónsa ju a´li pe bilétpi bela chiwara´mi nima, sinéa´mi ka botarika jawára´mi jú, binoi ikíika, wachína a´li ke we´si ikítika. 
Mexican_constituition 	El Tribunal Superior de Justicia y el Consejo de la Judicatura, con los demás órganos que establezca el Estatuto de Gobierno, ejercerán la función judicial del fuero común en el Distrito Federal. 	Walúala tribunalchi mapu o´ná najórowa a´lí mapu o´na jósa nula, a´li jarécho yúa mapu kobierno chi nocha noka, échirika bela nokisima kíti né eéchirika nokísima mapu rika noká jurisia´li mapu oyériwa jerera´li niraá. 
Mexican_constituition 	La distribución de competencias entre los Poderes de la Unión y las autoridades locales del Distrito Federal se sujetará a las siguientes disposiciones: 	Mapu o´na jónsa nochasaremapu ikíkika napawika a´lí sinéa´mi jáwa´mi ristrito jerera´li échika béla nokísima mapu rika anirúa´mi jú: 
Mexican_constituition 	A. Corresponde al Congreso de la Unión: 	A. >´Echiko ela nokiméa échi kokirési napawítola: 
Mexican_constituition 	I. Legislar en lo relativo al Distrito Federal, con excepción de las materias expresamente conferidas a la Asamblea Legislativa; 	I. Mapu riká a´nirúa´mi jú ristrito jerera´li, mapi rika katuita´mi ju sinéa´mi jáwa´mi kítera; 
Mexican_constituition 	II. Expedir el Estatuto de Gobierno del Distrito Federal; 	II. Tara´mi nima mapu rika ne nokísare kobierno ristrito jerera´li wilía´mi; 
Mexican_constituition 	III. Legislar en materia de deuda pública del Distrito Federal; 	III. Niwasare nulalíwa´mi mapu wi´ká pakóta´mi ristrio jerera´li; 
Mexican_constituition 	IV. Dictar las disposiciones generales que aseguren el debido, oportuno y eficaz funcionamiento de los Poderes de la Unión; y 	Mapu aneliwa ma pu sinea´mi napawima échi bela jáwa´mi animea mapi re awikabe aéchirika anisaka mapu iki ju wéala jáwa´mi ju kobierno rist rito jereral 
Mexican_constituition 	V. Las demás atribuciones que le señala esta Constitución. 	V. A´li a jarécho maprika ani jéna kostitusioni. 
Mexican_constituition 	B. Corresponde al Presidente de los Estados Unidos Mexicanos: 	B. >´Echiko bela isima bisirénte jémi mesino wilía´mi: 
Mexican_constituition 	I. Iniciar leyes ante el Congreso de la Unión en lo relativo al Distrito Federal; 	I. Chotasare osirua´mi kokresochi unionchi jónsa mapu ju senarore a´li riputaroristrito jerera´li kítera; 
Mexican_constituition 	II. Proponer al Senado a quien deba sustituir, en caso de remoción, al Jefe de Gobierno del Distrito Federal; 	II. Tanitani níima, katuika mapu iki wikawa kíti tanewita´mi nima mapu iki moísimi ristrito jerera´li; 
Mexican_constituition 	III. Enviar anualmente al Congreso de la Unión, la propuesta de los montos de endeudamiento necesarios para el financiamiento del presupuesto de egresos del Distrito Federal. 	Náwisare bamíba´li niraa konkresochi, mapu ikí newalé a´li mapu ikipi wiká chu ikipi newasuwa a´li mapu iki moí ristrito jerera´li. 
Mexican_constituition 	Para tal efecto, el Jefe de Gobierno del Distrito Federal someterá a la consideración del Presidente de la República la propuesta correspondiente, en los términos que disponga la Ley; 	Mapu nokíwa walúala kobierno ristrito jereral échi bela bisirénte animea chúrika nima mapu riká nokísare, mapu rika né ani nulalíwai; 
Mexican_constituition 	IV. Proveer en la esfera administrativa a la exacta observancia de las leyes que expida el Congreso de la Unión respecto del Distrito Federal; y 	IV. Sinéa´mi béla weála inésima nulá´a´mi mapu nijíka uchuwi kokreso échi kítera ristrito jerera´li; a´lí 
Mexican_constituition 	V. Las demás atribuciones que le señale esta Constitución, el Estatuto de Gobierno y las leyes. 	V. Jarécho kítera mapu riká a´ni je’ná kostitusioni a’li échi Istatúti Kobiérni a’li échi nulalí. 
Mexican_constituition 	C. El Estatuto de Gobierno del Distrito Federal se sujetará a las siguientes bases: 	C. Mapi rika a´ni kobierno ristrito jereal né jérika nokísima: 
Mexican_constituition 	BASE PRIMERA.- Respecto a la Asamblea Legislativa: 	BACHA CHOTA.- Mapu riká a´ní mapu a´lí napawíla nulalíwa newá: 
