Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	NDÄTHOT’I, HÑÄSÜMP O TE X E NI HNINI G A THO M’OND A 
Dictionary 	A la sangre que está en la olla ponle una cruz, porque dicen que la tienta el mal espíritu.	Ra jiʼyo po ha ra tsʼe, hutsua ʼna ra pontʼi, ngeʼä tʼenä thani ra tsʼondähi.
Dictionary 	La flor que palpé al siguiente día se marchitó.	Ra do̱ni dá thatʼi, ra hyaxʼä bi du.
Dictionary 	El niño está manoseando los libros y tiene las manos sucias.	Ra bätsi thatʼi ya tʼofo ha xá ntsʼo ya ʼye̱.
Dictionary 	Dicen que el asesino es tentado por el mal espíritu.	Tʼenä ge ra hyote ya thatʼi ra ntsʼondähi.
Dictionary 	Tathi (ranchería de Zimapán) Ya bí tso̱nga ra ʼñu Thaʼti.	Thaʼti (Tháʼti).
Dictionary 	Con los nuevos riegos se dieron unas mazorcas buenas.	Ha ya ʼraʼyo uäthe, xi bi hogi ʼra ya thä.
Dictionary 	A la hora que regañaban al niño se agachó y no respondió nada.	Nuʼbu̱ mi tho̱tua rá hñä ra bätsi, bi ñeʼmi, hinte bi dädi.
Dictionary 	En mi tienda hay pocas ganancias.	Ha mä de̱nda tsʼu̱tho ra thähä.
Dictionary 	El sueldo que se gana es muy bueno en donde estoy trabajando.	Ha dí mpe̱fi thähä xá ñho.
Dictionary 	Ve al centro a traer hilo blanco.	Grí mä tai, uá hä ra thähi ga tʼaxi.
Dictionary 	Una señora está apurada con su pelada de nopales.	ʼNa ra ʼbe̱hñä, xi di ze̱di ra thäkxätʼä.
Dictionary 	En el estómago de mi chivo que se murió había hules.	Mä ʼyo bi du, mi kä ya he̱ʼmi ga ngi ha rá thäkxätʼä.
Dictionary 	Ahuä.	Thämfri rá kue̱.
Dictionary 	Desconfía de las personas que son tus amigos.	Thämfri ko nuʼu̱ ya jäʼi gí mähuí.
Dictionary 	Ten precaución de aquél al que le mataste a su hermano.	Nuʼä gá hopa rá ku, gi thämfri.
Dictionary 	Un día me caí de un camión.	ʼNa ra pa dá tagi ha ʼna ra tsanza; ndá thämfri, ya dí ʼbe̱nga ha ra hai.
Dictionary 	Se come en estos días la pulpa extraída del nopal; de septiembre hasta enero.	Ya thäʼmxätʼä tsʼi nuya ya pa ya; ga nsetiembre ata enero.
Dictionary 	Está muy sabrosa la salsa que moliste.	Xi xá ku̱hi ra thäntʼañʼi gá täntʼi.
Dictionary 	No te avergüences; acercate a comer.	Ogi ntsa, guá thästʼi gi ñuni.
Dictionary 	Arrima la alfalfa a donde está la empacadora.	Thästʼi ra hoga ndäpo pa ha ra tʼu̱i hmeʼmi.
Dictionary 	Esa persona te está saludando, y no le contestas.	Ze̱njuaʼi nuni ra jäʼi, ʼne hingí thäti.
Dictionary 	Amarra muy bien el caballo con el mecate.	Thätʼi xá ñho ra fani ko ra nthähi.
Dictionary 	Están asando elotes allá en otro lado; ya está humeando la lumbre.	Bí ja ra thäxmänxa ri ʼnandi; xini, bí fu̱ni ra tsibi.
Dictionary 	He comido a mordidas unos elotes asados con sal y con chile.	Dá tsi ʼra ya thäxmänxa ko ra u ʼne ko ya ñʼi ntsʼoki.
Dictionary 	Hay mucha gallina ciega en el estiércol.	Ya thäxni xi ʼyo ha ra foʼyo.
Dictionary 	La molendera remuele la masa en el metate.	Ra gu̱ni di thäʼti ra ju̱ni ha ra ju̱ni.
Dictionary 	El ganado menor repasa la comida.	Ra de̱ti di yopa thäʼti rá hñuni.
Dictionary 	La gallina muele su maíz en la molleja.	Ra o̱ni di thäʼti ra de̱thä ha rá mexkodo.
Dictionary 	Xuua di thäʼti nuʼä bá sahni ha ra ngunsadi.	Ra.
Dictionary 	En la milpa han cortado unos surcos muy bonitos.	ʼRa ya the xa the̱ki tsʼamähotho ha ra huähi.
Dictionary 	Antes las mujeres llevaban al cuello algunos rosarios.	Ya nänä mäʼme̱tʼo mi to̱de ʼra ya thebe ha yá ʼyu̱ga.
Dictionary 	El lunes compré una cabra y en la garganta llevaba colgadas dos soguillas.	Mänonxi dá tai ʼna ra tʼäxi ha ha rá ʼyu̱ga mi to̱ge yoho yá thebe.
Dictionary 	El niño ya se ríe cuando alguien le habla.	Ra bätsi ya xi thede toʼo zofo.
Dictionary 	Zidada.	Ha ra nijä bi tʼudi ʼna ra thedi nuʼbu̱ mí du ra.
Dictionary 	Anoche en el sueño tuve una visión: que yo estaba en una casa muy bonita.	Mänxui ga tʼähä dá handi ʼna ra thedi, ge ndí ʼbu̱i ha ʼna ra ngu xi mähotho.
Dictionary 	Leya, ʼnihi thege rá sei; uá tai nubya ʼnihi, nuge Juanä.	Ra.
Dictionary 	Todo el dinero que yo tenía se invirtió en el trabajo.	Ra bojä ndí pe̱ʼtsi, ya bi thege gatho ha ra ʼbe̱fi.
Dictionary 	Las llantas de mi coche se desgastan mucho por el camino malo.	Xi thege rá tsanza mä bo̱jä po rá ntsʼo ra ʼñu.
Dictionary 	Me mojé con la lluvia que pasó, y me dio tos.	Bi zu̱ka ra thehe ko nuʼä ra ʼye bi thogi, ngeʼä bi moki.
Dictionary 	Está muy caro el costal de carbón porque casi ya no lo hornean.	Xi xá mädi ra ʼro̱zä ra thehñä, ngeʼä ya hintsʼu̱ toʼo utʼi.
Dictionary 	Mi hermano menor me contradice y no le digo nada; tengo consideración de él theʼnthe porque no sabe nada de letras.	ʼNa mä ku mbätsi di no̱tki ha hinte dí xipi, dí pe̱ʼtsi ra thekate de geʼä, ngeʼä hinte pädi ra tʼofo.
Dictionary 	Krese, nuʼu̱ ri ntsu̱ui nubya xi thenäte de geʼi; ngeʼä ya bi ʼye̱ntʼaʼi ha ra fadi.	Nuge,.
Dictionary 	Una señora iba caminando en la calle y de pronto se cayó, y cuando la gente la vio, se rió de ella.	ʼNa ra ʼbe̱hñä mi ʼyo ha ra däʼñu, mi dämfri bi dagi; ha mí hyandi ya jäʼi, xi thenäte de geʼä.
Dictionary 	Tengo mucha inquietud porque mi niño está muy grave y no sé si va a amanecer con vida.	Xi ʼraka ra thendi, ngeʼä mä bätsi xi di ntsʼe̱di ha hindí pädi ʼbu̱ dä hatsʼi di tetho.
Dictionary 	El enfermo delira con la calentura.	Ra daʼthi ko ra nzo̱ di thendi.
Dictionary 	El lunes te compras unos tamales de esos grandes.	Nonxi uá tai ʼra ya thengo̱ nuʼu̱ ya dängi.
Dictionary 	Se rieron de aquel cuento antiguo.	Bri theni nuʼä ra ʼbede mäyaʼbu̱.
Dictionary 	Los conocidos de mi hija, ahora se burlan de lo que le pasa.	Yá mpädi mä tʼixu, xi theni nuʼä thogibya.
Dictionary 	Siempre, en la fiesta de Navidad yo acarreo agua.	Nzäntho ra ngo ga baxjua, go dí thenthe.
Dictionary 	Ntoñä, xi ra these̱he̱.	Rá tʼixu ra.
Dictionary 	Yo con nadie me río, me río solo.	Nuga hinto dí theʼbe, dí these̱he̱.
Dictionary 	Si se meten las personas en los remolinos de agua es posible que se ahoguen.	ʼBu̱ dä yu̱tʼi ya jäʼi ha ya thetʼädehe, dä za dä jätʼi.
Dictionary 	Santo) Ra Zinänä, mä dä tʼo̱tʼua ra thetʼi ha gaʼtho rá nthetsʼi rá hai ra nijä.	Virgen o a un.
Dictionary 	Ponza Tso̱.	ʼNa ra jäʼi bi netʼi rá nänä; ra tsʼu̱tbi bi umba ʼna ra thetʼi ha ra hnini, ʼne bi neʼtsi ata rá ua ra.
Dictionary 	Por los estornudos, yo creo que alguien se está acordando de mí.	Xi tsu̱ka ra thetsʼe; zäge toʼo bí bengi.
Dictionary 	Ve a dar una vuelta a la milpa a ver si no corta nadie los elotes.	Grí ma, uá thetsʼi ha ra huähi; xäma hintoʼo bí häki ya mänxa.
Dictionary 	El malacate gira bonito cuando alguien está hilando.	Ra thetʼi di thetsʼi tsʼamähotho nuʼbu̱ toʼo hetʼi.
Dictionary 	El lunes traje un serrucho para.	Mänonxi dá hä ʼna ra the̱ki, pa ga hoka ra gosthi ga xithe̱.
Dictionary 	Esos niños están desnudos y no sienten frío; andan ahí nada más brincando.	Nuyu̱ ya bätsi, ya the̱lo; ha hingi tsa ra tse̱, ʼyoni sagitho.
Dictionary 	Desnudo al niño para bañarlo.	Dí the̱lo ra bätsi pa ga hiti.
Dictionary 	Esos conejos domésticos blancos, tienen los ojos rojos.	Nuʼu̱ ya maxʼo ʼbanjua ga tʼaxi, nuʼu̱ ya the̱mda.
Dictionary 	Es necesario mantener limpio en donde están las vacas de ordeña, para que no huela a estiércol la leche.	Mäthoni strá ntʼaxi habu̱ ʼbu̱ ya the̱ʼmabaga pa hindi ñu̱nga fomfani ra ʼba.
Dictionary 	A las tlacualeras ya se les hizo tarde; no llevaron el almuerzo a la hora.	Ya bi the̱nde ya ʼuite, himbi hñäxa xa ra ora ra nzimxudi.
Dictionary 	Echan las grageas sobre el pan de ángel.	Ra the̱ngadoʼtfi tʼu̱ʼtsi ha ya thuhmeʼe̱nxe̱.
Dictionary 	Hay una hierba que le llaman flor roja, y enraiza muy adentro de la tierra; es la comida predilecta del ganado.	Ja ʼna ra ndäpo tʼembi the̱ngado̱ni, tʼu̱tʼi rá ʼyu̱ ya mbo; di ho dä zi ya mboʼni.
Dictionary 	Y cuando tiene vergüenza, hasta se sonroja.	Ha nuʼbu̱ di ntsa ata di the̱ngi.
Dictionary 	Si el caldo de pollo ya se puso colorado, ya no le eches más chiles.	ʼBu̱ ra githe ga o̱ni ya bi the̱ngi, ya ogi u̱tsua mäʼra ya ñʼi.
Dictionary 	La víbora chirrionera es larga, y es mala porque cuerea.	Ra kʼeñä ga the̱ngzu̱ te ra dängi, ha ge ra tsʼoʼmu̱i ngeʼä fe̱te.
Dictionary 	Está bonita aquella rosa; es de un más rojo que otras.	Mähotho ra noxado̱ni tsiʼta rá the̱ni de mäʼra.
Dictionary 	Cerro Colorado (barrio de Cardonal) De gehni The̱nktʼo̱ho̱ thoki ya negu ʼne ya ndenza.	The̱nktʼo̱ho̱ (Thě̱nktʼo̱ho̱).
Dictionary 	Los chinicuiles viven al pie de los magueyes, y en tiempo de lluvias salen.	Ya the̱nkʼue̱ ʼbu̱ i ha yá ua ya ʼuada; ha nuʼbu̱ ʼuäi, po̱ni.
Dictionary 	Hay personas a las que se le pone rojo el rostro cuando alguien las irrita.	ʼBu̱ʼu̱ ya jäʼi, ʼbu̱ toʼo po̱mpa rá kue̱, ata di the̱ntsʼi.
Dictionary 	Mañana enciendo mi horno de cal para que el lunes ya esté lista para vender.	Xudi ga the̱ti mä utʼi ga näni pa nonxi ya di ja, pa ga pa.
Dictionary 	Dicen que son nutritivos los gusanos que se crían en las pencas del maguey.	Tʼenä ge ntsʼe̱ ra nzaki ra the̱tʼue ʼbu̱ i ha ya ʼye̱ta.
Dictionary 	Mi ahijado ya es un hombre, y la última vez que lo vi era chico.	Nuʼa mä the̱tsʼi, ya bi ʼño̱ho̱; ha nuʼä ra paʼä ra ngätsʼi dí nu, mrá tsani.
Dictionary 	El palo de tallar es de.	Ra the̱xi geʼä ʼna ra za ngu ga gohoʼrate tʼu̱kä ntʼe̱ni ra ndängi, ko ʼna xe̱ni ra bo̱jä mädetho.
Dictionary 	Para algunas personas su única actividad es la tallado de pencas.	ʼRa ya jäʼi nso̱ka ra the̱xi pe̱fi.
Dictionary 	Me salió un tumor en el pie y no quiere aliviarse.	Bi bo̱ho̱ ʼna ra thi ha mä ua, ha hingi ne dä hñäki.
Dictionary 	A una persona mala en su manera de vivir la echaron fuera de su casa.	ʼNa ra jäʼi bi tʼe̱ni thi ha rá ngu ko ra ntsʼoʼmu̱i.
Dictionary 	El niño se aventó porque comió frijoles.	Ra bätsi bi thihni, ngeʼä bi zi ya ju̱.
Dictionary 	El anillo que traigo es un hallazgo.	Mä mfoʼye̱ dí hñä, ra thini.
Dictionary 	La gallina mete el pico en el agua cuando bebe.	Ra o̱ni thintʼi rá ndoʼyo ne ha ra dehe nuʼbu̱ tsithe.
Dictionary 	Andre thintʼi yá noya habu̱ hiri ʼñepi.	Ra.
Dictionary 	Cuando el doctor me introdujo la sonda en la nariz, sentí que me iba a morir.	Ra ʼyo̱thete, nuʼbu̱ mí thintʼi ra nthi ha mä xiñu, ko ngeʼä mä stá tu.
Dictionary 	Antes mi hijo le prestaba dinero a cualquiera, pero ahora ya ha escarmentado porque no le pagan.	Maʼme̱tʼo toraza mä hmipa ra bojä mä tʼu̱; pe nubya ya bi ditsʼi, ngeʼä hindri juʼtuabi.
Dictionary 	El enfermo tenía mucha calentura, pero ahora ya se le calmó.	Ra daʼthi xi mi pe̱ʼtsa ra nzo̱, pe nubya ya bi ditsʼi.
Dictionary 	Ya se acabaron mis huaraches; ya voy a comprarme otros.	Ya bi thege mä thiza; ya mä ga tai mäʼra.
Dictionary 	El tlachiquero se llevó su cántaro y su acocote y se fue a la sacada de aguamiel.	Ra huiʼthfi bi hñäxa rá xo̱ni ʼne rá ʼmifi, ʼne bi ma ra thiʼthfi.
Dictionary 	Nzinänä; ya bí tho ya nzafi.	Ra ngo xudi.
Dictionary 	La tralla de la honda chasquea.	Rá ñäni ra ntʼe̱ndo, tho.
Dictionary 	Una persona pasa diario con un tercio de leña; yo creo que tiene por ahí dónde venderlo.	ʼNa ra jäʼi thogi hyastho ko ʼna so̱tʼe ra za; zäge jabu̱ habu̱ di pa.
Dictionary 	Nthenghai, dá ma thoho ha ra tʼo̱ho̱.	Pa ʼnihi dá tso̱ni.
Dictionary 	Todavía está mojada la milpa; se sumen las patas de los caballos.	Xá nkʼatho ra huähi, di thumi yá ua ya fani.
Dictionary 	Tengo una panadería en la plaza.	Dí pe̱ʼtsi ʼna mä thokathuhme ha ra tai.
Dictionary 	Cuando llegue un visitante lo pasas a descansar adentro de la casa.	Nuʼbu̱ dä zo̱ho̱ ʼna ra zo̱nte, gi thoki dä tsaya mbo ra ngu.
Dictionary 	A esa persona que siempre vence ayer la apalearon, y con eso perdió.	Nuʼä ra jäʼi xi nzäntho täte, mände bri thontʼi ko ʼna ra za, ha ko ngeʼä bi ʼbe̱di.
Dictionary 	Anoche un borracho golpeaba la puerta de mi tienda.	Mänxui nʼa ra tixfani mi thontʼi mä gosthi de̱nda.
Dictionary 	Un asesino dice que por el asesinato no tiene la conciencia tranquila.	Enä ʼna ra hyote ge ko ra nthote, ho̱nse tsa ge otho ra hmetho ha rá mfeni.
Dictionary 	Con los nuevos riegos en donde quiera hay matanzas.	Ko nu ya ʼraʼyo uäthe habu̱raza, ja ya thote.
Dictionary 	Uno de los pizcadores está deshojando las mazorcas para los tamales.	ʼNa nuʼu̱ ya xofo, hokä thotʼi pa ya thengo̱.
Dictionary 	El sirviente de la fiesta ya está tronando cohetes.	Ra me̱patebye̱ ra ngo, ya bi thotʼi ya nzafi.
Dictionary 	A un tho̱de robarreses que andaba por ahí ya lo mataron.	ʼNa ra bentfani mi ʼyobu̱, ya bri thotʼi.
Dictionary 	A ese que me maldecía ayer ya le traje su citatorio del centro.	Nuʼä mi tsangagi mände, ya dá hämpa ra thotʼi tai.
Dictionary 	Hasta está chapeado el rostro del niño por la calentura que tiene.	Ata xa thotsʼi rá hmi ra bätsi ko ra nzo̱ tsu̱di.
Dictionary 	Consolación, es cuando alguien está triste y luego lo consuelan.	Ra thoʼtate, tʼembi, nuʼbu̱ toʼo tu rá mu̱i ʼne dä thumba rá mu̱i.
Dictionary 	Las caricias de aquel papá son nalguear fuerte al niño.	Rá thoʼtate nuni ra dada, tsiʼti ya mpu̱ni rá bätsi.
Dictionary 	La piedra mella el hacha.	Ra do thoʼti ra tʼe̱gi.
Dictionary 	Voy a tronchar una penca del maguey para rasparlo muy bien.	ʼNa ra ʼye̱ mä ʼuada mä ga thoʼti pa ga atʼi xá ñho.
Dictionary 	Xuua dä ñuni.	Nsalo, thoʼtsi ra.
Dictionary 	El pastor forzó sus chivos a cruzar el río que estaba hondo y se ahogaron dos.	Ra maʼyo bi thoʼtsi yá ʼyo ha ra däthe xmá hñe, ha bi jätʼi yoho.
Dictionary 	Traspaso mi puesto de frutas.	Dí thoʼtsi mä hudi ga pa pe̱ni.
Dictionary 	Ajuä, ngeʼä hingi o̱te.	Ra ʼño̱ho̱ thoʼtsi rá tsʼu̱tbi.
Dictionary 	Le voy a hacer su collar a mi perro.	Mä ga hokua rá tho̱de mä tsatʼyo.
Dictionary 	El día quince de mayo, fiesta de San Isidro Labrador, le ponen cuelgas de flores a las reses.	Ra ʼre̱tʼamäku̱tʼa ra mäyo tho̱tuí yá tho̱de ga do̱ni ya ndämfri.
Dictionary 	El vecino suelta sus caballos en la noche para que coman en las milpas.	Yá fani ra ʼnangu, tho̱ge ga xui pa di ñuni ha ya huähi.
Dictionary 	Si pagan lo que pide la autoridad, el prisionero será puesto en libertad.	ʼBu̱ dä jutʼi nuʼä apa ra tsʼu̱tbi ra ʼyofadi, nuʼä drä tho̱ge.
Dictionary 	Afloja el mecate otro poco para anudarlo muy bien.	Tho̱ge ra nthähi mänʼa tu̱ki pa ga tuʼtsi xá ñho.
Dictionary 	El dinero que traía yo en la mano lo largué en el agua.	Ra bojä mi o ha mä ʼye̱, dá tho̱ge ha ra dehe.
Dictionary 	Los pastores abandonan a sus animales y no los cuidan; por eso hacen perjuicios en las milpas.	Ya maʼyo tho̱hni ya mboʼni, hingi su; hänge o̱tʼe ya ntsʼoʼyo ha ya huähi.
Dictionary 	Ese hombre dejó a su mujer.	Nuni ra ʼño̱ho̱ bi tho̱hni rá ʼbe̱hñä.
Dictionary 	Me veo en la necesidad de hacer un jacal milpero para que esté ahí uno que cuide la milpa.	Pe̱ʼtsi ga hoki ʼna ra tho̱ʼmähuähi pa dä ʼmu̱hni ʼna ra suhuähi.
Dictionary 	Los maestros albañiles inmediatemente terminaron la construcción de casas.	Ya gädo xa mänse̱ktho bi uadi ra tho̱ngu.
Dictionary 	En una casa, cuando hacen algo que no deben hacer los niños, entonces hay regaños.	Ha ʼna ra ngu, nuʼbu̱ o̱tʼa ʼna ra tʼo̱tʼe ya bätsi hinga geʼä ri ñe̱pi dä ʼyo̱tʼe, nuʼbu̱ ja ra tho̱thyä.
Dictionary 	La autoridad reprende al reo.	Tho̱thyä ra tsʼu̱tbi ko ra tsʼähni.
Dictionary 	Si me dan el agua hoy para regar, ya están mis bordos.	ʼBu̱ dä tʼaka ra dehe pa ga ʼñunthe ra paya, nuga ya ja mä tho̱ʼsdehe.
Dictionary 	En una fiesta de bautismo donde fui, sólo a los compadres les dieron el caldo y la barbacoa, y a las demás personas que llegaron les dieron mole de olla.	Ha nuʼä ra ngo dá ma ga siʼtsi, ho̱nse̱ ya mbane bi tʼumbi ra githe ʼne ra thumngo̱; ha nu ra jäʼi bi tso̱ni, ra tho̱ʼtsahñuni.
Dictionary 	El lunes compré un mollejón para afilar mi cuchillo.	Mänonxi dá tai ʼna ra thudo pa ga thui mä juai.
Dictionary 	El camión que compré es transportador de caballos.	Mä tsanza dá tai, pa ga thufri.
Dictionary 	El pan está muy sabroso cuando apenas lo sacan del horno.	Ra thuhme xi xá ku̱hi nuʼbu̱ ja dä thäi ha ra hu.
Dictionary 	El pan de muerto es el que no tiene grageas.	Ra thuhmeʼanimä geʼu̱ gaʼtho nuʼu̱ ya thuhme hingi tu ra the̱ngadoʼtfi.
Dictionary 	El pan de ángel es redondo con un agujero en medio y tiene grageas.	Ra thuhmeʼe̱nxe̱ geʼä ʼna ra tsantʼi ko ʼna ra oʼtsi mädetho ha tu ra the̱ngadoʼtfi.
Dictionary 	Los bancos hechos en el cerro son trípodes.	Ya thuhni bí thoki ha ra tʼo̱ho̱, pe̱ʼtsi hñu yá ua.
Dictionary 	Ayer escuché una canción y con eso me alegré.	Mände dá o̱de ʼna ra thuhu, kongeʼä xi bi hñumämu̱i.
Dictionary 	Estoy afilando el cuchillo para matar un chivo.	Dí thui ra juai pa ga ho ʼna ra tʼäxi.
Dictionary 	La sirvienta está limpiando las ventanas de la casa de su patrona.	Ra ʼbe̱go thuki ya ku̱ʼtsi mähyatsʼi ha rá ngu rá hmuʼchu.
Dictionary 	Borra el pizarrón con el borrador.	Thuki ra ntʼohnä xithe̱ ko ra putʼi.
Dictionary 	El pulque que vendo no es de mi propiedad, es pulque rescatado.	Ra sei dí pa, hinga mä ue̱nda se̱he̱; ra thuksei.
Dictionary 	Tengo un poco de leña comprada.	Dí pe̱ʼtsi tsʼu̱ ra thukza.
Dictionary 	Se sumen las patas de los caballos; todavía está mojada la milpa.	Xá nkʼatho ra huähi, di thumi yá ua ya fani.
Dictionary 	La thu̱kañʼi barbacoa de borrega es más sabrosa que la de chivo.	Ra thumngo̱ ga de̱ti mänʼa xá ku̱hi ke nuʼä ga tʼäxi.
Dictionary 	La escobetilla del comal está hecha de palma.	Ra thuntʼyo xa thoki ga ʼbahi.
Dictionary 	Tres tacos de gallina horneada valen quince pesos.	Hñu ya mpantshme ga thuʼni, di mui ʼre̱tʼamäku̱tʼa be̱xo.
Dictionary 	Estoy levantando el excremento que la gallina dejó aquí, porque apesta mucho.	Dí thutsʼi rá foʼni ra o̱ni bi zokua, ngeʼä xi ra nxä.
Dictionary 	Te presto mi caballo de silla para que lo montes.	Ga hmiʼi mä thuxfani gi to̱ge.
Dictionary 	Me voy a comprar una cobija, porque ya viene el frío.	Mä ga tai ʼna mä thuxʼyo, ya xa ʼñepu̱ ya tse̱.
Dictionary 	Saca el azúcar del costal que está amarrado.	Ku̱i ra dotfi ha ra ʼro̱zä thuʼti.
Dictionary 	Quiero un manojo de cilantro de a peso.	Dí ne ʼna thuʼti ra landro ga be̱xo.
Dictionary 	Está muy difícil soltar ese nudo.	Xi xá hñei ga xoʼti nuni ra thuʼtsi.
Dictionary 	Mi papá fue a la pizca de chiles.	Mä dada xa ma ra thu̱mʼi.
Dictionary 	El niño tiene moqueo porque anduvo en el sol ayer.	Ra bätsi tsu̱di ra thu̱ʼmxi, ngeʼä bi ʼyo ha ra hyadi mände.
Dictionary 	Está muy sabrosa la salsa frita que hiciste.	Xi xá ku̱hi ra thu̱tʼañʼi gá hoki.
Dictionary 	Fríes los frijoles con manteca, hija.	Gi thu̱tʼi ra ju̱ ko ra nde̱ga, tʼixu.
Dictionary 	Estás escuchando lo que estamos diciendo; no vayas a andar contando lo que escuchas.	Gí o̱de nuʼä dí mäñhe; o xki mä gi ʼyo, gi thu̱tʼi nuʼä gí o̱de.
Dictionary 	Cuando se baña el niño le gusta gorgotear el agua con la boca.	Ra bätsi, nuʼbu̱ di nxaha, di ho dä thu̱tsʼi ra dehe ko rá ne.
Dictionary 	Con su nariz burbujea el agua el puerco cuando está comiendo.	Ko rá xiñu di thu̱tsʼi ra dehe ra tsʼu̱di nuʼbu̱ di ñuni.
Dictionary 	A chiflidos se hablan los jóvenes.	Ga thu̱xi di nzofo ya bäsjäʼi.
Dictionary 	La flauta de carrizo es muy bonita.	Ra thu̱za ga xithi, xi tsʼamähotho.
Dictionary 	Al niño le dan deposiciones.	Ra bätsi di umba ra thu̱zu̱.
Dictionary 	No quiero perder la vergüenza.	Hindí ne ga ʼbe̱ mä tsa.
Dictionary 	Xuua tsa ʼna ra ñʼi pa dä thogi ra sei.	Nda.
Dictionary 	El perro está mordiendo a un puerco que anda ahí.	Ra tsatʼyo tsa ʼna ra tsʼu̱di ʼyoni.
Dictionary 	Él se cansó de acarrear para adentro veinte bultos de cemento.	Mi ku̱ʼti ʼnate ya buxa ga cemento, hange bi zabiʼä.
Dictionary 	Tuerces muy bien los hilos que van a ser para el mecate.	Gi tsaha xi xá ñho ya thähi nuʼu̱ pa ra nthähi.
Dictionary 	Estoy haciendo con la figura memorizada una piedra de malacate de hueso.	Dí tsani ʼna ra dosthetʼi ga ndoʼyo.
Dictionary 	El zopilote chico no es muy grande, y cuando está volando se ve redondo.	Ra tsanmpada, ra tʼu̱ki; ha nubye̱ di hñatsʼi, di neki ra tsantʼi.
Dictionary 	Ese hombre blasfema en contra del aire, porque le echó polvo en los ojos.	Nuni ra ʼño̱ho̱ tsante; tsani ra ndähi, ngeʼä bi ʼyu̱ʼtua ra hai rá da.
Dictionary 	El juguete del niño es una rueda.	Ra tsantʼi, rá ntʼeni ra bätsi.
Dictionary 	El dinero que circulaba antes era de plata.	Ra tsantʼi mi ʼyo mäʼme̱tʼo, mrá tʼaxi.
Dictionary 	El perro ha redondeado su cola y la tiene sobre su espalda.	Ra tsatʼyo xa tsantʼi rá tsʼu̱, ʼne xa gäxa ha rá xu̱tha.
Dictionary 	El malacate de mi torno da vueltas muy bien.	Rá thetʼi mä tsanza, di theʼtsi xi xá ñho.
Dictionary 	El camión que compré podrá llevar como cien personas.	Mä tsanza dá tai, dä ʼñe̱ni ngu ʼnanthebe ya jäʼi.
Dictionary 	Me gusta aquel jarro mediano; voy a comprarlo.	Dí ho nuni ra tsanʼbada, mä ga tai.
Dictionary 	Probó la comida y le supo feo.	Bi tsapi ra hñuni ha bi zamäntsʼo.
Dictionary 	Intenta golpearme y verás.	Ge dä tsapi gi pu̱ngi; ha nuhmäge.
Dictionary 	El frijol quebrado que preparaste está muy sabroso.	Ra tsastju̱ gá hoki, xi ra ku̱hi.
Dictionary 	Quiebra el maíz para los pollitos.	Gi tsastʼi rá de̱thä ya ntʼu̱ʼni.
Dictionary 	La víbora no pica con su lengua, sino que muerde con sus colmillos.	Ra kʼeñä, hingi pu̱te ko rá jäne; nuʼä ge tsate ko yá tsʼafi.
Dictionary 	Corrió la res porque la quiere picar un tábano.	Ra ndämfri bi nestʼihi, ngeʼä ne dä za ʼna ra tsateginʼue.
Dictionary 	El asno ya ha enflacado porque lo pican los moscos.	Mä ʼro̱ge ya bi no̱xke, ngeʼä tsa ya tsateginʼue.
Dictionary 	El cardenal es un pájaro colorado con cabeza copetona.	Ra tsatʼañʼi, geʼä ʼna ra the̱nga tsʼintsʼu̱ ra tʼo̱ʼtsñä.
Dictionary 	El perro que trajiste es muy bonito porque tiene las orejas paradas.	Ra tsatʼyo uá tsi, xi tsʼämähotho, ngeʼä xa ʼma yá gu.
Dictionary 	La huella que deja el tejón es idéntica a la palma de la mano de un niño.	Habu̱ o rá ʼye̱ ra tsathä, ngu rá ʼye̱ ʼna ra bätsi.
Dictionary 	Es muy sabrosa la carne de codorniz.	Ra tsatsa, xi xá ku̱hi rá ngo̱.
Dictionary 	Mi cuñada tiene años sufriendo con una enfermedad; ha visto a varios doctores sin ningún resultado.	Mä ʼbe̱po ya pe̱ʼtsi ya je̱ya di tsaui ʼna ra hñeni; xa nu ndunthi ya ʼyo̱thete ha hinte xa za xa ʼyo̱ʼtuabi.
Dictionary 	Ese hombre está lidiando con una víbora enorme para matarla.	Nuni ra ʼño̱ho̱ di tsaui ʼna ra däkʼyä pa da hyo.
Dictionary 	El murciélago es un ratón ya viejo al que le nacieron las alas, dicen.	Ra tsaxmagu, geʼä ʼna ra dängu ya xa ndäxjua ha nubya bi nja yá zahua, ʼna.
Dictionary 	Los domingos descanso de mi trabajo.	ʼBu̱ domingo dí tsaya ha mä ʼbe̱fi.
Dictionary 	Xuua; ʼnepu̱ ga maha, ga kʼäʼtshu̱ mä zi mbane.	Tsaya, nda.
Dictionary 	Ya cesó la lluvia, pero llovió fuerte.	Ya bi tsaya ra ʼye, pe xi bi ʼuäi ntsʼe̱di.
Dictionary 	La persona que murió ya era anciana.	Nuʼä ra zi jäʼi bi tsaya, ya mrá zidäkʼei.
Dictionary 	El enfermo ya se agravó; enmudeció y ya no hay esperanza.	Ra daʼthi ntsʼe̱ i tsaʼye̱; ya bi ngone, ya otho ra humu̱i.
Dictionary 	Xuua, tsaʼyo; tsipse̱ yá me̱ti ʼne yá me̱ti mäʼra ya jäʼi.	Rá tsatʼyo ra.
