ShaShiYaYi 	¿Por qué sigue el sufrimiento en nuestro pueblo?	¿Paita abisatsine anampiki eirorika atijayetajitsi?
ShaShiYaYi 	Vamos a ver a Jaguar	Tsame amenakoteri Jaeñari
ShaShiYaYi 	Cuando la red se llenó, los pájaros vinieron y se la comieron, y llegaron las aves y se la comieron.	Opitsiyetake, ari iponeapake osheki shikiri, jeri pashinipe amayetirori katsirentsipe, ajokitantyari
ShaShiYaYi 	Los niños pequeños pequeños son para mantener los cotos buenos dentro del intercambio	Osheki iyotanepe ashaninka oshiokasanotantyari, obatsasanotantyari kametsa ipankiyetiri
ShaShiYaYi 	El Sistema 1 Acuerdo Nacional 2 Conjunto de Controversias, para coadyuvar con el proceso de conducción, conducción y supervisión del sector privado.	Kenkishiriantsi 1 Kenkishiriantsi 2 Kenkishiriantsi 3 Maroni iñabentero okarati ikenkishiriakari okantya iramenantyarori kametsa ibetsikero kobenkatantsi ompoña isankinatakotero tsika ikantero ibetsikakotero jareyetakari
ShaShiYaYi 	¿Qué implica la gestión pública del agua y la pesca?	¿Tsika okantabaitaka nija añakeri nijateniki irorika antarani?
ShaShiYaYi 	¿Qué es la gestión de la niñez?	¿Paita iñabentajeitiri jananekipe4?
ShaShiYaYi 	Caso contrario, el curandero les dice:	Pitsonkarerorika piñanatero iroka kenkitsabaitantsi pakayetero sampitantsi
ShaShiYaYi 	¿Dónde está la guarnición de los ricos?	¿Tsika ikaratika yoipiyetabajiniriri irekite?
ShaShiYaYi 	Mi papá pregunta: “¿Dónde están los paisanos?”	Pakero sampitantsipaye: ¿Paitaka iñabentajeitiri ashaninkapaye?
ShaShiYaYi 	La fuente de agua con raíces de siete clases es una fuente de muy buenas prácticas y muy atractiva para el público, de diferentes semillas y arbustos	Pamene jaoka7 otimiri omotija nija asabikantyari kametsa ampitasate aisati amene jaoka opariayeti onkochapaki, pashini oitsokipe inchato jeri kajiro
ShaShiYaYi 	Cuando una mujer no anda en la casa donde está un hermano	Irorika tsinane amitakotiro iniro osaiki pankotsiki ameneri oyariri irorika irento
ShaShiYaYi 	¿Cuál es el volumen total de la nave que se usa para el uso exclusivo de los aviones?	¿Jaoka okarati antyaro shiakomentotsi okoimenta ontetantyari maroni kaje?
ShaShiYaYi 	El masato es para identificar su alimento, también sus hijos lo ayudan a cruzar los pajaritos.	Machoshi ichekaki omiripanki, ashi ibanko opoña ikaimajiri itiniri, aisatsi itomipaye yamitakotajanterita, yajantero yoisotakiri omiripanki
ShaShiYaYi 	Ahora bien, cuando se acabe no va a quedar la tierra libre, estos son los dueños de barbechos y las organizaciones para salvarse y construirse.	Irokantacha, arika ontsonkanakia te onkantasonotanaje kipatsi, tempa yoka pankiyetirori isaiyetiro osheki kimiko onkebiantyari kametsa aisati yobamantayetarori tojasheri
ShaShiYaYi 	En los diferentes niveles de la canasta que llenan, los combineros, lagartijas, támishi	Yapatoyetero kantashiyetachari kantiri betsikayetainchari, inashityaro: kokoshi, tsiaroshi, shapashi, tapetsa
ShaShiYaYi 	Había comido toda clase de manjares y toda clase de bodegas, y las aves del cielo les seguían.	Ipiabetakaro, itsonkanakero maroni inchatope, itsotenkayetakero maroni timayetatsiri, yoijatakeri kiso yoiri kamari, te irijokeri yoijatapinintiri
ShaShiYaYi 	¿Cuál es el tomo, la impresión de humiro?	¿Jaoka okaratiri pishitikiri kompiroshi?
ShaShiYaYi 	Mi cuñado estaba sentado (5) hojas de humiro	Yoisotake koni (5) oisoro kompiroshi
ShaShiYaYi 	Los dulces carachamas de Okametsa y el búho	Ikametsati totiroki Okametsati tsinetsi jero pocharo
ShaShiYaYi 	Entonces le dijo a uno de ellos: “ No tengas miedo; anda, quítate las sandalias.	Yakanakeri Charima: "Eiro nopimirotsi, tsame nobametempi piyotantyarori pampitabete"
ShaShiYaYi 	Como una culebra, una mujer cutpe estaba mirando al monte para sacar una capa de cushma, y cuando vio que una persona llamada ⁇  estaba allí le preguntó: ¿para qué lo llamas?	Kenkitsarentsi: Atiribeitani jeto Perani, aparoni tsinane anibeti antamiki amenayeti otaki kiriniroki antantyari oitsare, oñapatiro jeto atiribeitani pajitachari Ametyo, ari okantiro: ¿paita pantiri?
ShaShiYaYi 	Porque había un hombre en la congregación que tenía una mano atrofiada, y le dijo:	Piñanajeite aparoni betsikakotantsi piyotantyarori jaoka okantakota, pisankenatantyari abirori
ShaShiYaYi 	El curandero encontró a un hombre armado con un palo que persigue, para defenderse de la pesca.	Sheripiari jayi kariperori inchapankipaye itinkamityari, imerepankityari ejati itantotyari
ShaShiYaYi 	¿La gallina de los animales que viven en los otros países merece su nombre?	¿Irojatita yobetsikayetiri ejati yayetiri saikantarori pashinipaye nampitsi, akemetairora aaka?
ShaShiYaYi 	Mucha sachapapa crece en el cerro.	Osheki iraitiro beshiriantsipeki iroperori
ShaShiYaYi 	¿Qué me pasa?	¿Paita koiteachaneri?
ShaShiYaYi 	¿El que se queda en la casa de un animal llamado? ¿Dónde está él?	¿Timatsitatsi oipatsiteki pinampi piratsitatsirira?¿Paitakia?
ShaShiYaYi 	¿Cuál es el índice de captación que tiene la persona?	¿Jaoka okantiri osankenaitoki betsikakotantsi piñanatakeri?
ShaShiYaYi 	A su paisano lo mató matando siete sarmientos y otras cosas que le dijo	Ikamanteri ishaninkape inebetasanotari7 chochokipe aisati paita inebetantarori
ShaShiYaYi 	Hacen [las hojas] que dice la Constitución y las leyes	Pakayetero sampitantsipaye tsika pikanta pikenkishiriakotiro ñanarentsi
ShaShiYaYi 	Si Sienten historias, vienen los niños a preguntarles acerca de su historia y saben para qué sirven esas historias, para que no se repitan más.	Intsokakerorika kenkitsarentsi, impoiniji iriyojeitantyari, isampiteri kenkitsatatsiri aisati iriyotantyari eiro imapokabetitsi
ShaShiYaYi 	Le muestran otros modelos y, al mismo tiempo, le muestran a la niñez y la creatividad que hay en la carne de pescado y en el vientre.	Poinijayeri pashini shiyakantsi impoiji pikanteri jananekipe ijikoyetero paita timatsiri ibatsaki shima aisati itsomonteki
ShaShiYaYi 	No puede llegar su mano	Te irimatajeaji irisokijajeme
ShaShiYaYi 	¿Qué recuerdo de mi niñez?	¿Paita noyotakoteri ñanarentsiki noñanateri?
ShaShiYaYi 	Los integrantes de la sachavaca se encuentran en los brazos antes de la ballena y la acumulan en un hueco donde está el plátano, el maíz, la papaya	Ibane iriperori ashaninka pairani Jantaki irobane tsika okametsati obinteni ari onintiro parianti, shinki, inki ejati mapocha
ShaShiYaYi 	Mi paisano dejó allí las piedras para mirar	Meka ashaninka jajeitake yamenayeti yobayetyari
ShaShiYaYi 	[La trampa] se convierte en una piedra arriba, otra encima de la mano derecha o otra abajo,	Pishiyakantero obirentsipe, pimpitsokayetero obasate aparoni jenoki pashini akosanoriki iro pashini osabiki
ShaShiYaYi 	Donde se encuentra más grande en el patio de la comunidad, los hombres le asignan sus chacras y sus piedras.	Pameneri moreti isabikapiniti anta itimayetinta osheki baka aritake yayetirori yobanaro kempetachari ibashite aisati yobarayetiri
ShaShiYaYi 	Son funciones de la funciones delgadas del barrigón	Irotake añantari pashito irajatsomonte
ShaShiYaYi 	– No monitorear el camino de la vida pública y de los pueblos, para impedir que siga el buen camino.	Eirorika amenakotanakero yotantsipankoki aisati nampitsipeki kametsayetatsiri sabikimoteri, eiro amatatsi asabikajeite kametsa
ShaShiYaYi 	Llevó a la mujer	Ajirikiro tsinane
ShaShiYaYi 	Con su permiso, él habla.	Piñabentajeitero abishimotantsi piñanatakojeitakeri
ShaShiYaYi 	La balsa es de bambú.	Kapichatiji okanta ishipatona
ShaShiYaYi 	El hombre que amaba más pescado que su hija orinó por la noche muchos sábalos y la piña.	Ikanta shirampari jati ikobantiro jamene shima ibakaiyarori irishinto tsireniriki jakachati jaki osheki mamori, kobana
ShaShiYaYi 	Enfermendades cuando no lo hacen.	Aabintiro mantsiyarentsipaye, achonkakiarorika (atsinkakiarorika) oshi aisati otonki
ShaShiYaYi 	Los alimentos para la piel de los animales pequeños son estos	Yantajeite aparope apatoyetainchari ibankojaniki ikobakayetari
ShaShiYaYi 	Hay muchos frutos de zapallo asado, pacay, chakra y papaya.	Timatsi aisati chochokiyetatsiri kemitachari pashiiki, intsipa, shebantoki jero iriimaki
ShaShiYaYi 	¿Qué tan grande es la canasta del ⁇ ?	¿Tsika kari antantaja tsibo, tsibeta, kantiri ejati tsompirontsi?
ShaShiYaYi 	Mi cuento es el fin de la vida	Pinkenkitsatakajeiteri entsipe okantakoyeta inchashipe abintari
ShaShiYaYi 	La capa de piedra que mató 138 civiles y con ello brotó las máscaras de los jefes de los sacerdotes.	yaarato kotsiro mapi pakitsa 138 Piñanatero ñantsipe impoiji pipotsotero shonkaro okaratira tsapari aparopeki ñantsi
ShaShiYaYi 	Si vas a coger mi cuñada, así vas a pegarme para que no me engañe.	Pijitake notseya pijateketi ari pimpiyaje eiro pamatabitanatsi
ShaShiYaYi 	y se sentaron juntos a la mesa y se sentaron alrededor de ella.	Okameetsati irashitearo apaniro, aisati inkoakerika inkarajeiteri itsipapee irashijeitearo maaroni
ShaShiYaYi 	Cuando aumenten las ovejas de jesús en una casa grande,	Arika ishekijeite ashaninka ibetsiki antaro pankotsi teerika orijaniki okanta
ShaShiYaYi 	támishi 3 palos, 2 topacio 5 támishi 4 támics 5 palos, 4 calabazas	tapetsa 3 inchapanki 2 kapashi 5 tapetsa 4 kapashi 4 tapetsa 5 inchapanki 4 kapashi Pisankinatero ñakarontsi anakarojanikikira
ShaShiYaYi 	Donde Donde se encuentra la Municipalidad, se encuentra el lugar	Pichakopiatero jaoka opajiyetari aparopeni otimakotiri okantiri oshabiji
ShaShiYaYi 	TIERRA: Reconocer y garantizar el fin de este mundo y la licencia de uso	Obonkiti yotanetantsi: Iyotiro jero yamakotiro maroni timayetatsiri nampitsipeki jero ikisakobentiro intimapinintantyari
ShaShiYaYi 	en las ramas de los arbustos 11, antiguamente las yucas habían quedado solitarias ciudades que tradicionalmente diseñaban sus cauces, exhalaban su vaina.	inchatoshiki 11 Peerani kaniri atiribeitani osaiki apaniroki nampitsi ameniri ashaninkape jaoka ikantayetiro yaparatiro, itojashetiro ibane
ShaShiYaYi 	¿Por qué tu ashaninka es la representante de Ganges? ¿Dónde?	¿Yantiro pishaninkaite shiyakantakotachari?¿Paitakia?
ShaShiYaYi 	Trabajos duros. Construyen un día para que se vayan las mujeres y los niños.	Ñanarentsi Ñanarentsi pobetsikakotakeri aparoni kitaiteri ojatake makiriña jero Aana ajeite tapetsa aretapakara otimi osheki Aana oñanatapakeri tyonkitsiki okoakotakeri iroinijayero osheki tapetsa
ShaShiYaYi 	Porque aquí tienes a un paisano que te ve, y te ve, y te ve sentado a la mesa y le dice:	Pamene pashini pishaninka, impoiji pamenero poberakari pikibiake aisati pitenati
ShaShiYaYi 	Cayó encima de la escalera y después dejó un poco de ropa.	Aiminkietakotityaro iratanakira anta okatsirinkaperotakenta impoiji ajero akatsinkatityaro
ShaShiYaYi 	La finca está hecha, niños, la pequeñita	Pishiyakantero maroni kari yobayetyari jananeki irijaniki
ShaShiYaYi 	Mira las fotos de las semillas que crecen en las cañabravas y las colchas son buenas para sembrar	Pamenero shiyantsi oitsokiyetatsiri impoiji pitsirikayetero pajoki kametsatatsiri apankiyeteri
ShaShiYaYi 	El cuñado sabe quién soy yo.	sha ña Pisankenate poematsapari piyotakeri obajiroki shiyakantsipe
ShaShiYaYi 	Los discípulos le preguntaron: “ ¿Qué es lo que está pasando en el invierno?”	Pikenkitsajeite pitsipatyari pitsipamintsare: ¿Paita shiyakantakotachari shiyakantsipeki?
ShaShiYaYi 	Tengo un amante que quiero mantener	Timatsi noyobintsane nokoi nompimante
ShaShiYaYi 	¿Qué están haciendo los pescadores?	¿Paita obanarontsipe yobayetari meka ashaninka?
ShaShiYaYi 	La madre puede hacer collares fritos en el frijol, para que le diga „la grillo‟.	Poshinibe tsirentsi ejati kiritoki, okantana ina ayaro tsirentsipaye ari ashintsitake
ShaShiYaYi 	(Según la Ley General de Personas Militares, Autogobiernos para su dueño)	( ) Ikamantayeteri maroni atiripaye irantyari tapetsa ontimatye ikamiteri ashitarori
ShaShiYaYi 	Cuando se levanta del árbol, allí crece	Arika oshebayetya inchato ari ibetsikiri
ShaShiYaYi 	El pez hoja de pescado	Ayotantyarori yenkataje shima
ShaShiYaYi 	Mi cuñado ya está sentado en la canasta, la paloma Choni, la paloma, en su canasta 5 Sankati, la canasta, los murciélagos le dieron 5 años de edad, la marca o el conjunto de un pajarito.	Choni yapototake koni Sankati yapototaki koni shironi shirintsi Choni apototaki koni shironi itetakiri kantiriki 5 Sankati yapototaki koni shirintsi itetakiri 5 ¿Jaoka ikarati yapototanaka maroni tsimeri?
ShaShiYaYi 	¿Qué hacen para construirnos?	¿Paita yayetiri yobetsikantyari?
ShaShiYaYi 	¿Quién es el que viene detrás?	¿Janika tsonkataintsiri intanakaro?
ShaShiYaYi 	El remate ¿Qué va a hacer?	Obanarontsi ¿Paita antirori?
ShaShiYaYi 	¿Por qué saben lo que tenemos?	¿Paitatya ayoteri ñanarentsiki añanateri?
ShaShiYaYi 	En los diferentes niveles de la tierra no existe el río	Chora kantashiyetachari itsoba jero itipe te ishiyabakajeitya
ShaShiYaYi 	¿Acaso se juntan todos en la casa de tu pueblo?	¿Jamitakotabakajeita arika ibetsikaite pankotsi pinampiki?¿Paitakea?
ShaShiYaYi 	[El padre] se pinta la cara y la carachama.	Ipichakayetero potsoti jero oberantya opatsa
ShaShiYaYi 	¿Para qué sirve la preparación de los alimentos?	¿Paita jaashitirori ibetsikantyarori ibanko?
ShaShiYaYi 	Koricha: Al contrario, lo que ha sembrado la mujer para sembrar masato en la inutilidad de los combustibles para sembrar miel y miel	Koricha: irointi pankirentsi opankitiri tsinane ayetiro onkonobantyarori piarentsi terika antantyarori korichaja opiaretyari aisati itashiyetiro
ShaShiYaYi 	Los ocho sauces que llenan los Estados Unidos Mexicanos	Iyenkati8 shimape Itsokiyeti shimape Matsayetaje shimape Akenkitsabaite
ShaShiYaYi 	La soga está al costado, la soga está humiro	Kepiatonki, shibitsa, parentishi jero kompiroshi
ShaShiYaYi 	Ellos obedecieron, pues, a Ashaninka y a los otros habitantes de la tierra que allí habitaban y formaban parte del monte Jezreel y sus hijos, y les preparaban un nido de zapotes, matorrales, tamales, zapallos, zapallos, zapallos, zapallos, paja, heno, heno, heno, hamaca, hama	Ayeteri abayetyari Ashaninka osheki iyotakoyetiri yayetiri antamishiki yobakayetariri itomi kemetachari: kapoti, masoba, onkonakento, erama, charinari, kota, shiopa, poñashiriki, kemishi, shintikeni, majo, emoki, tsirompe, kompa, chobiki, kapirokeni aisati sankiro, tsoiroki, mapoto jeri mamporo
ShaShiYaYi 	La redada de peces de la misma banda está llena de peces y en la misma época de pesca.	Ompoña aipitsokeri irojatita imposatantanakeari ejati timatsi menkorentsi ari aberi shimapaye osantakoteri irojatita imposatantakiari
ShaShiYaYi 	Los peces que tienen su chacra en la comunidad, oor sacarlos por su propio pie	Maroni timatsiri irasankane añatsiri nampitsiki, ikobi apani isaikantyari irañantyari kametsa
ShaShiYaYi 	Muy pronto, hace un gesto con la mano izquierda	Osankenaitoki, Ikantetiro ibetsiketiro, Koayetachane
ShaShiYaYi 	La Agencia de Seguridad de los Edificios en el respeto de los avestruces y de los avestruces	Yotanetantsi Antayetachane Asampiyeteri Imonkaratakotiro kantakotirori shekiantsipe jero tsantsayetatsiri timimoyetiriri
ShaShiYaYi 	jIDAD Autogobiernos de la ciudad, lo hicieron	Aparope jananekipe ontimatye iñabentero yantakeri
ShaShiYaYi 	Para que se sachen muchos	Iposhinitantyari osheki
ShaShiYaYi 	La segunda plantas de la planta verde es la pascua.	Piñabentakotero pashinipe pankirentsi kari itsokaiti irointi akoyayetiri
ShaShiYaYi 	Levántate, no te renuncies a la compraventa de esclavos y demás hombres, cancelándolos	Irokantacha, te ayotakoyetajero akobanaiti amanantayetero ikantayeteri pashinipe atiri, kari ayotakoyetiri
ShaShiYaYi 	Los tejidos se revolcaron en la cama.	Ashitobakanakeri ayetakayeri parentishi kamashirope
ShaShiYaYi 	No vas a cerrar mi agenda	Pitsokatajero sampitantsi okantiri kankipanaro
ShaShiYaYi 	Establecer los parámetros de eficiencia entre los dos actores involucrados en el trabajo solito	Jananeki monkaratatsiri apitetirori yotaneri iranterota irantabere apaniroini
ShaShiYaYi 	Solamente se derrumba una gran piedra y una roca debajo de la roca que está adentro para que no llueva	Yobashitiro oshabiji antyaro mapi jero sampobatsa anta tsompoinaki eiro otyaantatsi
ShaShiYaYi 	Este paisano tiene la mirada puesta en el frente frente al frente con un palo de madera muy grande para sujetarlo para que se solucione la soga para sacar cosas de los bancos, cuando sea necesario para levantar las piernas de los santos	Yoka ashaninka yamenayete kobayetachane arika yobetsike obashirontsi kemperi inchapanki antyaro yoisoteri okantya mokoina otsobaki shibitsa ikiantyari poshinirintsi bankitachari arika yatikapero obankanakea oshitikaperi yora kobatsere
ShaShiYaYi 	Estableció con nosotros uno de los libros que más nos ha dado para sembrar la cultura y sembrar sembrar para que podamos disponer y difundir la cultura, las culturas, las culturas, los pueblos y las comunidades nativas.	Jantajetakero ikarajetaki aparoni ipiobentakaro obametinkaripe jamenakotakero kametsaini aisati apankinatakaro onkantya abiroka piyatakaero aisati pibametsatero piyotanenkape, iramitakotemi irorika amitakotemi obametimiri, aisati piripaye, acharinepaye aisati pashini ashaninkape
ShaShiYaYi 	>Dicen que los usuarios de radio y televisión están en el fin de semana frente a las actividades que sacan en el verano	) Pisankenatero jaoka akantirori añanatiro ñakarontsi sokijatsiri maroni ekitarea ashekiakerorika ipankitakeri kaniri osarentsiki
ShaShiYaYi 	Imagínatelo, niños, las historias de Jesús	Pikenkeshiriakajeri jananeki kenkitsarentsi ikanta ipeayetantanakari piratsipe
ShaShiYaYi 	CANCIÓN 15 hematomas - Geron un fin de 3 hematomas = Oso Diego, el otorgamiento de permisos de uso donde se cocinó la hoja de samora	Tsimabitacha tskoni 15 sheyaki - Nopakiro maroni 3 sheyaki = Saikanaje tsapite sheyaki Pitsiritero nariachari jaoka okarati okotsitakiri Samoera sheyaki oyobitsiteki
ShaShiYaYi 	Al terminar su trabajo, sus paisanos lo buscarán alegremente para que sea su lugar de descanso, así es la vida de los campesinos	Itsonkakerorika ibanko ikaimayeteri ishaninkapaye ikimoshirebentero, jobiri iroishate isaitimaityaro irirane ibankoki okisotantyari, ari okantari jametari sharakasati
ShaShiYaYi 	Puedes depositar allí su dinero, o depositarlo en un banco.	Pampiteroji pisankenatero ara pisaraki irorika ora paperipanaro aisati
ShaShiYaYi 	Pero si tu pie va a ser causa de que caigas en pecado, no lo tomes en cuenta a menos que se vuelva tu padre.	Aririka pijate pitimashibete, eiro pitsinampabetiri piratsipe, ari itinkarakempi1, ashitariri
ShaShiYaYi 	La Autoridad Nacional no se apropió de estas tierras porque tiene una cantidad de migajas que se traducen en 16 plantas.	Anampiki te oshokayetaje kametsa pankirentsipe tema osheki apiapiyetakero16 apankiyeti osheki pankirentsi
ShaShiYaYi 	El anciano de la congregación es el encargado de preparar la comida,	Pamene pitsipamintsare piñabentakotantyarori kamantantsi piñanajeitakeri
ShaShiYaYi 	Kari y yo somos buenos para Obama rápido	Okametsatantari Kari okametsatanta Obamaitanta intsipaite
ShaShiYaYi 	¿Qué nos lleva el tronco del árbol?	¿Paita koachaneri apankitantyari inchato?
ShaShiYaYi 	¿Qué hemos de hacer para recuperarnos?	¿Paita anteri amaperotanyarori ashimate?
ShaShiYaYi 	Ponga la noche en la choza de la casa, también un hombre más tarde.	Pitsirikeri tsireri shiyakantsi tsinani tsompoiki pankotsi ajatsi shirampari intakeroki
ShaShiYaYi 	El jefe de la comunidad comunidad come con esa gente que dice que es el jefe	Pakero sampitantsipe poinijantyariri pitsipamintsare pikematsatakerorika betsikakotantsi piñanatakotakeri
ShaShiYaYi 	¿Cuál es el motivo de tu solicitud para el pueblo?	¿Jaoka okantyarime anampi eirorika piratsipe yamitakojeitatsi?
ShaShiYaYi 	Mujer, cuando ella estaba sentado en la parte baja, la paró en la parte baja de la roca.	Aye ooya, asake kapichaji yenkantsi, ikatsirinkatanakerika, acherenkero aajoshi jero shiboya
ShaShiYaYi 	La colocan cuando se alcance la altura del cerro, ahí sentadas	Poyakotero aririka omajeritapakerika epichokini, ari pisampiyeterori
ShaShiYaYi 	Este niño no sabía que fue a cogerlo, se apareció en la chacra, discutió en su chacra: ⁇ , yuca, chacra, frijol y papaya.	Irika sankiro te ayote jaoka ikenapake, ikonijatashitapaka obantsipeki, yobayetapakaro oshi pankirentsipe kemetachari: parenti, kaniri, naranka, shinki, machaki jero mapocha
ShaShiYaYi 	Les dice, les pide que sean efectivos para las tareas del hogar, para que sean grandes o grandes los cogollos de los bancos que tradicionalmente se mantengan a una edad temprana a la altura de la tierra, cuando esté lista al salir del cargo por tres años, el tiempo de la partida partida sigue igual.	Piyompiiteri, otimatye pamananteneri birakocha ikantaitiri abono, antarotantyari obatsa pibankibairepaye ejati timatsi antarotantyari intsipaite pityakitero kipatsi, aririka pityakitakero poyakotabaje maba osarentsi inkene papitaje pipankibaitaje
ShaShiYaYi 	día y noche vas a pasar	Pishiyakantero pantiri kitaiteriki ejati tsiteniriki
ShaShiYaYi 	El agua viva para nosotros que somos dueños	Nija añamento ashi arori timatsi ashitarori
ShaShiYaYi 	¿Qué otro pescado tiene mi tío?	¿Apinti yakipayetiri shima?¿Paita pashini?
ShaShiYaYi 	Llamo 21 Tsompoka - después de dibujar al profesor: Reivindica la basura en la niñez, debajo de las dos orillas de la tierra	Nopajita 21 Tsompoinaki - antakeroki Antayeteri obametantatsiri: Pishitoakayeri jananekipe yotantsipankoki, pimpotsote kipatsiki apite shonkaro antaro
ShaShiYaYi 	¿Los abuelos jugaban?	¿Maroni pitsipajeitari yantabetake?
ShaShiYaYi 	El jefe de personal es un hombre minero	Piñanajeitero ñanarentsi isankenatakeri aparoni ashaninka
ShaShiYaYi 	[El hombre] se sentó encima de ellos.	YOTANTS Tsame abetsike aparoni obashirentsi antyariri piratsipe
ShaShiYaYi 	Dicen que antiguamente, en la antigüedad, los símbolos de la mariposa no eran dioses verdaderos, que no habían enviado a los seres vivos ni a los animales domésticos, no eran símbolos	Satonkantsi impoiji tsapatantsi Ikanti ashaninkape ipotsoborota eiro yatantaritsi peyari, eiro ijokitantari kamayetatsiri aisati eiro okomitantari keshiki, te ipotsotashitatsi
ShaShiYaYi 	En este sentido, las mujeres que tienen hijos tienen derecho a disfrutar de las condiciones naturales de vida de sus pequeños.	Okameetsati ankabintsaasanotero tsinane timatsiri otomipee, aisati okameetsati ikabintsaasanoteri irijanikipee, maaroni
ShaShiYaYi 	El sábalo de pescado crudo de la piña puede molerlo en mi chacra, para que mi compañero este en el río	mamori kobiri shebori shima chomenta kobana chebiro kipabori Nobametsatajero nantabaire nontsipatyari notsipamintsare ejati obametanari
ShaShiYaYi 	Responderán a la Autoridad Nacional y a los gobiernos de los Estados Unidos Mexicanos y de los Estados Unidos Mexicanos para regular el aprovechamiento de los recursos naturales y la conservación de la biodiversidad en las zonas rurales.	Kamantayeteri jero oinijayeri iyenkatantari shima Ashaninkape iyotakotatiro eiro itsonkaperotantaritsi shimape aisati ibetsikayetiro ishimatantyari opayetiri inchatomashipe eiro yobamantasanotantaritsi isaikinta shimape
ShaShiYaYi 	Aprobar los programas de desarrollo social y de infraestructura hidráulica.	Pibetsikakotero pikenkishiriayetakari amitakotantyamiri pisankenatero kenkitsarentsi
ShaShiYaYi 	¿Lo que significan los pescadores?	¿Jaoka ikantayetirori ishimata ashaninka?
ShaShiYaYi 	Toma el segundo que escalor del vapor	Amenajeitero paita ayetanakeri ompankitantyari
ShaShiYaYi 	La vida de las preguntas es muy sencilla, por lo general	Pikenkeshiriakoperotya pikenkitsajeiteri pisampitantayetyari kantaperoyetachari
ShaShiYaYi 	Lo que se llama 123 Piratsipe es una costumbre del profesor: “Escuche la Ley de Regreso”.	Nopajita 123 Piratsipe yoyetari impoiji kari yoyetya Antayeteri obametantatsiri: Pishiyakantakote paperipanaroki piratsipe kantashiyetachari
ShaShiYaYi 	Le pregunta a su hermana: “En el fondo no hay huellas y mecanismos”.	Isampitiro iritsiro: "choki tekatsi tsaenkenane aisati kishimanentenari"
ShaShiYaYi 	Ashaninka se aburrió con el paisano en Shabaya a causa de las borracheras de los pastores	Ashaninkape Shabayasati yaamabentakotakaro irobane, okantakantiro ikoshiyetapinitiri ibankirepaye
ShaShiYaYi 	Iroñaa a otros enfermendades de los zapallos en la soberanía alimentaria: bujurez, comunidades campesinas, lagartijas, ganchos para protegerlos.	Aabintiro pashinipaye mantsiyarentsi kemitachari (kempetachari): kamantsi, kaintantsi (kajentantsi), ankatsiterika abatsa, anchekiarika (antsekakerika) oshitobikari (osokijakeri) irajani
ShaShiYaYi 	De estar corriendo en el tazón, estaba grabando la bolsa de los que están de fiesta.	Itseriayetitya taraposhiteki irapinaikityaro pocharo konobainchari tsinitsi
ShaShiYaYi 	El padre sintió vergüenza cuando habló con los hermanos de esa fuente	Pisankenate pikematsatabakeri ikenkitajeitiri yotinkaripaye piñanatakojeitakeri opoña piñanateneri pistipamintsare
ShaShiYaYi 	Los pájaros que vuelan por el mundo y los que oyen el sonido de las trompetas, tienen un rebaño grande y un rebaño pequeño.	Ainiro ikantaitiri insectos obayetarori tsipanape, jokayetachari tomirishiki aisati ipankiyetiri atiri, ainiro aisati obayetarori okebiantayetyari pankirentsi ikantaitiri abono jero itiyape piratsi
ShaShiYaYi 	¿En qué estaba mi mujer?	Shimapaye ¿Tsika ikantiroka?
ShaShiYaYi 	El primer pájaro que está en mi tierra	Oisotantyariri tsimeri anitatsiri kipatsiki
ShaShiYaYi 	Los proyectos del código son de paisano, de código abierto.	(Iroka sankenarentsi oinijantakota ashaninkaki, janta opoñaka osankenatakota birakochaki)
ShaShiYaYi 	En las hojas de pijuayo hay muchas guerras ahí donde lo vio mi paisano.	Antamishiki chora osheki tsiyeri jeroka iñakeri ashaninka
ShaShiYaYi 	Artículo 139 Cultivos Administrativos de Defensa, Profesores Administrativos que tengan funciones en su pueblo y se descompongan en los hechos.	Nobajiro 139 Nonebeyetaro chochokipe Antayeteri obametantatsiri Ainijayeri chochokipe timatsiri iyoyetiri inampiki impajiriayetero impoiji ikantakotero okantayetari
ShaShiYaYi 	Los peces estaban en los diferentes lugares del río, en las peñas de los peces, se murieron, se hundieron en el río, se hundieron las rocas	Isaikayeti shimapaye Itimi shimapaye kantashiyetachari saikayetatsiri nijateniki, samantoshiki, inkareki, tonirojaki, oshiranteiteti ejati mapiporokiki
ShaShiYaYi 	La Autoridad Administrativa del Ambiente se encuentra ajustada a los parámetros de eficiencia del tejido amazónico y se encuentra a cargo de los daños generados en la tierra.	Ijatashibetakari jibabentirori airiri petroreo, kantimaitacha te ikemisanteteri irointi yasariaitakeri ibaiteri okantakantiro yoinijantiro abisaintsiri iipatsiteki
ShaShiYaYi 	¿Qué puede pasar si siguen creciendo árboles y otros árboles?	¿Paitaka abisatsine aririka antobayetero inchatopaye okarati akoyayetiri?
ShaShiYaYi 	Adicionalmente, la Oficina Estadística y Geográfica de los Derechos Humanos, en el ámbito de su competencia	Ejati amenero itsimine terika irobanaropaye piratsipaye abantyarori
ShaShiYaYi 	Vuelve a poner fin a la situación del hombre	Pimpokajeite maroni ikaimakantakeri shirampari
ShaShiYaYi 	Patea el árbol de cetico y pescado que has picado.	Payero ibentaki jero isheito shima opoña pikibabakeri
ShaShiYaYi 	¿Vamos a quedarnos sin palos?	¿Okametsati abankotyaro ashirotaki?
