Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	TLANEJNEUILYOTL TLEN SENTIKMASEUALMEJ 
Mexican_constitution 	Artículo 134. >Los recursos económicos de que dispongan la Federación, los estados, los municipios, el Distrito Federal y los órganos político-administrativos de sus demarcaciones territoriales, se administrarán con eficiencia, eficacia, economía, transparencia y honradez para satisfacer los objetivos a los que estén destinados. 	Chikuasempoali uan majtlaktli uan nauitipaj tlaijtoli. >Nochi tlanechikojltomin katli kipiajaxkayotl, tlaltokayolmej, teyoualtlatilankemej, uan D. F., uan altepemej katli kin nauatitojkej, kipia monenemiltisej ka kuali tekilistli, neltekilistli, tomintekilistli, ka kuali teki tlatekiuili uantlakualtili tlen asis kampa moneki. 
Mexican_constitution 	Los resultados del ejercicio de dichos recursos serán evaluados por las instancias técnicas que establezcan, respectivamente, la Federación, los estados y el Distrito Federal, con el objeto de propiciar que los recursos económicos se asignen en los respectivos presupuestos en los términos del párrafo anterior. >Lo anterior, sin menoscabo de lo dispuesto en los artículos 74, fracción VI y 79. 	Kemaj ya motekiui nopa tomij, tekichiuanij katli inoj kinmonekilia kitase tlan nelnelia motekiui ken moneki, tlen axkayotl, tlaltokayolmej, uan D. F., uan kiampa uelis kinmakase tomintlapaleuili ken achtiui ya ijkuilojtok. >Ni amo kitlanauis katli tlajtoua expoali uan majtlaktli uan nauitipaj tlaijtoli, pan chikuasen tlaijtoli uan expoali uan majtlaktli uan chiknauitipaj tlaijtoli. 
Mexican_constitution 	Las adquisiciones, arrendamientos y enajenaciones de todo tipo de bienes, prestación de servicios de cualquier naturaleza y la contratación de obra que realicen, se adjudicarán o llevarán a cabo a través de licitaciones públicas mediante convocatoria pública para que libremente se presenten proposiciones solventes en sobre cerrado, que será abierto públicamente, a fin de asegurar al Estado las mejores condiciones disponibles en cuanto a precio, calidad, financiamiento, oportunidad y demás circunstancias pertinentes. 	Nochi katli se kiselis, tetlaneltili uan nochi katli se iaxka tlen se tlenijki ki panoltia pan seyok maseuali, uan katli kichiuas katliueli tekitl ken moneki, kaamatlajkuiloltlaixpantilistli, uajka mouikas ka amatlanonotsali uan ka majkauilistli moixpantisej ika amatlajkuiloli tsaktos, uan ni motlapos tlaixpantiloyan, uan kiampa monelkualtilis tlaltokayotl katli kichiuas tlen keski ipatilistli, kualtilistli, tomintlamoyauali motemakas ken kimonekilis uan sekinok tlen monekis. 
Mexican_constitution 	Cuando las licitaciones a que hace referencia el párrafo anterior no sean idóneas para asegurar dichas condiciones, las leyes establecerán las bases, procedimientos, reglas, requisitos y demás elementos para acreditar la economía, eficacia, eficiencia, imparcialidad y honradez que aseguren las mejores condiciones para el Estado. 	Tlan mochijki pan se amatlatlanilistli tlen kijtoua achtiui pamitl uan amo kiampa tlen katli monektoya, uajka machiotlajtoli kijtoskeniji mochiuas, tekpanali, xitlaualismen, amatlajtlanili uan sekinok tlamantlitlen nesis onkas tomintlaxtlauili, ka kualtilistli, kuali tekilistli, amo san chichikouan kualtilistli katli kikualtilis tlaltokayotl. 
Mexican_constitution 	El manejo de recursos económicos federales por parte de los estados, los municipios, el Distrito Federal y los órganos político-administrativos de sus demarcaciones territoriales, se sujetará a las bases de este artículo y a las leyes reglamentarias. 	Tlanechikojltomin tlaxtlauili katli motekiuis tlen axkayol, tlaltokayolmej, teyoualtlatilankemej, uan D. F., uan altepemej katli kinauatitojkej, kipia kipanitase ni tlaijtoli uan machiotlajtoli katli kimelaua. 
Mexican_constitution 	La evaluación sobre el ejercicio de dichos recursos se realizará por las instancias técnicas de las entidades federativas a que se refiere el párrafo segundo de este artículo. 	Katli kiitasej tlan mochijki ken moneki uan motekiui kuali ni tomin, kichiuase tekitinij katli itstoke pan tlaltokayolmej, tlen eltok pan ni ome pamitl tlaijtoli. 
Mexican_constitution 	Los servidores públicos serán responsables del cumplimiento de estas bases en los términos del Título Cuarto de esta Constitución. 	Miyayotl tekitinin yauantij kitlakechisej ma mochiua tlen tlajtoua naui tekpanali tlen ni tlajneneuilyotl. 
Mexican_constitution 	Los servidores públicos de la Federación, los Estados y los municipios, así como del Distrito Federal y sus delegaciones, tienen en todo tiempo la obligación de aplicar con imparcialidad los recursos públicos que están bajo su responsabilidad, sin influir en la equidad de la competencia entre los partidos políticos. 	Miyayotl tekitinin tlen axkayotl, tlaltokayolmej, teyoualtlatilankemej, uan D. F., uan altepemej katli kiniuatitojkej, kipia nochipa tonali, kitekiuisej kualinochi tomintlapaleuili, katli eltok pan ininmako, uan amo kitekiuise o temakase kampa eltok sesentlamasejkotiltlaneneuilili. 
Mexican_constitution 	La propaganda, bajo cualquier modalidad de comunicación social, que difundan como tales, los poderes públicos, los órganos autónomos, las dependencias y entidades de la administración pública y cualquier otro ente de los tres órdenes de gobierno, deberá tener carácter institucional y fines informativos, educativos o de orientación social. 	Katli ueli amatlaxexeloli, katli kipanextiaj miyayotl tlalotl, katli monenemiltia inin seli, kaltlanauatianin uan tlaltokayolmen tlen miyayotl amatekilistli uan sekinok tlen pan nopa eyitipa tekitlanauatili, moneki kipiasej machiotlanauatili uan tlamachiltili, tlanextili uan tlalnamiktili tlen itstinin. 
Mexican_constitution 	En ningún caso esta propaganda incluirá nombres, imágenes, voces o símbolos que impliquen promoción personalizada de cualquier servidor público. 	Yon se ni tlajtol moyaualistli amo uelis kiuikas tokayotl, ixkopinkayotl, itoskamanal uan tlaixnexkayotilistli tlen katli se miyayotl tekitijketl. 
Mexican_constitution 	Las leyes, en sus respectivos ámbitos de aplicación, garantizarán el estricto cumplimiento de lo previsto en los dos párrafos anteriores, incluyendo el régimen de sanciones a que haya lugar. 	machiotlajtolmenkatlikinmelaua, kinelkualtilis tlen katlij kiijtoua pan omej pamitlaxtiui ijkuilijtok, tlen yampatsa kisenkauas tlaixpanol tlayauiltili. 
Mexican_constitution 	Título Octavo 	Chikueyi Tlaijtolnechikoli 
Mexican_constitution 	De las Reformas de la Constitución 	Tlen Kinelkualtiliaj Tlanejneuilyotl 
Mexican_constitution 	Artículo 135. 	Chikuasempoali uan majtlaktli uan makuiltipaj tlaijtoli. 
Mexican_constitution 	La presente Constitución puede ser adicionada o reformada. 	Ni tlajneneuilyotluelis kinelchichiuasej uan kipatlasej. 
Mexican_constitution 	Para que las adiciones o reformas lleguen a ser parte de la misma, se requiere que el Congreso de la Unión, por el voto de las dos terceras partes de los individuos presentes, acuerden las reformas o adiciones, y que éstas sean aprobadas por la mayoría de las legislaturas de los Estados. 	Tlan kinelchichiuasej uan kipatlasej uan kiampa moaxitilis, moneki nechikolueyitlaijtoltiyanij, tlauasanisej tlen ome uan eyitipa tlakotontli tlen katli paya itstoke, mosentikatlalisej kinekchiuasej uan kipatlasej, uan ni moneki kipatimakase tlen imiaka tekitlaijtoltianij tlen tlaltokayolmej. 
Mexican_constitution 	El Congreso de la Unión o la Comisión Permanente en su caso, harán el cómputo de los votos de las Legislaturas y la declaración de haber sido aprobadas las adiciones o reformas. 	Nechikolueyitlaijtoltiyanij uan eltipatekitlaixnamikilitlan moneki, ki pouasej keski tlauasanili kiski tlen nochi tlaijtoltilismej tlen tlaltokayolmej uan kijtosej tlan kinelchichiuasej uan kipatlasej. 
Mexican_constitution 	Título Noveno 	Chiknaui Tlaijtolnechikoli 
Mexican_constitution 	De la Inviolabilidad de la Constitución 	Amo Moixpanos Tlajneneuilyotl 
Mexican_constitution 	Artículo 136. 	Chikuasempoali uan majtlaktli uan chikuasentipaj tlaijtoli. 
Mexican_constitution 	Esta Constitución no perderá su fuerza y vigor, aun cuando por alguna rebelión se interrumpa su observancia. 	Ni tlajneneuilyotl amo kipolos itetikayotl uan ipatijka, maske tlan onkas tlauilanalotl uan moketsas itlachilis. 
Mexican_constitution 	En caso de que por cualquier trastorno público, se establezca un gobierno contrario a los principios que ella sanciona, tan luego como el pueblo recobre su libertad, se restablecerá su observancia, y con arreglo a ella y a las leyes que en su virtud se hubieren expedido, serán juzgados, así los que hubieren figurado en el gobierno emanado de la rebelión, como los que hubieren cooperado a ésta. 	Tlan onkas se tlauilanali, uan motlalis seyok tekitlanauatijketl ka seyok tekitlaneneuili katli amo eltok pan tlajneneuilyotl, kemaya tlamis kuesoli uan altepetl kipias inemajkayotl, sepaya tlanauatis tlen tlanejneuilyotl, ka isenkauali uan ka tlanauatilistli tlen mochijki, kisenkauas ka tlayauiltili katli mopolojkejtlaixpanojkemej, yampatsa tlayakananitekichiuanij, uan katli tlapaleuijkej pan inoj. 
Mexican_constitution 	Artículos Transitorios 	Tlaijtolpanolistli 
Mexican_constitution 	Artículo Primero. 	Sentipaj Tlaijtoli. 
Mexican_constitution 	Esta Constitución se publicará desde luego y con la mayor solemnidad se protestará guardarla y hacerla guardar en toda la República; pero con excepción de las disposiciones relativas a las elecciones de los Supremos Poderes Federales y de los Estados, que desde luego entran en vigor, no comenzará a regir sino desde el día 1o. de Mayo de 1917, en cuya fecha deberá instalarse solemnemente el Congreso Constitucional y prestar la protesta de ley el ciudadano que resultare electo en las próximas elecciones para ejercer el cargo de Presidente de la República. 	Ni tlanejneuilyotl sempa moixpantis ika nochi tlamokuitlauili uan moixpanmapelos moajokuis uan kiajokuise nochi mexkotlali; uan amo mochiuas tlen tlajtoa tlapepenolkayotl axkayotl tlalotl tlen mexkotlali uan tlaltokayolmen, ni tekikalakili amo nimaj motekiuis, uan kena uelis kipeualtis pan se tonal tlen chikuasen mestli xiuitl ome xikipilli uan kaxtolpoali uan majtlaktli uan chikome tonal, uan pan inon motlalis machiotinin mexkosenkotili uan moixpanpanmapelos maseuali tlen tlajtoa machiotlajtoli katli mokauas pan tlapepenolpa tlayakanketl mexkotlanauatiketl. 
Mexican_constitution 	En las elecciones a que debe convocarse, conforme al artículo siguiente, no regirá la fracción V del artículo 82; ni será impedimento para ser diputado o senador, estar en servicio activo en el Ejército, siempre que no se tenga mando de fuerza en el distrito electoral respectivo; tampoco estarán impedidos para poder ser electos al próximo Congreso de la Unión, los Secretarios y Subsecretarios de Estado, siempre que éstos se separen definitivamente de sus puestos el día que se expida la convocatoria respectiva. 	Kema amatlanonotsali tlen tlapepenolpa, tlen tlajtoa tlaijtoli kitokilia, amo tlanauatis makuili tlakotomitl tlen tlaijtoli najpoali una ome; uan amo kitsakuilis tlan kinekis elis machiotlajtolketl uan tlaijtoltlakatl, tekititos pan tlaltsonkotomej, tlan amo tekitlayakantos kampa mochiuas tlapepenolpa; nojkia amo uelis kintsakuilise; uelis kin tlapejnise ipan seyok machiotini mexkosejkotili, tlen uextlanauatiyanij uan kestlanauatiyanij Tlateyouali, nochipa kema ni kinijuinisej pansempa initeki tlen tonali kema ixnesis amatlanonotsali katli monejki. 
Mexican_constitution 	Artículo Segundo. 	Ometipaj Tlaijtoli. 
Mexican_constitution 	El Encargado del Poder Ejecutivo de la Nación, inmediatamente que se publique esta Constitución, convocará a elecciones de Poderes Federales, procurando que éstas se efectúen de tal manera que el Congreso quede constituido en tiempo oportuno, a fin de que hecho el cómputo de los votos emitidos en las elecciones presidenciales, pueda declararse quién es la persona designada como Presidente de la República, a efecto de que pueda cumplirse lo dispuesto en el artículo anterior. 	Ueyimexko Tlanauatijketl, nimantsi kema kisas yolmelualistli tlen ni Ueyiamatlanauatili, tlanojnotsas mexkoajkayotl ma mochiuas tlapejpenolka, motemos ma ni mochiuas ka tonalpa ijkinoj Ueyisentilistli mosenkauas, pampa kema mopouas ka uasantli pan mexkotlanauatijketl, ueli moijtos ajkaya elis Ueyimexko Tlanauatijketl, ijkinoj motlepanitas tlen achtoui sempantik tlaijtoli. 
Mexican_constitution 	Artículo Tercero. 	Eyitipaj Tlaijtoli. 
Mexican_constitution 	El próximo período constitucional comenzará a contarse, para los Diputados y Senadores, desde el primero de septiembre próximo pasado, y para el Presidente de la República, desde el 1o. de Diciembre de 1916. 	Tonalpa tlanauatili tlen motokilis mopeuas, kej ni Tekitianij uan Tekichijuanimej, pan sentipan tonali tlen chiknauitipan meetstli tlen achtoui panoj nexkatsitsi, uan ka Ueyimexko Tlanauatijketl, mopeua pan sentipan tonali tlen majtlaktli uan omej meetstli tlen 1916 xiuitl. 
Mexican_constitution 	Artículo Cuarto. 	Nuatipaj Tlaijtoli. 
Mexican_constitution 	Los Senadores que en las próximas elecciones llevaren el número par, sólo durarán dos años en el ejercicio de su encargo, para que la Cámara de Senadores pueda renovarse en lo sucesivo, por mitad cada dos años. 	Tekichijuanimej pan ni tlapejpenolka kipiasej inin pouali katli motlamia ka inetso uajka san mouejkauasej ome xiuitl pan iteki, ma ijkinoj Ueyitekikalko moyankuiltilis ka sekinoj tonalpa, tlajko sensenka ome xixuitl. 
Mexican_constitution 	Artículo Quinto. 	Makuiltipaj Tlaijtoli. 
Mexican_constitution 	El Congreso de la Unión elegirá a los Magistrados de la Suprema Corte de Justicia de la Nación, en el mes de mayo próximo para que este alto Cuerpo quede solemnemente instalado el primero de Junio. 	Ueyitekikalko Sentilistli kitlapejpenis Ueyimexkotekichiuanij axkayotl, pan makuili meetstli tlen kitokilia ijkinoj ni Ueyisentilistli kuali ueli mosenkajtok pan sentipan tlen chikuase meetstli. 
Mexican_constitution 	En estas elecciones no regirá el artículo 96 en lo relativo a las propuestas de candidatos por las Legislaturas locales; pero los nombrados lo serán sólo para el primer período de dos años que establece el artículo 94. 	Pan ni tlapejpenilistli ax moneltokas sempantik tlaijtoli 96 ka itokaj ajkaya kijneki tlanauatis pan se tlaloko: yese maseualmej tlen kitokaxtisej mokauasej san sentipan xiuitl ña ometipan eli iteki kej moijtoua pan 94 sempantik tlaijtoli. 
Mexican_constitution 	Artículo Sexto. 	Chijkuasentipaj Tlaijtoli. 
Mexican_constitution 	El Congreso de la Unión tendrá un período extraordinario de sesiones que comenzará el 15 de abril de 1917, para erigirse en Colegio Electoral, hacer el cómputo de votos y calificar las elecciones de Presidente de la República, haciendo la declaratoria respectiva; y además, para expedir la ley Orgánica de los Tribunales de Circuito y de Distrito, la ley Orgánica de los Tribunales del Distrito Federal y Territorios, a fin de que la Suprema Corte de Justicia de la Nación haga inmediatamente los nombramientos de Magistrados de Circuito y Jueces de Distrito, y el mismo Congreso de la Unión las elecciones de Magistrados, Jueces de primera Instancia del Distrito Federal y Territorios; expedirá también todas las leyes que consultare el Poder Ejecutivo de la Nación. 	Ueyisentilistli kipias tekitonalpa tlen mopeuas pan 15 tlen nauaitipaj meetsli ka 1917 xiuitl, ma moketsas Ueyitlamachtiloyan Talpejpenilistli, mopouas usantli uan kiyejyekosej Ueyimexko Tlanauatijketl itlapejpenolka, ka ni moijtos tlen monekis: uan nojkia, ma kisas tlanauatili tlen machiotonin mexkosenkotili, pan sentikanechikoli machioketstili tlen D. F. uan tlalmej pan amatekilistli miyayotl axkayotl uan pan D. F, nojkia pan miyayaotl tekitlayakanin katli moselinechikoa tlen tlajtoua tlajneneuiyotl: ka yajuantin kisas nochi tlanauatili tlen moneki kineltokas Ueyimexko Tlanauatijketl. 
Mexican_constitution 	Los Magistrados de Circuito y los Jueces de Distrito, y los Magistrados y Jueces del Distrito Federal y Territorios, deberán tomar posesión de su cargo antes del 1o. de Julio de 1917, cesando entonces los que hubieren sido nombrados por el actual Encargado del Poder Ejecutivo de la Nación. 	Tlanauatilkayotl uan tekitlatitlannilitlen katli moneki pan machiotinin mexkosenkotili, kipeuasej inin tekitl actoui tonali tlen 1º. tlen chikomentipaj meetstli tlen 1917 xiuitl, moixpoliuis ajakaya maseualmej katli achtoui kitokachtijtok tlen namaj Ueyimexko Tlanauatijketl. 
Mexican_constitution 	Artículo Séptimo. 	Chikomentipaj Tlaijtoli. 
Mexican_constitution 	Por esta vez, el cómputo de los votos para Senadores se hará por la Junta Computadora del Primer Distrito Electoral de cada Estado o Distrito Federal, que se formará para la computación de los votos de diputados, expidiéndose por dicha junta a los senadores electos, las credenciales correspondientes. 	San pan ni tonali, poualistli ka uasantli Sentilistli mochiuas ka Tekikalko tlapejpenilistli kipoua tlen Achtoui sense Tlaltokajyotl noso D. F, kej ni mochiuas ma kipouakaj uasantli tlen tekichijkemej, moxitlauas ka tekichiuanimej tlen kipejpenijtokej, iamaixnexka tlen monekij. 
Mexican_constitution 	Artículo Octavo. 	Chikueyitipaj Tlaijtoli. 
Mexican_constitution 	La Suprema Corte de Justicia de la Nación, resolverá los amparos que estuvieren pendientes, sujetándose a las leyes actuales en vigor. 	Miyayaotl tlakuaualistli axkayotl, kisenkauas manauili tlen mouejkajkia, mochiuas ka tlanauatili tlen namaj ni tonali. 
Mexican_constitution 	Artículo Noveno. 	Chiknauitipaj Tlaijtoli. 
Mexican_constitution 	El C. Primer Jefe del Ejército Constitucionalista, Encargado del Poder Ejecutivo de la Unión, queda facultado para expedir la ley electoral, conforme a la cual deberán celebrarse, esta vez, las elecciones para integrar los Poderes de la Unión. 	Katli Achtoui Ueyiyaotl Tlanauatijketl, kipia iteki kej Ueyimexko Tlanauatjketl, kipia tlanauatili ma kikixtis tlapejpenilistli tanauatili, kej ka ni moneki mochiuas uasantli, pan ni tonali, tlapejpenilistli ma motlatskis nochi Mexkotetonilis. 
Mexican_constitution 	Artículo Décimo. 	Majtlaktipaj Tlaijtoli. 
Mexican_constitution 	Los que hubieren figurado en el Gobierno emanado de la rebelión, contra el legítimo de la República, o cooperado a aquélla, combatiendo después con las armas en la mano, o sirviendo empleos o cargos de las facciones que han atacado al Gobierno Constitucionalista, serán juzgados por las leyes vigentes, siempre que no hubieren sido indultados por éste. 	Maseualmej tlen kisatok ka Tlanauatiyanij pan teuilistli, ka tlen tlanauatia pan Mexko, noso kinpaleuijkej, teuijkej teipa ka majtepostlatopontli, noso tekitiaj noso tekitiaj kampa kiteuiaj ni Yaotl Tlanauatiyanij, kitlatsakuiltisej ka tlanauatili tlen ni tonali, nochipa kema ax kitlapopoljuijtokej ka ni. 
Mexican_constitution 	Artículo Decimoprimero. 	Majtlaktli uan sentipaj Tlaijtoli. 
Mexican_constitution 	Entre tanto el Congreso de la Unión y los de los Estados legislan sobre los problemas agrario y obrero, las bases establecidas por esta Constitución para dichas leyes, se pondrán en vigor en toda la República. 	Mejatsa tekitlayakanin katli moselinechikoa uan nojkia tlen Tlaltokajyotl kichiua tlanauatili ka kuesoli tlen tlalaxkatilis uan tlen majtekitianij, tlen mosenkaua pan ni Ueyiamatlanauatili ka ni tlanauatili, mopeuas pan ochi Mexkotlali. 
Mexican_constitution 	Artículo Decimosegundo. 	Majtlaktli uan ometipaj Tlaijtoli. 
Mexican_constitution 	Los mexicanos que hayan militado en el Ejército Constitucionalista, los hijos y viudas de éstos, y las demás personas que hayan prestado servicios a la causa de la Revolución o a la Instrucción Pública, tendrán preferencia para la adquisición de fracciones a que se refiere el artículo 27 y derecho a los descuentos que las leyes señalarán. 	Mexkoeuanij tlen motlatskiltokej pan Yaotl Sentilistli, ikoneuaj uan ininsiauaj tlen ni, uan sekinoj maseualmej tlen nojkia tlateuiyayaj pan Ueyitlateuilistli noso kampa Maseualtlakakuapaualistli, kinpaleuisej ma achtoui kiselikaj tlapankayotl kej moijtoua pan Tlaijtoli 27 uan nojkia kampa moijtoua tlen kualtiloli tlanauatili kitemakaj. 
Mexican_constitution 	Artículo Decimotercero. 	Majtlaktli uan eyitipaj Tlaijtoli. 
Mexican_constitution 	Quedan extinguidas de pleno derecho las deudas que por razón de trabajo hayan contraído los trabajadores, hasta la fecha de esta Constitución, con los patronos, sus familiares o intermediarios. 	Motsakua uan moixpoliuia tlauikalistli kej pampa tekitiaj kimakatokej tekitianij. >Tonali kema mopeua ni Ueyiamatlanauatili, ka tlakoyotl, isenyelimej nosos sekinoj maseualmej tlen tlajko mokauaj. 
Mexican_constitution 	Artículo Decimocuarto. 	Majtlakatli uan nauitipaj Tlaijtoli. 
Mexican_constitution 	Queda suprimida la Secretaría de Justicia. 	Moixpoloua ni Ueyitekpantekikalko. 
Mexican_constitution 	Artículo Decimoquinto. 	Kaxtolitipaj Tlaijtoli. 
Mexican_constitution 	Se faculta al C. Encargado del Poder Ejecutivo de la Unión para que expida la ley de responsabilidad civil aplicable a los autores, cómplices y encubridores de los delitos cometidos contra el orden constitucional en el mes de febrero de 1913 y contra el Gobierno Constitucionalista. 	Ueyimexko Tlanauatijketl kipia tlanauatili ma kikixtis maseualtlanauatili kampa ueli motlatsakuiltisej ajkaya kichiua, kipaleuiaj noso kitlaatla ixpanojketl tlen tlanauatili pan ome meetstli tlen 1913 xiuitl uan ka Yaotl Tlanauatiyanij. 
Mexican_constitution 	Artículo Decimosexto. 	Kaxtoli uan sentipaj Tlaijtoli. 
Mexican_constitution 	El Congreso Constitucional en el período ordinario de sus sesiones, que comenzará el 1o. de septiembre de este año, expedirá todas las leyes orgánicas de la Constitución que no hubieren sido ya expedidas en el período extraordinario a que se refiere el artículo 6o. transitorio, y dará preferencia a las leyes relativas a Garantías Individuales, y artículos 30, 32, 33, 35, 36, 38, 107 y parte final del artículo 111 de esta Constitución. 	Ueyisentilistli pan tonali ka monechikoa, kej mopeuas pan 1º. >Tlen chiknauitipaj meetstli pan ni xiuitl, kikixtis nochi tlanauatili tlen ni Ueyiamatlanauatili tlaj amo kinkixtijtokej pan achtoui tonali tlen mosenkajtok pan 6º, Tlaijtoli san tlen pano, uan achtoui kitlachilis tlanauatili tlen kimanauia maseualmej, uan Tlaijtolmej 30, 32, 33, 35, 36, 38, 107 uan kampa motlamia ni 111 tlaijtoli tlen ni Ueyiamatlanauatili. 
Mexican_constitution 	Artículo Decimoséptimo. 	Kaxtoli uan ometipaj Tlaijtoli. 
Mexican_constitution 	Los Templos y demás bienes que, conforme a la fracción II del artículo 27 de la Constitución Política de los Estados Unidos Mexicanos que se reforma por este Decreto, son propiedad de la nación, mantendrán su actual situación jurídica. 	Teopamej uan sekinoj kualtiloli tlen ni, moijtoua pan tlapankayotl II tlen 27 tlaijtoli pan ni Ueyimexkoamatlanauatili kej moyankuiliaj ka ni Senkaualistli, eli Mexko iaxkaj, uan nojkia kipiasej itlanauatilpa. 
Mexican_constitution 	Artículo Decimoctavo. 	Kaxtoli uan eyitipaj Tlaijtoli. 
Mexican_constitution 	Derogado. 	Moixpolo. 
Mexican_constitution 	Artículo Decimonoveno. 	Majtlaktli uan nauaitipaj Tlaijtoli. 
Mexican_constitution 	Derogado. 	Moixpolo. 
Mexican_constitution 	Dada en el Salón de Sesiones del Congreso Constituyente en Querétaro, a treinta y uno de enero de mil novecientos diecisiete.- Presidente: Luis Manuel Rojas, Diputado por el Estado de Jalisco.- Primer Vice-Presidente: Gral. de División Cándido Aguilar, Diputado por el Estado de Veracruz.- Segundo Vice-Presidente: Gral. >Brigadier Salvador González Torres, Diputado por el Estado de Oaxaca.- Diputado por el Estado de Aguascalientes: Daniel Cervantes.- Diputado por el Territorio de la Baja California: Ignacio Roel.- Diputados por el Estado de Coahuila: M. Aguirre Berlanga, José Ma. 	Ni motemakak pan Ueyitekitlaloko tlen Ueyitlanauatil sentilistli pan Queretaro, pan sempouali uan majtlaktli uan se tonali tlen sentipaj meetstli tlen naui tsontli sempoauali uan se kaxtoli uan ome xiuitl.- Ueyitlanauatijketl: Luis Manuel Rojas, Tekitijketl pan Jalisco Tlaltokajyotl.- Achtoui Omej-Tlanauatijketl: Yaotl Tlayakanketl Cándido Aguilar, Tekitijketl pan Veracruz Tlaltokajyotl.- Omej tlen Omej-Tlanauatijketl: Yaotl Tlayakanketl Salvador González Torres, Tekitijketl pan Oaxaca Tlaltokajyotl.- Tekitijketl pan Aguascalientes Tlalatokajyotl: Daniel Cervantes.- Tekitijketl pa Baja Californi aTlalatokajyotl tlal: Ignacio Roel.- Tekitijkemej pan Coahuila Tlaltokajyotl: M. Aguirre Berlanga, José Ma. 
Mexican_constitution 	Rodríguez, Jorge E. Von Versen, Manuel Cepeda Medrano, José Rodríguez González (Suplente).- Diputado por el Edo. de Colima: Francisco Ramírez Villarreal.- Diputados por el Edo. de Chiapas: Enrique Suárez, Lisandro López, Daniel A. Cepeda, Cristóbal Ll. y Castillo, J. Amilcar Vidal.- Diputado por el Edo. de Chihuahua: Manuel M. Prieto.- Diputados por el Distrito Federal: Gral. 	Rodríguez, Jorge E. Von Versen, Manuel Cepeda Medrano, José Rodríguez González (Selijketl).- Tekitijketl pan Colima Tlaltokajyotl: Francisco Ramírez Villarreal.- Tekitijkemej pan Chiapas Tlaltokajyotl: Enrique Suárez, Lisandro López, Daniel A. Cepeda, Cristóbal Ll. uan Castillo, J. Amilcar Vidal.- Tekitijketl pan Chihuahua Tlalatokayotl: Manuel M. Prieto.- Tekijkemej pan Distrito Federal Tlaltokajyotl: Yaotl tlayakanketl. 
Mexican_constitution 	Ignacio L. Pesqueira, Lauro López Guerra, Gerzayn Ugarte, Amador Lozano, Félix F. Palavicini, Carlos Duplán, Rafael L. de los Ríos, Arnulfo Silva, Antonio Norzagaray, Ciro B. Ceballos, Alfonso Herrera, Román Rosas y Reyes (Suplente), Lic. 	Ignacio L. Pesqueira, Lauro López Guerra, Gerzayn Ugarte, Amador Lozano, Félix F. Palavicini, Carlos Duplán, Rafael L. de los Ríos, Arnulfo Silva, Antonio Norzagaray, Ciro B. Ceballos, Alfonso Herrera, Román Rosas y Reyes (Selijketl), Manauijketl. 
Mexican_constitution 	Francisco Espinosa (Suplente).- Diputados por el Edo. de Durango: Silvestre Dorador, Lic. 	Francisco Espinosa (Selijketl).- Tekitijkemej pan Durango Tlalatokajyotl: Silvestre Dorador, Manauijketl. 
Mexican_constitution 	Rafael Espeleta, Antonio Gutiérrez, Dr. Fernando Gómez Palacio, Alberto Terrones B., Jesús de la Torre.- Diputados por el Edo. de Guanajuato: Gral. 	Rafael Espeleta, Antonio Gutiérrez, Tepajtijketl. >Fernando Gómez Palacio, Alberto Terrones B., Jesús de la Torre.- Tekitijkemej pan Guanajuato Tlaltokajyotl: Yaotl Tlayakanketl. 
Mexican_constitution 	Lic. 	Mnauijketl. 
Mexican_constitution 	Ramón Frausto, Ing. 	Ramón Frausto, Majtekitijketl. 
Mexican_constitution 	Vicente M. Valtierra, José N. Macías, David Peñaflor, José Villaseñor, Santiago Manrique, Lic. 	Vicente M. Valtierra, José N. Macías, David Peñaflor, José Villaseñor, Santiago Manrique, Manauijketl. 
Mexican_constitution 	Hilario Medina, Manuel G. Aranda, Enrique Colunga, Ing. 	Hilario Medina, Manuel G. Aranda, Enrique Colunga, Majtekitijketl. 
Mexican_constitution 	Ignacio López, Dr. Francisco Díaz Barriga, Nicolás Cano, Tte. >Crnl. 	Ignacio López, Tepajtijketl. >Francisco Díaz Barriga, Nicolás Cano, Yaotl Tekitijketl. 
Mexican_constitution 	Gilberto N. Navarro, Luis Fernández Martínez, Luis M. Alcocer (Suplente), Ing. 	Gilberto N. Navarro, Luis Fernández Martínez, Luis M. Alcocer (Selijketl), Majtekitijketl. 
Mexican_constitution 	Carlos Ramírez Llaca.- Diputados por el Edo. de Guerrero: Fidel Jiménez, Fidel Guillén, Francisco Figueroa.- Diputados por el Edo. de Hidalgo: Antonio Guerrero, Leopoldo Ruiz, Lic. 	Carlos Ramírez Llaca.- Tekitijkemej pan Guerrero Tlaltokajyotl: Fidel Jiménez, Fidel Guillén, Francisco Figueroa.- Tekitijkemej pan Hidalgo Tlalatokajyotl: Antonio Guerrero, Leopoldo Ruiz, Manauijketl. 
Mexican_constitution 	Alberto M. González, Rafael Vega Sánchez, Alfonso Cravioto, Matías Rodríguez, Ismael Pintado Sánchez, Lic. 	Alberto M. González, Rafael Vega Sánchez, Alfonso Cravioto, Matías Rodríguez, Ismael Pintado Sánchez, Manauaijketl. 
